id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,assist,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,keyPass,qualifier/11/value,qualifier/10/value,qualifier/12/value,qualifier/13/value
2515821939,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-03-05T12:15:51.746Z,2023-03-05T13:01:16Z,4074992559,194,dw2a5y50m5vbzpy53w2e7n179,4074992561,197,8381,4074992551,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",4074992557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4074992555,130,4,4074992549,30,"6bejfvxorcqyawi2fmk2kbco9, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, cs8bo5xvtd2bq7kd91flepwwl, 6f8lpm5ckuv4z0tbur533qpxx, dw2a5y50m5vbzpy53w2e7n179, dzfr9ktjmxqj2eh2xibt7konp, 1dbhha29epjmo8g4xfm5taaj9, amg2zai9038cdz9uuql3l9rkl, f5j2zq9sslh38t8bhyifsjg89, cpvbitkove7bavl96lkgs1vc9, dcv449u8n6hvahqbgdjwuidw5, 9cjjs4piq3t12iltsfon52h91, 5iqkq5z36m51o6xxodts4nyi2, 3f6hkia6zu8xuwasqdz3w759m, 83pm1s4c5h4epnnyw9xep3w2c, 72urf7pms7afj0t3u8ipk08ut",4074992563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074992553,59,"1, 2, 33, 12, 14, 6, 10, 88, 8, 7, 20, 9, 15, 18, 19, 28, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515828793,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-03-05T12:25:25.831Z,2023-03-05T13:07:12Z,4075028139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4075028141,194,3c80px00lrpe84s9yurszqcid,4075028131,30,"ds8eeciyv1vk6nwh26qgy1lg5, avttb0ne86ra4pqruk0d8al05, 8e7wbpcbwxvdz0fojwuyov3rp, 8j67kyyfq5i300eeqbihgcqfp, bqbs20rirfi1eh7k7ss4pt0ix, e6s5iphbrws04dxrvw0xqd7f9, ekmg1wlig0qdtzhafm3lwsz4l, 3c80px00lrpe84s9yurszqcid, 27iu58a0k5jqsxidnaxbothbd, 69nz7p1izpw4i8tle2c8hls2y, bmw6mvkeropjorm2rxzw2fzai, 8kmne7pn10uwqe6g1kc4w69cl, 6flq1204p7494fm1ct06w6ket, 8k21bzux0l41m2cdsuetbco9h, c4ptt043q3lm4npuwpyviprdh, e2lt71eeqb97hw6wnebjrrgt1, bdiuv7a7j50drm3gsc9ne28dl, 49esy9y0fisrx7765t47i4vf8, 5llfshqnnnclh5o2t1b1ckqtx",4075028145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075028135,59,"18, 17, 6, 4, 28, 20, 7, 5, 25, 15, 11, 2, 8, 14, 21, 22, 27, 39, 30",4075028133,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4075028143,197,726,4075028137,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515856369,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-03-05T13:01:42.575Z,2023-03-05T13:01:42Z,4075167333,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515856375,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-03-05T13:01:42.575Z,2023-03-05T13:01:44Z,4075167355,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515856399,3,1,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,50.1,50.3,2023-03-05T13:01:42.675Z,2023-03-05T13:01:45Z,4075167491,141,50.9,4075167487,56,Back,4075167493,212,13.8,4075167495,213,3.1,4075167497,279,S,4075167489,140,37.0,,,,,,,27iu58a0k5jqsxidnaxbothbd,K. Snoeijs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515856425,4,1,1,0,2,7kt37xy93vjy6wac8vq6fqz3g,1,36.4,52.5,2023-03-05T13:01:44.950Z,2023-03-05T13:01:47Z,4075167601,140,31.5,4075167605,212,18.2,4075167603,141,78.1,4075167599,56,Back,4075167607,213,1.9,,,,,,,,,,bmw6mvkeropjorm2rxzw2fzai,J. Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515856485,5,1,1,0,4,7kt37xy93vjy6wac8vq6fqz3g,1,35,83.5,2023-03-05T13:01:46.971Z,2023-03-05T13:01:50Z,4075167889,141,71.8,4075167885,56,Back,4075167887,140,21.9,4075167891,212,15.9,4075167893,213,3.7,,,,,,,,,,8e7wbpcbwxvdz0fojwuyov3rp,G. George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515856491,6,1,1,0,8,7kt37xy93vjy6wac8vq6fqz3g,0,24.1,80.3,2023-03-05T13:01:50.786Z,2023-03-05T13:01:52Z,4075168007,233,3,4075167915,140,28.8,4075167913,56,Back,4075167921,213,0.5,4075168011,286,,4075167917,141,83.9,4075168005,236,,4075167919,212,5.5,8j67kyyfq5i300eeqbihgcqfp,R. Sevecke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515856501,3,74,1,0,8,8l30dsub3sutr6j3ruvk650xc,1,75.4,32.4,2023-03-05T13:01:50.787Z,2023-03-05T13:16:59Z,4075167969,285,,4075168035,233,6,4075167967,56,Center,,,,,,,,,,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515856549,4,5,1,0,9,8l30dsub3sutr6j3ruvk650xc,0,81.8,-2,2023-03-05T13:01:52.099Z,2023-03-05T13:49:36Z,4075168393,233,7,4075168145,347,,4075168143,56,Right,,,,,,,,,,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
