id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/10/value,qualifier/15/value,assist
2543937253,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-05-05T17:38:00.141Z,2023-05-05T17:38:00Z,4252127403,194,6679bfd6bjylogbe4ebese85x,4252127407,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252127395,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4252127405,197,723,4252127393,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, bilgoekg6gqwr3qbp6dp0j1zp, d9zt8e8lnk9a22we6o6wqyndh, bd1752qgxbodnsgdus42fc99l, 1o0o6thivoulnmsklkpbwpiad, e8ivbfq0irn8f2p8krhkikzx1, ec1vrqeqni3lmibeazgq62eol, 6ywketcafnc6x3tncvohzesx5, 24qwx85sfxy0r8pld85w7tzze, dib5a7vebmtxqcksi1tuteklx, e3fa1ou90dirp8yjjterhrs9h, 8wvdn1f18jaxmjg4zkizons6i, cl94qe8su9mdjcijafr4gst4a, 92k3ea1daqrl2ri1jn49v0vyt, f0afav75l1iz383ozx84b7i3u, 4payujvwgv750r4y1eeprn1g4, 70axdagp6dkm3fvv79ofsxfro",4252127397,59,"14, 16, 15, 2, 5, 3, 12, 13, 25, 21, 22, 1, 7, 18, 20, 27, 29, 59, 62",4252127401,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4252127399,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543937255,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-05-05T17:38:00.916Z,2023-05-05T18:42:22Z,4252127421,194,7m31qpkmuh3amb6navttdlvpx,4252127419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252127425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252127423,197,12900,4252127413,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4252127417,130,8,4252127415,59,"33, 4, 2, 30, 15, 22, 8, 3, 21, 14, 10, 1, 16, 19, 20, 23, 32, 34, 40, 41",4252127411,30,"avud4qv9xovwlr2pxc8fcmiuh, 6k1s7y9dnzdpppppdco7bgudx, 4r1z04gidueqs684yxeyrq8ve, 60q198d41n3y887jeiezr850q, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, 2hoa4v8810rmsbi85pfanyfl6, 3km1u2mw1tkioh2mucow7d1pl, 7f7tbbjqhhyydjj4wurm28xcl, 9mfotw533oa5qs1muu2z8t8lx, 7m31qpkmuh3amb6navttdlvpx, 7n8jink50lk1tivoqpe57h32t, c7giuh90mnvajsobobcbx4ley, 2xphfksgb05a8z4e9328mywvd, 1ct6g590mpcg14jw94v4g2tm2, 3upyu7hn2q7voapvgtlnl1yad, 32qdycwtlahk754bdqjsowduc, dkjsgguge2u6wrt9epktjqbys, cxn46t7y57p1u243wp7dy8ydw, e9d84gt62onfgxr33f0t8g178",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967039,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-05-05T18:30:10.808Z,2023-05-06T16:46:10Z,4252281713,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967045,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-05-05T18:30:10.808Z,2023-05-05T18:30:12Z,4252281727,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967049,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,50.1,50.1,2023-05-05T18:30:10.976Z,2023-05-05T18:32:34Z,4252281733,56,Back,4252281735,140,35.2,4252281743,213,3.1,4252281739,141,51.1,4252281745,279,S,4252281741,212,15.7,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967085,4,1,1,0,3,28u3q82ip96ahymkup01vfxli,0,38.5,51,2023-05-05T18:30:14.182Z,2023-05-05T18:35:44Z,4252281889,213,0.3,4252281881,56,Center,4252281879,157,,4252281891,1,,4252281887,212,46.8,4252281883,140,80.6,4252281885,141,73.5,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967097,3,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,0,18.7,15,2023-05-05T18:30:15.804Z,2023-05-05T18:30:16Z,4252281949,140,32.3,4252281955,213,0.5,4252281953,212,16.4,4252281951,141,26.8,4252281947,56,Back,4252281945,3,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967137,5,1,1,0,7,28u3q82ip96ahymkup01vfxli,0,65.6,73.6,2023-05-05T18:30:18.694Z,2023-05-05T18:30:19Z,4252282141,56,Center,4252282147,212,15.4,4252282143,140,65.5,4252282149,213,4.7,4252282145,141,50.9,,,,,,,,,,3km1u2mw1tkioh2mucow7d1pl,S. Tierney,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967161,4,8,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,31.8,49.1,2023-05-05T18:30:21.213Z,2023-05-06T16:47:56Z,4255131857,385,,4252282257,56,Back,,,,,,,,,,,,,,,,,,,24qwx85sfxy0r8pld85w7tzze,K. Kühl,,,,,,,,,,,,,,,,,,,,,,,,,,
2543967209,6,43,1,0,14,28u3q82ip96ahymkup01vfxli,1,0,0,2023-05-05T18:30:24.926Z,2023-05-06T16:48:43Z,4255134213,144,49,,,,,,,,,,,,,,,,,,,,,,3km1u2mw1tkioh2mucow7d1pl,S. Tierney,,,,,,,,,,,,,,,,,,,,,,,,,,
