id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist
2519122765,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2023-03-12T13:09:27.513Z,2023-03-12T14:06:41Z,4092492433,130,11,4092492431,59,"1, 2, 12, 28, 23, 3, 7, 8, 24, 18, 20, 4, 15, 17, 22, 34, 35",4092492435,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4092492437,194,40drqeciuqe2j07g5cnc6xf55,4092492439,197,738,4092492429,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4092492441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092492427,30,"cn8ti0qxxvg0z0vvmwkocggr9, 2wv3bsfv3jh5ar8xw97lpxr6d, 40drqeciuqe2j07g5cnc6xf55, 4rz247hboaqnxo1mbdiw3ctsl, 5wjfxb57gtzmp7m29wotyafv9, cmcx5h39wkd0cnsbq1vcob4r9, brppytuf1766c50274dkue5pm, efvcf4syatkaw5fbo37i5hat, dw593ezeekrbzlc2qhtc805p1, 9v895fdc1blaaboscv14vp149, 153m45p2fkc2q8x9zq105g45, 8eixmur5ss02hjp0vh099jyz9, d0da7ef6pvbmrnw0j93iv1jze, en5gss0im4eenrtt3zctkpm8l, 768y6t2upduf30343ymkariwa, d1qqpvdx6b20aqcqav7l2dvdg, d80r13kh5f6bcpwsy3cka75d5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519130303,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2023-03-12T13:16:34.198Z,2023-03-12T13:34:57Z,4092529725,59,"1, 4, 29, 15, 5, 6, 23, 24, 9, 19, 20, 8, 13, 14, 16, 18, 22, 25, 37, 39",4092529723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092529721,30,"7f3opq72gey1boxe6vcgmfvth, eoc724h5j6mnvvu1nbumezmxh, tzc4bqcf2wkz1k7d96l8g3my, z8vdz64bgqus4c85451nsrf9, elelvar8kyxwpfqzwr1v00b85, 2zdgbwd6y5u4pd08upf1sda6t, enqn8azrcz6vks9d21ze9w2c5, drwlmmiguqz2mfzsh6gjmklx, xfhvn9tfu8wwd1whgo1jgand, ctzcuzproy4kwpa5wweruw3px, e6pdkq17etv9k527m94sqqu39, 7kx86ostcp0tfo53g9cpqn7px, ceww6vauxaqddgogso515rcru, 8gh56ar8x8yxjfcm66m7532ll, beeqbcwweng7zflrap12ph7qi, dwclepmsssh2hd8381rjqbufp, 4vgx21i9mmnoud5h6px197f11, 6aaes6ikbmrg75h6asm58wpg5, 6sblu3ysswbak8k955b6zff9w, 3kg34rp7ealsortc9i0bqyxw4",4092529729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092529727,130,2,4092529733,197,6732,4092529731,194,tzc4bqcf2wkz1k7d96l8g3my,4092529735,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519164113,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2023-03-12T14:00:48.397Z,2023-03-12T14:00:48Z,4092705307,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519164125,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2023-03-12T14:00:48.397Z,2023-03-12T14:00:49Z,4092705341,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519164141,3,1,1,0,0,9ijyncrxsejz505dbadwr1dir,1,50.1,49.9,2023-03-12T14:00:48.497Z,2023-03-12T14:47:05Z,4092705445,212,8.3,4092705443,141,51.0,4092705441,140,42.2,4092705439,56,Back,4092705449,279,S,4092705447,213,3.1,,,,,,,e6pdkq17etv9k527m94sqqu39,M. Iwabuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519164171,4,1,1,0,2,9ijyncrxsejz505dbadwr1dir,0,43.6,49,2023-03-12T14:00:50.906Z,2023-03-12T14:00:52Z,4092705605,140,75.6,4092705613,213,0.5,4092705601,157,,4092705603,56,Center,4092705609,212,37.5,4092705617,1,,4092705607,141,73.6,,,,z8vdz64bgqus4c85451nsrf9,A. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519164197,3,1,1,0,4,mjejb0x57ms54j9ry6s8njwh,0,26.5,16.1,2023-03-12T14:00:53.274Z,2023-03-12T14:00:55Z,4092705733,213,5.7,4092705731,212,7.0,4092705725,56,Back,4092705723,3,,4092705729,141,10.9,4092705727,140,32.2,,,,,,,2wv3bsfv3jh5ar8xw97lpxr6d,E. Koivisto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519164227,4,1,1,0,7,mjejb0x57ms54j9ry6s8njwh,0,28.1,9.7,2023-03-12T14:00:56.395Z,2023-03-12T14:00:57Z,4092705863,140,31.7,4092705861,56,Back,4092705865,141,14.9,4092705867,212,5.2,4092705869,213,0.8,,,,,,,,,,brppytuf1766c50274dkue5pm,M. Kearns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519164223,5,61,1,0,8,9ijyncrxsejz505dbadwr1dir,0,69.2,67.9,2023-03-12T14:00:56.925Z,2023-03-12T14:00:57Z,4092705851,56,Center,,,,,,,,,,,,,,,,,,,,,,drwlmmiguqz2mfzsh6gjmklx,D. Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519164321,6,1,1,0,12,9ijyncrxsejz505dbadwr1dir,1,63.7,67.6,2023-03-12T14:01:00.497Z,2023-03-12T14:46:25Z,4092706383,56,Back,4092706385,140,34.4,4092706387,141,71.7,4092706389,212,30.9,4092706391,213,3.1,,,,,,,,,,e6pdkq17etv9k527m94sqqu39,M. Iwabuchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
