id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/15/value
2472836901,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2022-10-16T12:07:27.892Z,2022-10-16T13:04:00Z,3848561629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848561633,197,1154,3848561625,59,"1, 2, 14, 25, 4, 5, 7, 10, 21, 9, 11, 3, 6, 8, 12, 13, 15, 17, 22, 41",3848561621,30,"20ccu2ngcfo3cvczhzk682ju1, 8hq106ex872xezlr1j901kpux, bo5e35lsptja0pnlvk1y38dex, 7op9czmiln7ktmvetw97scz4l, 470uu9issmbdfyhxjq75gdbs9, c6k1w8sothxmc08dbhqjzp1w5, 7gmh6g5c39asg7gnthx1jxp79, et72990p9axru09oxv51hokwl, cm84oje8txj7m34zuhhv68ct1, 8gxse7h6ucubo3weq7sp9dnf9, 10d8jj5vwrmib55tth0isfvft, 1cyzpbgl74lage7toh7f1tgb9, 5vuw3lywsh90t394m8h6g5ihh, brflebs8m00rgali2owyoyove, 3ddo1m631pf9ruzzpaujs9gph, 1to70vfsch5kwvw3kjgo1iggl, eb0h79vh5dwggjx7shj0ovetx, 5t9mthxv6kthq6tnntv5q4fdh, 6vqain7mmp94wueprv9aj5xp1, a8p1m5xzbpbzere0gmb3rye0a",3848561635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848561623,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848561627,130,4,3848561631,194,c6k1w8sothxmc08dbhqjzp1w5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472839751,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-10-16T12:10:08.483Z,2022-10-16T13:28:31Z,3848576113,59,"28, 13, 4, 3, 15, 22, 16, 14, 27, 10, 23, 2, 5, 7, 8, 12, 20, 35, 44",3848576123,194,7m31qpkmuh3amb6navttdlvpx,3848576109,30,"8ctokja53x311jvllpdh6v4yd, 4lfk4hy1a6ig3izoq3mgl9zhl, 6k1s7y9dnzdpppppdco7bgudx, 3km1u2mw1tkioh2mucow7d1pl, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, c7giuh90mnvajsobobcbx4ley, 9mfotw533oa5qs1muu2z8t8lx, 19qjvbtfwo55xwsqu5dmwh9ii, 7m31qpkmuh3amb6navttdlvpx, 3upyu7hn2q7voapvgtlnl1yad, 9mjnqdz7dqs3ymr7bvec7lbkl, 8evgc5zhtfnqatt15vr3ttwwl, 6zu0f63ej8pixk97nfzrexiad, 2hoa4v8810rmsbi85pfanyfl6, 8xlmd18k335ypz59olrdjhcve, 1ct6g590mpcg14jw94v4g2tm2, 3i90wgjkjzq4krgms7tfhp5p0, 7l34xmrhlyosdxfc7j3rru609",3848576127,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848576125,197,12900,3848576115,130,6,3848576111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3848576121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472891867,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2022-10-16T13:03:04.804Z,2022-10-16T13:03:05Z,3848842429,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472891881,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-10-16T13:03:04.804Z,2022-10-16T13:03:07Z,3848842497,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472891913,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,50,50,2022-10-16T13:03:04.904Z,2022-10-16T13:03:07Z,3848842649,279,S,3848842645,212,13.1,3848842639,56,Back,3848842641,140,37.6,3848842643,141,51.6,3848842647,213,3.1,,,,,,,cm84oje8txj7m34zuhhv68ct1,K. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892003,4,1,1,0,2,36tr17foeaf9ejjmt2txuoy3y,1,37.6,51.6,2022-10-16T13:03:07.016Z,2022-10-16T13:03:10Z,3848843029,212,12.2,3848843025,140,29.6,3848843023,56,Back,3848843027,141,38.5,3848843031,213,4.0,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892037,5,1,1,0,5,36tr17foeaf9ejjmt2txuoy3y,1,28.5,40.7,2022-10-16T13:03:10.792Z,2022-10-16T13:03:12Z,3848843235,212,12.3,3848843229,56,Back,3848843233,141,58.7,3848843237,213,1.5,3848843231,140,29.1,,,,,,,,,,bo5e35lsptja0pnlvk1y38dex,E. Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892127,6,1,1,0,7,36tr17foeaf9ejjmt2txuoy3y,1,29.1,58.7,2022-10-16T13:03:12.240Z,2022-10-16T13:03:17Z,3848843689,213,1.3,3848843679,56,Back,3848843681,140,35.0,3848843683,141,88.9,3848843687,212,21.5,,,,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892151,7,1,1,0,12,36tr17foeaf9ejjmt2txuoy3y,1,34.2,87.8,2022-10-16T13:03:17.089Z,2022-10-16T13:03:18Z,3848843843,141,55.7,3848843839,56,Back,3848843845,212,31.8,3848843841,140,12.2,3848843847,213,3.9,,,,,,,,,,bo5e35lsptja0pnlvk1y38dex,E. Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892219,8,1,1,0,14,36tr17foeaf9ejjmt2txuoy3y,1,12.2,55.7,2022-10-16T13:03:18.817Z,2022-10-16T13:03:22Z,3848844199,212,22.8,3848844193,56,Back,3848844195,140,29.5,3848844197,141,35.4,3848844201,213,5.6,,,,,,,,,,20ccu2ngcfo3cvczhzk682ju1,E. Roebuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892291,9,1,1,0,17,36tr17foeaf9ejjmt2txuoy3y,1,29.7,32.8,2022-10-16T13:03:22.016Z,2022-10-16T13:03:25Z,3848844599,140,11.8,3848844605,212,21.1,3848844607,213,2.7,3848844601,141,46.9,3848844597,56,Back,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892415,10,1,1,0,20,36tr17foeaf9ejjmt2txuoy3y,1,11.8,46.9,2022-10-16T13:03:25.329Z,2022-10-16T13:03:31Z,3848845261,212,22.2,3848845253,140,26.4,3848845249,56,Back,3848845263,213,0.8,3848845255,141,70.5,,,,,,,,,,20ccu2ngcfo3cvczhzk682ju1,E. Roebuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892487,11,1,1,0,26,36tr17foeaf9ejjmt2txuoy3y,1,27.4,73.6,2022-10-16T13:03:31.649Z,2022-10-16T13:03:36Z,3848845641,140,54.2,3848845647,213,0.5,3848845643,141,95.4,3848845639,56,Left,3848845645,212,31.8,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892547,12,1,1,0,31,36tr17foeaf9ejjmt2txuoy3y,1,53.8,84.7,2022-10-16T13:03:36.345Z,2022-10-16T13:03:39Z,3848845953,213,5.8,3848845947,140,72.4,3848845951,212,22.3,3848845949,141,68.8,3848845945,56,Center,,,,,,,,,,bo5e35lsptja0pnlvk1y38dex,E. Morgan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892623,13,1,1,0,34,36tr17foeaf9ejjmt2txuoy3y,1,65,64,2022-10-16T13:03:39.337Z,2022-10-16T13:03:42Z,3848846265,140,43.7,3848846271,213,3.7,3848846269,212,26.4,3848846263,56,Back,3848846267,141,43.4,,,,,,,,,,cm84oje8txj7m34zuhhv68ct1,K. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892667,14,1,1,0,38,36tr17foeaf9ejjmt2txuoy3y,1,43,40.9,2022-10-16T13:03:42.817Z,2022-10-16T13:03:45Z,3848846483,56,Back,3848846493,213,4.6,3848846487,141,10.1,3848846489,212,21.1,3848846485,140,40.5,,,,,,,,,,7op9czmiln7ktmvetw97scz4l,Y. Hasegawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892783,15,1,1,0,41,36tr17foeaf9ejjmt2txuoy3y,1,41.1,8.2,2022-10-16T13:03:46.473Z,2022-10-16T13:03:50Z,3848847083,141,5.5,3848847089,213,6.2,3848847079,56,Right,3848847085,212,21.3,3848847081,140,61.3,,,,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892805,16,1,1,0,45,36tr17foeaf9ejjmt2txuoy3y,0,62.2,5.5,2022-10-16T13:03:50.249Z,2022-10-16T13:03:51Z,3848847169,213,6.0,3848847163,140,75.8,3848847165,141,0.0,3848847167,212,15.1,3848847161,56,Right,,,,,,,,,,7gmh6g5c39asg7gnthx1jxp79,L. Coombs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893017,3,5,1,0,45,28u3q82ip96ahymkup01vfxli,1,27.7,101.2,2022-10-16T13:03:50.703Z,2022-10-16T13:04:03Z,3848848257,347,,3848848299,233,17,3848848255,56,Back,,,,,,,,,,,,,,,,3upyu7hn2q7voapvgtlnl1yad,J. Purfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472892809,17,5,1,0,45,36tr17foeaf9ejjmt2txuoy3y,0,72.3,-1.2,2022-10-16T13:03:50.703Z,2022-10-16T13:13:43Z,3848847195,347,,3848848409,233,3,3848847191,56,Right,,,,,,,,,,,,,,,,7gmh6g5c39asg7gnthx1jxp79,L. Coombs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893077,4,1,1,0,57,28u3q82ip96ahymkup01vfxli,0,30.9,100,2022-10-16T13:04:02.598Z,2022-10-16T13:04:05Z,3848848579,141,91.1,3848848575,56,Back,3848848581,212,16.1,3848848573,107,,3848848583,213,5.8,3848848577,140,44.8,,,,,,,6k1s7y9dnzdpppppdco7bgudx,C. Bott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893155,18,1,1,1,1,36tr17foeaf9ejjmt2txuoy3y,0,45,10.7,2022-10-16T13:04:06.057Z,2022-10-16T13:04:07Z,3848848965,141,18.0,3848848959,3,,3848848963,140,60.4,3848848969,213,0.3,3848848961,56,Right,3848848967,212,16.9,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893209,5,1,1,1,3,28u3q82ip96ahymkup01vfxli,0,47,82.7,2022-10-16T13:04:08.654Z,2022-10-16T13:04:12Z,3848849179,212,15.4,3848849173,56,Left,3848849175,140,56.9,3848849171,3,,3848849177,141,99.5,3848849181,213,0.8,,,,,,,3upyu7hn2q7voapvgtlnl1yad,J. Purfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893217,6,5,1,1,5,28u3q82ip96ahymkup01vfxli,0,55.6,101,2022-10-16T13:04:10.226Z,2022-10-16T13:13:44Z,3848849765,233,19,3848849213,56,Left,3848849215,347,,,,,,,,,,,,,,,,,3upyu7hn2q7voapvgtlnl1yad,J. Purfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893329,19,5,1,1,5,36tr17foeaf9ejjmt2txuoy3y,1,44.4,-1,2022-10-16T13:04:10.226Z,2022-10-16T13:04:16Z,3848849727,347,,3848849749,233,6,3848849725,56,Back,,,,,,,,,,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893439,20,1,1,1,11,36tr17foeaf9ejjmt2txuoy3y,1,45.6,0,2022-10-16T13:04:16.048Z,2022-10-16T13:04:21Z,3848850259,141,14.4,3848850255,56,Right,3848850263,213,0.9,3848850253,107,,3848850257,140,54.7,3848850261,212,14.5,,,,,,,8hq106ex872xezlr1j901kpux,K. Casparij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893453,21,50,1,1,14,36tr17foeaf9ejjmt2txuoy3y,1,52.4,17.8,2022-10-16T13:04:19.381Z,2022-10-16T13:04:22Z,3848850333,286,,3848850331,56,Right,3848850377,233,7,,,,,,,,,,,,,,,,et72990p9axru09oxv51hokwl,D. Castellanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472893437,7,7,1,1,14,28u3q82ip96ahymkup01vfxli,1,47.6,82.2,2022-10-16T13:04:19.382Z,2022-10-16T13:04:22Z,3848850245,285,,3848850243,56,Back,3848850347,233,21,,,,,,,,,,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
