id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value
2497715149,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-01-15T14:16:18.635Z,2023-01-15T14:56:22Z,3979720561,59,"33, 4, 23, 8, 15, 22, 21, 3, 20, 10, 16, 1, 13, 28, 32, 34, 40, 41",3979720565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3979720571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979720557,30,"avud4qv9xovwlr2pxc8fcmiuh, 6k1s7y9dnzdpppppdco7bgudx, 3upyu7hn2q7voapvgtlnl1yad, 2hoa4v8810rmsbi85pfanyfl6, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, 7f7tbbjqhhyydjj4wurm28xcl, 3km1u2mw1tkioh2mucow7d1pl, 1ct6g590mpcg14jw94v4g2tm2, 7m31qpkmuh3amb6navttdlvpx, c7giuh90mnvajsobobcbx4ley, 7n8jink50lk1tivoqpe57h32t, 4lfk4hy1a6ig3izoq3mgl9zhl, 8ctokja53x311jvllpdh6v4yd, 32qdycwtlahk754bdqjsowduc, dkjsgguge2u6wrt9epktjqbys, cxn46t7y57p1u243wp7dy8ydw, e9d84gt62onfgxr33f0t8g178",3979720567,194,7m31qpkmuh3amb6navttdlvpx,3979720559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3979720563,130,8,3979720569,197,9086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497742395,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-01-15T14:57:34.131Z,2023-01-15T15:42:01Z,3979875669,197,17123,3979875663,130,2,3979875659,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3979875671,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979875665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3979875661,59,"1, 2, 3, 6, 5, 21, 22, 10, 9, 15, 7, 4, 12, 13, 14, 17, 18, 20, 40",3979875667,194,8iu9bdow1xgzswzl78cbioyxh,3979875657,30,"czz8zqjv03gdbbxiadp90pq6t, 1vo1ye9ofjtt7avoll1cmc9re, 8lf62k2iwmb23gywex08s6m09, af52uy5fmw1y9o4eq1sststex, 18f6a50q9okw7dcii40i8vd91, 9egpxgjpxaa3dkgkzy8brq1re, 5ye5h1o9ndhfeqdi8mh4f9une, 8iu9bdow1xgzswzl78cbioyxh, 1yyfd17df158m5eymkechszpx, a1654m0k2rptsqkxj96s955n9, 6kitz3oodxt3ejj5u0fwzhhat, 6038cudzzp36z0gsb621fp3sa, cluv8to27h67l6upuanv59bai, 92faf40oeermdhlvh8k482vo5, 8vr66twomklrat7c94k2knkr9, af3x1ptiil8vti00lxf1x8ewa, da8ymxqy00lunda8tq9oltuj9, an1ovi7c16xed4jqub6oxgclx, 6r271sec7c84p1vqi2b1p5td5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743697,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-01-15T15:01:37.356Z,2023-01-15T15:01:39Z,3979884915,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743693,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-01-15T15:01:37.356Z,2023-01-15T15:01:37Z,3979884909,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743699,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,50,50.3,2023-01-15T15:01:37.676Z,2023-01-15T17:04:49Z,3979884927,212,12.4,3979884925,141,50.9,3979884921,56,Center,3979884931,279,S,3979884929,213,0.0,3979884923,140,61.8,,,,,,,1yyfd17df158m5eymkechszpx,Lee Geum-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743779,4,1,1,0,4,dcdnoyf6kzhj46iyfm7xq43fy,1,24.8,61.5,2023-01-15T15:01:42.022Z,2023-01-15T15:01:45Z,3979885367,140,24.8,3979885371,212,18.9,3979885365,56,Back,3979885369,141,33.7,3979885373,213,4.7,,,,,,,,,,af52uy5fmw1y9o4eq1sststex,D. Stefanović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743801,5,1,1,0,8,dcdnoyf6kzhj46iyfm7xq43fy,0,27.6,22.8,2023-01-15T15:01:45.830Z,2023-01-15T15:16:13Z,3979885513,212,49.3,3979885509,140,74.0,3979885515,213,6.1,3979885511,141,11.7,3979885507,56,Right,3979885505,155,,3979885517,1,,,,,9egpxgjpxaa3dkgkzy8brq1re,Z. Morse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743797,3,44,1,0,11,28u3q82ip96ahymkup01vfxli,1,28.5,83.6,2023-01-15T15:01:48.834Z,2023-01-15T15:01:50Z,3979885483,56,Back,3979885563,233,6,3979885485,285,,,,,,,,,,,,,,,,,8hmqpyniap0whyfhco0dhp3v9,A. Plumptre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743805,6,44,1,0,11,dcdnoyf6kzhj46iyfm7xq43fy,0,71.5,16.4,2023-01-15T15:01:48.835Z,2023-01-15T15:01:50Z,3979885591,233,3,3979885535,286,,3979885533,56,Right,,,,,,,,,,,,,,,,18f6a50q9okw7dcii40i8vd91,G. Bergsvand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497743829,4,1,1,0,11,28u3q82ip96ahymkup01vfxli,1,29.5,78.8,2023-01-15T15:01:49.105Z,2023-01-15T15:01:54Z,3979885705,56,Back,3979885711,212,12.0,3979885707,140,37.4,3979885703,3,,3979885709,141,66.0,3979885713,213,5.5,,,,,,,8hmqpyniap0whyfhco0dhp3v9,A. Plumptre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
