id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/14/value,qualifier/16/value
2515803733,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-03-05T11:45:20.472Z,2023-03-05T12:45:35Z,4074896537,197,9086,4074896533,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4074896527,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4074896535,194,7m31qpkmuh3amb6navttdlvpx,4074896525,30,"avud4qv9xovwlr2pxc8fcmiuh, e9d84gt62onfgxr33f0t8g178, 4r1z04gidueqs684yxeyrq8ve, 3km1u2mw1tkioh2mucow7d1pl, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, 9mfotw533oa5qs1muu2z8t8lx, 60q198d41n3y887jeiezr850q, 2xphfksgb05a8z4e9328mywvd, 7m31qpkmuh3amb6navttdlvpx, 7f7tbbjqhhyydjj4wurm28xcl, 2hoa4v8810rmsbi85pfanyfl6, 1ct6g590mpcg14jw94v4g2tm2, 3upyu7hn2q7voapvgtlnl1yad, 8ctokja53x311jvllpdh6v4yd, 32qdycwtlahk754bdqjsowduc, dkjsgguge2u6wrt9epktjqbys, cxn46t7y57p1u243wp7dy8ydw",4074896539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074896529,59,"33, 41, 2, 3, 15, 22, 14, 30, 19, 10, 21, 8, 20, 23, 28, 32, 34, 40",4074896531,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515804101,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-03-05T11:45:55.267Z,2023-03-05T11:57:57Z,4074898473,130,8,4074898477,194,9ijnmgmapjcnctich86692tw5,4074898475,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074898479,197,8474,4074898481,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074898469,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4074898471,59,"27, 2, 6, 10, 15, 21, 9, 12, 23, 7, 11, 5, 8, 16, 17, 19, 22, 28, 29, 32",4074898467,30,"eofeaerj2f8tm1xldw18e2o5x, 4ihrb3uj478vlzrbh94jj1i3t, 2s15k44faiinj3gz5tswtv4d1, 9ijnmgmapjcnctich86692tw5, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, 9zdmc8v5sfrv9z7da49odn4a2, 1haq2mkmbebj3jbt0z2jom4lx, 5qxvej7pcqqr989sba7k0jv85, 2a45d0hq84uxfi5t9c65dw7vt, d29d4xtq3ib0nim6keirgdx3p, 3u2e56fhs12qok7truspt65zp, 5adluw93r1tx4n3ta3wyhj7bp, 5c00ea33ei5ie1iauirtge505, 440p9vyf2bnhoivrea2biq9k9, 321yjdo3gio1l33hc1pdps4wl, c705ailfiov40xwoysz0ggct1, 1234a1tb7y6trj9xsoqvx0x5h, 7eq281s0sa083qvx8tfwp7pat, el8c138wsa0bnop68caop5uxh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832409,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-03-05T12:31:22.168Z,2023-03-05T12:31:22Z,4075047689,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832433,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-03-05T12:31:22.168Z,2023-03-05T12:31:23Z,4075047791,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832453,3,1,1,0,0,axwnneoekq2f2yq6r1l704y96,1,50.2,50,2023-03-05T12:31:22.268Z,2023-03-05T12:31:24Z,4075047865,213,3.1,4075047867,279,S,4075047863,212,16.8,4075047859,140,34.2,4075047857,56,Back,4075047861,141,50.3,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832475,4,1,1,0,2,axwnneoekq2f2yq6r1l704y96,1,35.1,51,2023-03-05T12:31:24.271Z,2023-03-05T12:31:26Z,4075047975,141,87.4,4075047979,213,1.7,4075047977,212,25.1,4075047973,140,30.9,4075047971,56,Back,,,,,,,,,,9ijnmgmapjcnctich86692tw5,K. Zelem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832519,5,1,1,0,4,axwnneoekq2f2yq6r1l704y96,1,32.8,82.3,2023-03-05T12:31:26.318Z,2023-03-05T12:31:28Z,4075048209,56,Back,4075048213,141,96.2,4075048217,213,0.5,4075048211,140,47.5,4075048215,212,18.1,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832549,6,1,1,0,6,axwnneoekq2f2yq6r1l704y96,1,46.8,95.3,2023-03-05T12:31:28.631Z,2023-03-05T12:31:30Z,4075048357,141,95.3,4075048361,213,3.1,4075048353,56,Back,4075048355,140,32.1,4075048359,212,15.4,,,,,,,,,,d29d4xtq3ib0nim6keirgdx3p,L. Galton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832593,7,1,1,0,8,axwnneoekq2f2yq6r1l704y96,1,32.1,95.3,2023-03-05T12:31:30.278Z,2023-03-05T12:31:32Z,4075048569,213,4.2,4075048565,141,72.4,4075048561,56,Back,4075048563,140,24.6,4075048567,212,17.5,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515832635,8,1,1,0,10,axwnneoekq2f2yq6r1l704y96,1,23.7,70.8,2023-03-05T12:31:32.879Z,2023-03-05T12:31:35Z,4075048797,56,Back,4075048799,140,20.9,4075048801,141,31.2,4075048805,213,4.6,4075048803,212,27.1,,,,,,,,,,bl6mkergo04815vpi73fgtwb9,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
