id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,assist,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2552274207,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-05-21T10:35:37.327Z,2023-05-21T10:35:37Z,4296506905,30,"6fi5hacjc8lj8zej0d2lfq66t, 6ypmyozp8zmq4tk36n49oz5xx, c0my4y3kjf7jbbfujj5l8e8yx, amox5xqwe8gybft16wa7qbufp, daqovjw2z3rsq6rs1vq38980l, eincxi6xa1nrhr9qldtxboyqd, 9n2d2dv38kp2exb7z3xh2ykiy, cij18xj0bx2zyx3mi9xwykn9x, 66f0rjs4c2yih8phn6meyj74l, dz9ye5g98flhuscti7l8nillh, 1cfhmihovl78l8osqbo1w9nth, 6xrzl8rljlz8zmlaj69qqktlh, 9ohn9m84cy89huz745lirkted, 1tbavyz1q1hq1fqcoc3gijutx, ek8x7y3jt0xcebttt75qi5exh, 2m6wew2746q1xsoio3703t8t1, 4wxqckb43bkeobwanys62zvmd, eb16y0nh6ekr5yyrgfqigyq5l, 2hkkfeyzmu2pkqgjw3bpl7cnp",4296506915,194,eincxi6xa1nrhr9qldtxboyqd,4296506913,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4296506909,59,"30, 15, 21, 5, 18, 16, 10, 22, 20, 23, 11, 1, 7, 8, 17, 19, 26, 27, 28",4296506907,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4296506917,197,735,4296506919,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296506911,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552274221,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-05-21T10:35:39.204Z,2023-05-21T11:39:43Z,4296506987,59,"1, 16, 15, 2, 5, 3, 12, 21, 25, 22, 19, 7, 14, 17, 18, 20, 27, 29, 50, 56",4296506989,130,17,4296506991,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296506997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4296506983,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, bilgoekg6gqwr3qbp6dp0j1zp, d9zt8e8lnk9a22we6o6wqyndh, bd1752qgxbodnsgdus42fc99l, 1o0o6thivoulnmsklkpbwpiad, 6ywketcafnc6x3tncvohzesx5, ec1vrqeqni3lmibeazgq62eol, 24qwx85sfxy0r8pld85w7tzze, ddagc0khq0zh1ywynyci8nzrp, e3fa1ou90dirp8yjjterhrs9h, e0gysmymetthyhdkn2q54l51x, 3i4ljm3hqc6wg8s6l4onlagut, 8wvdn1f18jaxmjg4zkizons6i, cl94qe8su9mdjcijafr4gst4a, 92k3ea1daqrl2ri1jn49v0vyt, f0afav75l1iz383ozx84b7i3u, 8oodn5j37l323zriztyypkx78, 5utqxprl108x404hqwul42plg",4296506985,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4296506993,194,6679bfd6bjylogbe4ebese85x,4296506995,197,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552301205,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-05-21T11:30:09.754Z,2023-05-21T11:30:12Z,4296649763,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552301201,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-05-21T11:30:09.754Z,2023-05-21T19:21:31Z,4296649757,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552301211,3,1,1,0,1,5rurqie3qt1qav9ir5mkqinn,1,49.9,50,2023-05-21T11:30:10.854Z,2023-05-21T22:20:40Z,4296649787,140,31.2,4296649789,141,61.1,4296649791,212,21.0,4296649785,56,Back,4296649795,279,S,4296649793,213,2.8,,,,,,,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552301293,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,30.8,63.1,2023-05-21T11:30:13.743Z,2023-05-21T11:31:26Z,4296650173,140,17.5,4296650175,141,35.5,4296650171,56,Back,4296650179,213,4.1,4296650177,212,23.4,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552301305,5,1,1,0,11,5rurqie3qt1qav9ir5mkqinn,1,19.3,34.9,2023-05-21T11:30:21.063Z,2023-05-21T11:30:47Z,4296650211,56,Back,4296650215,141,50.4,4296650219,213,2.4,4296650217,212,15.9,4296650213,140,7.9,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552301311,6,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,7.9,50.4,2023-05-21T11:30:22.047Z,2023-05-21T22:21:04Z,4296650239,140,24.7,4296650243,212,17.7,4296650237,56,Back,4296650241,141,47.5,4296650245,213,6.2,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552301333,7,1,1,0,13,5rurqie3qt1qav9ir5mkqinn,1,24.7,47.5,2023-05-21T11:30:23.711Z,2023-05-21T22:21:05Z,4296650351,212,17.6,4296650345,56,Back,4296650353,213,3.0,4296650349,141,51.0,4296650347,140,8.1,,,,,,,,,,6ywketcafnc6x3tncvohzesx5,V. Pelova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552301351,8,1,1,0,15,5rurqie3qt1qav9ir5mkqinn,1,7.6,55.2,2023-05-21T11:30:25.551Z,2023-05-21T11:30:27Z,4296650419,141,93.0,4296650417,140,28.0,4296650423,213,0.9,4296650425,1,,4296650413,155,,4296650415,56,Back,4296650421,212,33.5,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
