id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2524411049,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2023-03-25T14:03:07.691Z,2023-03-25T15:04:24Z,4122718927,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122718917,59,"1, 29, 6, 25, 4, 5, 14, 15, 24, 19, 23, 8, 9, 13, 16, 18, 22",4122718921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4122718915,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4122718925,197,6732,4122718919,130,2,4122718913,30,"7f3opq72gey1boxe6vcgmfvth, tzc4bqcf2wkz1k7d96l8g3my, 2zdgbwd6y5u4pd08upf1sda6t, 6aaes6ikbmrg75h6asm58wpg5, eoc724h5j6mnvvu1nbumezmxh, elelvar8kyxwpfqzwr1v00b85, 8gh56ar8x8yxjfcm66m7532ll, z8vdz64bgqus4c85451nsrf9, drwlmmiguqz2mfzsh6gjmklx, ctzcuzproy4kwpa5wweruw3px, enqn8azrcz6vks9d21ze9w2c5, 7kx86ostcp0tfo53g9cpqn7px, xfhvn9tfu8wwd1whgo1jgand, ceww6vauxaqddgogso515rcru, beeqbcwweng7zflrap12ph7qi, dwclepmsssh2hd8381rjqbufp, 4vgx21i9mmnoud5h6px197f11",4122718923,194,tzc4bqcf2wkz1k7d96l8g3my,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524412195,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-03-25T14:07:22.015Z,2023-03-25T15:18:10Z,4122724653,59,"14, 16, 15, 10, 6, 3, 12, 13, 25, 21, 19, 1, 2, 5, 17, 18, 20, 22, 26, 27",4122724663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122724659,194,5m2ilglr6tlmgs2d4qzk5wno5,4122724651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4122724661,197,723,4122724657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4122724655,130,4,4122724649,30,"e0gysmymetthyhdkn2q54l51x, 8jooatan3cxd38v2jyf23pot1, 6679bfd6bjylogbe4ebese85x, 5m2ilglr6tlmgs2d4qzk5wno5, 6zaowm8oua2nzpobekogff1lh, bd1752qgxbodnsgdus42fc99l, 1o0o6thivoulnmsklkpbwpiad, e8ivbfq0irn8f2p8krhkikzx1, ec1vrqeqni3lmibeazgq62eol, 6ywketcafnc6x3tncvohzesx5, ddagc0khq0zh1ywynyci8nzrp, dib5a7vebmtxqcksi1tuteklx, bilgoekg6gqwr3qbp6dp0j1zp, d9zt8e8lnk9a22we6o6wqyndh, 3i4ljm3hqc6wg8s6l4onlagut, 8wvdn1f18jaxmjg4zkizons6i, cl94qe8su9mdjcijafr4gst4a, 24qwx85sfxy0r8pld85w7tzze, 8lfnj5bvo97dimx52no42nmqd, 92k3ea1daqrl2ri1jn49v0vyt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425131,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2023-03-25T15:00:10.724Z,2023-03-25T17:39:14Z,4122790225,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425135,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2023-03-25T15:00:10.724Z,2023-03-25T15:00:11Z,4122790239,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425143,3,1,1,0,0,9ijyncrxsejz505dbadwr1dir,1,50,50,2023-03-25T15:00:10.824Z,2023-03-25T15:01:07Z,4122790277,141,46.4,4122790281,213,3.4,4122790275,140,41.7,4122790273,56,Back,4122790279,212,9.1,4122790283,279,S,,,,,,,8gh56ar8x8yxjfcm66m7532ll,C. Bizet Ildhusøy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425149,4,1,1,0,1,9ijyncrxsejz505dbadwr1dir,0,45.8,47.8,2023-03-25T15:00:12.424Z,2023-03-25T15:53:40Z,4122790293,141,61.4,4122790295,212,19.4,4122790289,56,Center,4122790291,140,62.0,4122790297,213,0.5,,,,,,,,,,z8vdz64bgqus4c85451nsrf9,A. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425141,3,8,1,0,2,5rurqie3qt1qav9ir5mkqinn,1,46.3,28.8,2023-03-25T15:00:13.709Z,2023-03-25T17:41:14Z,4123262815,383,,4122790271,56,Back,,,,,,,,,,,,,,,,,,,6ywketcafnc6x3tncvohzesx5,V. Pelova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425145,4,49,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,45.1,33.9,2023-03-25T15:00:14.495Z,2023-03-25T15:00:14Z,,,,,,,,,,,,,,,,,,,,,,,,,6ywketcafnc6x3tncvohzesx5,V. Pelova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425151,5,1,1,0,4,5rurqie3qt1qav9ir5mkqinn,1,45.1,33.9,2023-03-25T15:00:14.822Z,2023-03-25T15:00:17Z,4122790303,140,47.4,4122790309,213,1.5,4122790305,141,69.0,4122790301,56,Back,4122790307,212,24.0,,,,,,,,,,6ywketcafnc6x3tncvohzesx5,V. Pelova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524425187,6,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,0,47.4,69.4,2023-03-25T15:00:17.678Z,2023-03-25T15:00:22Z,4122790369,56,Left,4122790377,213,0.2,4122790371,140,89.2,4122790375,212,44.5,4122790373,141,80.6,4122790379,1,,,,,,,,ddagc0khq0zh1ywynyci8nzrp,C. Foord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
