id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value,assist
2550307001,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-05-17T18:26:47.313Z,2023-05-17T19:21:37Z,4286004603,194,9ov9x5gap2t34kv8clhwjqvh1,4286004607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4286004597,59,"1, 3, 2, 5, 23, 22, 7, 15, 26, 10, 12, 8, 11, 14, 18, 19, 21, 28, 33, 60",4286004593,30,"68a0jc6cin6hxx0bkdch9hc5x, 7mdnewy67dddv3ahqw1qhbx05, dfodeak21qhzgxr7qs85f3vf9, cs3pg64kurip4uftscemh01k9, stp0u46f1xc7a2mgvbkoy76x, 230r9tcwg89z5b9kxdqwi336d, 19npqca9guxs7p2yl5sbjmbx1, cnq88jph2nrn0o2tosrp4rmxh, e93vn46w6kk9xwdb8forgzil1, 9ov9x5gap2t34kv8clhwjqvh1, cvuaoz9c41od4r0j3sajszsut, 8rt7o6te5ltvzz2srt8kpu2g9, 50ef8q2ctd099il4iq14i0cfd, 29r8ofc6v5wms17o8vq6myw2d, f1xb9y38jfjmrhgv22svv9sa2, 3fta0gg3ghja3x9ouubjjfzl5, 54hjbtj3pm6a4qruhfsz6z3zd, 661dbl84kjewuzg0zkd62t0mi, cqfxdqu4j8ws6ejoklc7ahz6y, e7127p8bj7v1b9ytzhsv7u7tg",4286004599,130,10,4286004605,197,5223,4286004595,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4286004601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550307337,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-05-17T18:28:20.340Z,2023-05-17T21:11:53Z,4286006631,194,eincxi6xa1nrhr9qldtxboyqd,4286006623,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4286006627,130,8,4286006635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4286006629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4286006625,59,"1, 7, 21, 17, 26, 16, 19, 5, 20, 28, 23, 8, 10, 11, 13, 15, 18, 22, 27, 30",4286006633,197,10448,4286006621,30,"6xrzl8rljlz8zmlaj69qqktlh, 9ohn9m84cy89huz745lirkted, c0my4y3kjf7jbbfujj5l8e8yx, ek8x7y3jt0xcebttt75qi5exh, 4wxqckb43bkeobwanys62zvmd, eincxi6xa1nrhr9qldtxboyqd, 2m6wew2746q1xsoio3703t8t1, amox5xqwe8gybft16wa7qbufp, 66f0rjs4c2yih8phn6meyj74l, 2hkkfeyzmu2pkqgjw3bpl7cnp, dz9ye5g98flhuscti7l8nillh, 1tbavyz1q1hq1fqcoc3gijutx, 9n2d2dv38kp2exb7z3xh2ykiy, 1cfhmihovl78l8osqbo1w9nth, 9gquu0c64ha2dtrwt5jv2vdn9, 6ypmyozp8zmq4tk36n49oz5xx, daqovjw2z3rsq6rs1vq38980l, cij18xj0bx2zyx3mi9xwykn9x, eb16y0nh6ekr5yyrgfqigyq5l, 6fi5hacjc8lj8zej0d2lfq66t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550322921,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-05-17T19:17:37.908Z,2023-05-17T19:17:38Z,4286084469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550322923,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-05-17T19:17:37.908Z,2023-05-18T11:27:10Z,4286084481,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550322929,3,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,50.1,50.1,2023-05-17T19:17:38.008Z,2023-05-17T19:17:41Z,4286084535,212,15.1,4286084539,279,S,4286084531,140,35.9,4286084537,213,3.3,4286084533,141,46.6,4286084529,56,Back,,,,,,,amox5xqwe8gybft16wa7qbufp,S. Ingle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550322943,4,1,1,0,3,spi3g782q7m4evjxn1sv6cfa,0,35.9,46.6,2023-05-17T19:17:41.249Z,2023-05-17T19:17:46Z,4286084633,56,Center,4286084637,141,67.9,4286084641,213,0.4,4286084635,140,68.5,4286084639,212,37.2,4286084631,155,,4286084643,1,,,,,9ohn9m84cy89huz745lirkted,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550322945,3,44,1,0,6,cz26xwowfjp8ei14n9z2ac135,1,27.8,30.8,2023-05-17T19:17:44.205Z,2023-05-17T19:17:55Z,4286084649,56,Back,4286084651,285,,4286084689,233,5,,,,,,,,,,,,,,,,cnq88jph2nrn0o2tosrp4rmxh,L. Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550322951,5,44,1,0,6,spi3g782q7m4evjxn1sv6cfa,0,72.2,69.2,2023-05-17T19:17:44.206Z,2023-05-17T19:17:46Z,4286084671,286,,4286084735,233,3,4286084669,56,Center,,,,,,,,,,,,,,,,66f0rjs4c2yih8phn6meyj74l,S. Kerr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550322959,4,1,1,0,6,cz26xwowfjp8ei14n9z2ac135,1,24.1,29.5,2023-05-17T19:17:44.733Z,2023-05-17T19:17:56Z,4286084725,140,15.3,4286084729,212,15.3,4286084721,3,,4286084731,213,4.1,4286084727,141,11.6,4286084723,56,Back,,,,,,,cnq88jph2nrn0o2tosrp4rmxh,L. Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550322973,5,1,1,0,11,cz26xwowfjp8ei14n9z2ac135,0,22.8,4,2023-05-17T19:17:49.012Z,2023-05-17T19:17:49Z,4286084841,140,60.5,4286084837,157,,4286084845,212,39.7,4286084849,1,,4286084839,56,Right,4286084847,213,0.1,4286084843,141,9.1,,,,7mdnewy67dddv3ahqw1qhbx05,R. Shimizu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323013,6,1,1,0,15,spi3g782q7m4evjxn1sv6cfa,1,28.5,88.3,2023-05-17T19:17:53.281Z,2023-05-17T19:18:00Z,4286085113,212,21.6,4286085109,140,25.0,4286085115,213,4.5,4286085111,141,57.0,4286085107,56,Back,,,,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323017,7,1,1,0,22,spi3g782q7m4evjxn1sv6cfa,1,33.2,46,2023-05-17T19:18:00.273Z,2023-05-17T19:18:03Z,4286085145,140,37.2,4286085147,141,63.4,4286085143,56,Back,4286085149,212,12.6,4286085151,213,1.2,,,,,,,,,,9ohn9m84cy89huz745lirkted,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323031,8,1,1,0,24,spi3g782q7m4evjxn1sv6cfa,0,43.5,68.5,2023-05-17T19:18:02.898Z,2023-05-17T19:18:04Z,4286085219,212,31.5,4286085217,141,64.6,4286085215,140,73.4,4286085213,56,Center,4286085221,213,6.2,4286085211,155,,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323037,6,1,1,0,26,cz26xwowfjp8ei14n9z2ac135,0,18,33.6,2023-05-17T19:18:04.741Z,2023-05-17T19:18:06Z,4286085241,141,9.5,4286085237,56,Back,4286085245,213,5.1,4286085239,140,23.6,4286085235,3,,4286085243,212,17.4,,,,,,,230r9tcwg89z5b9kxdqwi336d,G. Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323053,9,1,1,0,31,spi3g782q7m4evjxn1sv6cfa,1,71.2,86.9,2023-05-17T19:18:08.978Z,2023-05-17T19:18:10Z,4286085359,56,Center,4286085361,140,63.1,4286085367,213,4.1,4286085363,141,69.4,4286085365,212,14.6,,,,,,,,,,c0my4y3kjf7jbbfujj5l8e8yx,N. Charles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323081,10,1,1,0,32,spi3g782q7m4evjxn1sv6cfa,1,63.1,69.4,2023-05-17T19:18:10.553Z,2023-05-17T19:18:13Z,4286085491,56,Back,4286085501,213,2.4,4286085495,141,90.5,4286085497,212,21.1,4286085493,140,48.4,,,,,,,,,,amox5xqwe8gybft16wa7qbufp,S. Ingle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323111,11,1,1,0,35,spi3g782q7m4evjxn1sv6cfa,1,45.6,90.3,2023-05-17T19:18:13.473Z,2023-05-17T19:18:17Z,4286085645,212,23.1,4286085647,213,4.3,4286085643,141,59.0,4286085641,140,37.0,4286085639,56,Back,,,,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323131,12,1,1,0,39,spi3g782q7m4evjxn1sv6cfa,1,35.7,46.9,2023-05-17T19:18:17.080Z,2023-05-17T19:18:19Z,4286085733,140,44.5,4286085737,212,27.7,4286085731,56,Back,4286085735,141,8.5,4286085739,213,5.1,,,,,,,,,,9ohn9m84cy89huz745lirkted,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323167,13,1,1,0,41,spi3g782q7m4evjxn1sv6cfa,1,43.7,9.8,2023-05-17T19:18:19.385Z,2023-05-17T19:18:25Z,4286085975,140,38.6,4286085979,212,14.7,4286085981,213,1.9,4286085973,56,Back,4286085977,141,30.0,,,,,,,,,,4wxqckb43bkeobwanys62zvmd,K. Buchanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323185,14,1,1,0,47,spi3g782q7m4evjxn1sv6cfa,1,52.9,56.3,2023-05-17T19:18:25.089Z,2023-05-17T19:18:27Z,4286086121,213,2.0,4286086115,140,46.3,4286086119,212,16.6,4286086117,141,78.5,4286086113,56,Back,,,,,,,,,,9ohn9m84cy89huz745lirkted,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323191,15,1,1,0,49,spi3g782q7m4evjxn1sv6cfa,1,55.1,79.1,2023-05-17T19:18:27.785Z,2023-05-17T19:18:28Z,4286086179,212,8.6,4286086175,140,57.6,4286086173,56,Left,4286086177,141,91.2,4286086181,213,1.3,,,,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323219,16,1,1,0,50,spi3g782q7m4evjxn1sv6cfa,1,57.6,91.4,2023-05-17T19:18:28.568Z,2023-05-18T11:30:17Z,4286086315,140,44.4,4286086319,212,18.0,4286086321,213,3.8,4286086313,56,Back,4286086317,141,74.4,,,,,,,,,,ek8x7y3jt0xcebttt75qi5exh,J. Fleming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550323237,17,1,1,0,53,spi3g782q7m4evjxn1sv6cfa,1,43.8,68.5,2023-05-17T19:18:31.401Z,2023-05-17T19:18:36Z,4286086435,140,40.5,4286086439,212,36.4,4286086443,1,,4286086437,141,15.2,4286086433,56,Back,4286086441,213,4.6,,,,,,,eincxi6xa1nrhr9qldtxboyqd,M. Eriksson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
