id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2524790357,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-03-26T12:08:32.432Z,2023-03-26T13:12:37Z,4124713929,194,6f8lpm5ckuv4z0tbur533qpxx,4124713931,197,8381,4124713933,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124713919,30,"6bejfvxorcqyawi2fmk2kbco9, 83pm1s4c5h4epnnyw9xep3w2c, b3i5okqaspq6w7w456ab4cxjp, cs8bo5xvtd2bq7kd91flepwwl, 9cjjs4piq3t12iltsfon52h91, 6f8lpm5ckuv4z0tbur533qpxx, dzfr9ktjmxqj2eh2xibt7konp, 1dbhha29epjmo8g4xfm5taaj9, amg2zai9038cdz9uuql3l9rkl, f5j2zq9sslh38t8bhyifsjg89, cpvbitkove7bavl96lkgs1vc9, dle50mcyb7xfk7eop3d0qs2c5, 5iqkq5z36m51o6xxodts4nyi2, 3f6hkia6zu8xuwasqdz3w759m, 76tytt386zxh1tuqk6kko1gbt, 5b6x41nulut4ctobovky7dgyc, cuwey2ph04gmxs7rwja65n1uc, 4z5yebdedoh2f1nhkev8w8jro, 9yzj019fl63gp6fhugc9hrhg4",4124713921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4124713923,59,"1, 28, 33, 12, 15, 14, 10, 88, 8, 7, 20, 11, 18, 19, 21, 24, 35, 36, 37",4124713927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4124713925,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524790699,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-03-26T12:09:21.282Z,2023-03-26T13:49:08Z,4124715697,194,7m31qpkmuh3amb6navttdlvpx,4124715687,30,"avud4qv9xovwlr2pxc8fcmiuh, 6k1s7y9dnzdpppppdco7bgudx, 4r1z04gidueqs684yxeyrq8ve, 60q198d41n3y887jeiezr850q, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, 7m31qpkmuh3amb6navttdlvpx, 3km1u2mw1tkioh2mucow7d1pl, 7f7tbbjqhhyydjj4wurm28xcl, 9mfotw533oa5qs1muu2z8t8lx, c7giuh90mnvajsobobcbx4ley, eqcpu383wnbhhcjssk6pn1695, 2hoa4v8810rmsbi85pfanyfl6, 2xphfksgb05a8z4e9328mywvd, 1ct6g590mpcg14jw94v4g2tm2, 3upyu7hn2q7voapvgtlnl1yad, 8ctokja53x311jvllpdh6v4yd, 32qdycwtlahk754bdqjsowduc, cxn46t7y57p1u243wp7dy8ydw, e9d84gt62onfgxr33f0t8g178",4124715695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124715701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4124715699,197,9086,4124715689,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4124715693,130,8,4124715691,59,"33, 4, 2, 30, 15, 22, 10, 3, 21, 14, 16, 6, 8, 19, 20, 23, 28, 32, 40, 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810967,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-03-26T13:03:21.618Z,2023-03-26T13:03:21Z,4124820823,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810969,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-03-26T13:03:21.618Z,2023-03-26T13:03:23Z,4124820833,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524810975,3,1,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,50.3,49.5,2023-03-26T13:03:21.748Z,2023-03-26T13:19:24Z,4124820865,212,11.1,4124820867,213,3.1,4124820861,140,39.7,4124820863,141,49.5,4124820869,279,S,4124820859,56,Back,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524811031,4,1,1,0,2,8l30dsub3sutr6j3ruvk650xc,1,38.7,50.1,2023-03-26T13:03:24.541Z,2023-03-26T13:03:29Z,4124821159,213,1.8,4124821151,56,Back,4124821153,140,32.5,4124821155,141,86.6,4124821157,212,25.7,,,,,,,,,,cs8bo5xvtd2bq7kd91flepwwl,L. Staniforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524811053,5,1,1,0,7,8l30dsub3sutr6j3ruvk650xc,1,32,90.9,2023-03-26T13:03:29.045Z,2023-03-26T13:03:31Z,4124821275,213,0.2,4124821269,140,43.6,4124821273,212,12.4,4124821271,141,94.5,4124821267,56,Back,,,,,,,,,,b3i5okqaspq6w7w456ab4cxjp,M. Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524811063,6,3,1,0,9,8l30dsub3sutr6j3ruvk650xc,0,55.2,93.8,2023-03-26T13:03:31.513Z,2023-03-26T13:03:33Z,4124821353,233,3,4124821317,56,Left,4124821319,286,,,,,,,,,,,,,,,,,cpvbitkove7bavl96lkgs1vc9,K. Hanson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524811067,3,7,1,0,9,28u3q82ip96ahymkup01vfxli,1,44.8,6.2,2023-03-26T13:03:31.514Z,2023-03-26T13:03:33Z,4124821337,233,6,4124821335,285,,4124821333,56,Back,4124821331,167,,,,,,,,,,,,,,6k1s7y9dnzdpppppdco7bgudx,C. Bott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524811071,4,5,1,0,11,28u3q82ip96ahymkup01vfxli,0,46.7,-1,2023-03-26T13:03:32.839Z,2023-03-26T13:51:59Z,4124821357,56,Back,4124821959,233,7,4124821359,347,,,,,,,,,,,,,,,,,6k1s7y9dnzdpppppdco7bgudx,C. Bott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
