id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2545108417,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-05-07T12:12:31.430Z,2023-05-07T15:11:12Z,4258357399,59,"1, 2, 5, 10, 21, 16, 22, 8, 9, 11, 15, 3, 4, 6, 7, 12, 13, 17, 18, 40",4258357401,130,8,4258357397,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4258357405,194,8iu9bdow1xgzswzl78cbioyxh,4258357403,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4258357409,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4258357407,197,5135,4258357395,30,"czz8zqjv03gdbbxiadp90pq6t, 1vo1ye9ofjtt7avoll1cmc9re, 18f6a50q9okw7dcii40i8vd91, 8iu9bdow1xgzswzl78cbioyxh, 9egpxgjpxaa3dkgkzy8brq1re, 7b1gryih37fohrff85f13o4ph, 5ye5h1o9ndhfeqdi8mh4f9une, 7julfat1nytmjyt6ylz8xkh5h, 1yyfd17df158m5eymkechszpx, brs6i21j86k1w7cpgzorrxxwp, a1654m0k2rptsqkxj96s955n9, 8lf62k2iwmb23gywex08s6m09, 6038cudzzp36z0gsb621fp3sa, af52uy5fmw1y9o4eq1sststex, 6kitz3oodxt3ejj5u0fwzhhat, cluv8to27h67l6upuanv59bai, 92faf40oeermdhlvh8k482vo5, af3x1ptiil8vti00lxf1x8ewa, da8ymxqy00lunda8tq9oltuj9, 6r271sec7c84p1vqi2b1p5td5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545117441,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-05-07T12:18:56.690Z,2023-05-07T13:14:56Z,4258403569,30,"68a0jc6cin6hxx0bkdch9hc5x, cnq88jph2nrn0o2tosrp4rmxh, f1xb9y38jfjmrhgv22svv9sa2, 8rt7o6te5ltvzz2srt8kpu2g9, 230r9tcwg89z5b9kxdqwi336d, stp0u46f1xc7a2mgvbkoy76x, 19npqca9guxs7p2yl5sbjmbx1, cvuaoz9c41od4r0j3sajszsut, e93vn46w6kk9xwdb8forgzil1, 9ov9x5gap2t34kv8clhwjqvh1, 50ef8q2ctd099il4iq14i0cfd, dfodeak21qhzgxr7qs85f3vf9, 7mdnewy67dddv3ahqw1qhbx05, cs3pg64kurip4uftscemh01k9, 29r8ofc6v5wms17o8vq6myw2d, 3539ai0d63d8hiq0e1nrptb3e, 3fta0gg3ghja3x9ouubjjfzl5, 54hjbtj3pm6a4qruhfsz6z3zd, 661dbl84kjewuzg0zkd62t0mi, e7127p8bj7v1b9ytzhsv7u7tg",4258403587,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4258403573,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4258403581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4258403577,59,"1, 15, 18, 8, 22, 23, 7, 12, 26, 10, 11, 2, 3, 5, 14, 17, 19, 21, 28, 60",4258403585,197,5224,4258403579,130,6,4258403583,194,9ov9x5gap2t34kv8clhwjqvh1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545169411,3,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-05-07T13:02:34.302Z,2023-05-07T13:02:34Z,4258670985,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545169417,3,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-05-07T13:02:34.302Z,2023-05-07T13:02:36Z,4258671017,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545169477,4,1,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,50.5,49.9,2023-05-07T13:02:34.402Z,2023-05-07T13:02:37Z,4258671299,213,2.9,4258671297,212,16.3,4258671291,56,Back,4258671295,141,55.4,4258671301,279,S,4258671293,140,35.4,,,,,,,8rt7o6te5ltvzz2srt8kpu2g9,E. Snerle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545169549,5,1,1,0,2,cz26xwowfjp8ei14n9z2ac135,1,39.3,51.2,2023-05-07T13:02:37.123Z,2023-05-07T13:02:40Z,4258671643,212,12.0,4258671641,141,37.6,4258671639,140,32.0,4258671637,56,Back,4258671645,213,4.0,,,,,,,,,,cnq88jph2nrn0o2tosrp4rmxh,L. Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545169623,6,1,1,0,5,cz26xwowfjp8ei14n9z2ac135,1,29,30.6,2023-05-07T13:02:39.915Z,2023-05-07T13:02:43Z,4258672013,155,,4258672015,56,Center,4258672023,213,6.2,4258672017,140,61.6,4258672025,1,,4258672021,212,34.3,4258672019,141,27.3,,,,230r9tcwg89z5b9kxdqwi336d,G. Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545169647,7,1,1,0,8,cz26xwowfjp8ei14n9z2ac135,0,63,24.7,2023-05-07T13:02:43.139Z,2023-05-07T13:02:44Z,4258672129,140,72.2,4258672125,3,,4258672127,56,Center,4258672133,212,10.3,4258672131,141,29.8,4258672135,213,0.3,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545169687,4,49,1,0,11,dcdnoyf6kzhj46iyfm7xq43fy,1,25.2,60.9,2023-05-07T13:02:45.800Z,2023-05-07T13:02:46Z,,,,,,,,,,,,,,,,,,,,,,,,,9egpxgjpxaa3dkgkzy8brq1re,Z. Morse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545169735,5,1,1,0,11,dcdnoyf6kzhj46iyfm7xq43fy,1,25.2,60.9,2023-05-07T13:02:46.271Z,2023-05-07T13:02:48Z,4258672559,141,46.6,4258672557,140,9.6,4258672563,213,3.7,4258672561,212,19.0,4258672555,56,Back,,,,,,,,,,9egpxgjpxaa3dkgkzy8brq1re,Z. Morse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
