id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/13/value,qualifier/14/value,qualifier/16/value
2519183099,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-03-12T14:14:22.276Z,2023-03-12T15:07:12Z,4092802299,197,5223,4092802291,59,"1, 3, 2, 15, 22, 23, 7, 8, 14, 19, 26, 10, 11, 12, 17, 18, 21, 28, 41",4092802289,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4092802297,194,stp0u46f1xc7a2mgvbkoy76x,4092802301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092802287,30,"68a0jc6cin6hxx0bkdch9hc5x, 7mdnewy67dddv3ahqw1qhbx05, dfodeak21qhzgxr7qs85f3vf9, cnq88jph2nrn0o2tosrp4rmxh, 230r9tcwg89z5b9kxdqwi336d, stp0u46f1xc7a2mgvbkoy76x, 19npqca9guxs7p2yl5sbjmbx1, 8rt7o6te5ltvzz2srt8kpu2g9, 29r8ofc6v5wms17o8vq6myw2d, 3fta0gg3ghja3x9ouubjjfzl5, e93vn46w6kk9xwdb8forgzil1, 9ov9x5gap2t34kv8clhwjqvh1, 50ef8q2ctd099il4iq14i0cfd, cvuaoz9c41od4r0j3sajszsut, 3539ai0d63d8hiq0e1nrptb3e, f1xb9y38jfjmrhgv22svv9sa2, 54hjbtj3pm6a4qruhfsz6z3zd, 661dbl84kjewuzg0zkd62t0mi, 2zd7q1vj110evlsdjybgeltec",4092802295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4092802293,130,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519184127,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-03-12T14:15:06.637Z,2023-03-12T15:26:55Z,4092807495,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",4092807493,30,"6bejfvxorcqyawi2fmk2kbco9, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, cs8bo5xvtd2bq7kd91flepwwl, dw2a5y50m5vbzpy53w2e7n179, 6f8lpm5ckuv4z0tbur533qpxx, dzfr9ktjmxqj2eh2xibt7konp, 1dbhha29epjmo8g4xfm5taaj9, amg2zai9038cdz9uuql3l9rkl, f5j2zq9sslh38t8bhyifsjg89, cpvbitkove7bavl96lkgs1vc9, dcv449u8n6hvahqbgdjwuidw5, 9cjjs4piq3t12iltsfon52h91, 5iqkq5z36m51o6xxodts4nyi2, 3f6hkia6zu8xuwasqdz3w759m, 72urf7pms7afj0t3u8ipk08ut",4093126317,197,17481,4092807503,194,dw2a5y50m5vbzpy53w2e7n179,4092807505,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092807499,130,4,4092807497,59,"1, 2, 33, 12, 6, 14, 10, 88, 8, 7, 20, 9, 15, 18, 19, 31",4092807501,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234299,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-03-12T15:01:28.790Z,2023-03-12T15:01:30Z,4093072015,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234285,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-03-12T15:01:28.790Z,2023-03-12T15:01:28Z,4093071943,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234329,3,1,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,50.2,50.3,2023-03-12T15:01:28.890Z,2023-03-12T15:01:31Z,4093072177,140,37.2,4093072181,212,13.9,4093072179,141,54.3,4093072183,213,2.9,4093072185,279,S,4093072175,56,Back,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234363,4,1,1,0,3,8l30dsub3sutr6j3ruvk650xc,1,39,53.3,2023-03-12T15:01:31.864Z,2023-03-12T15:01:36Z,4093072341,140,34.8,4093072347,213,4.4,4093072343,141,36.1,4093072339,56,Back,4093072345,212,12.5,,,,,,,,,,cs8bo5xvtd2bq7kd91flepwwl,L. Staniforth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234397,5,1,1,0,7,8l30dsub3sutr6j3ruvk650xc,1,35.7,33.6,2023-03-12T15:01:36.144Z,2023-03-12T15:01:39Z,4093072555,141,10.3,4093072553,140,40.5,4093072557,212,16.6,4093072551,56,Back,4093072559,213,5.0,,,,,,,,,,dw2a5y50m5vbzpy53w2e7n179,R. Corsie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234441,6,1,1,0,10,8l30dsub3sutr6j3ruvk650xc,1,34.9,6.8,2023-03-12T15:01:39.105Z,2023-03-12T15:01:44Z,4093072789,140,55.2,4093072791,141,16.7,4093072787,56,Right,4093072785,155,,4093072793,212,22.4,4093072795,213,0.3,,,,,,,3tz0jq7tbg6u1dm6qlx53u6s5,S. Mayling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234449,7,61,1,0,15,8l30dsub3sutr6j3ruvk650xc,0,69,6.9,2023-03-12T15:01:44.696Z,2023-03-12T15:01:50Z,4093072847,56,Right,,,,,,,,,,,,,,,,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519234485,3,43,1,0,15,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-03-12T15:01:44.697Z,2023-03-12T15:01:48Z,4093073037,56,Back,4093073143,144,7,4093073035,167,0,4093073039,285,0,4093073053,233,7,,,,,,,,,,230r9tcwg89z5b9kxdqwi336d,G. Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
