id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,assist,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/10/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value
2479417329,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2022-10-30T13:15:37.871Z,2022-10-30T14:21:33Z,3883369673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883369663,59,"1, 4, 13, 15, 5, 3, 14, 25, 24, 9, 29, 6, 7, 8, 18, 22, 23, 26",3883369669,194,30pcgn07mnn0sk4jp0t7bx9ed,3883369661,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3883369671,197,10330,3883369667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3883369659,30,"7f3opq72gey1boxe6vcgmfvth, eoc724h5j6mnvvu1nbumezmxh, ceww6vauxaqddgogso515rcru, z8vdz64bgqus4c85451nsrf9, elelvar8kyxwpfqzwr1v00b85, 30pcgn07mnn0sk4jp0t7bx9ed, 8gh56ar8x8yxjfcm66m7532ll, 6aaes6ikbmrg75h6asm58wpg5, drwlmmiguqz2mfzsh6gjmklx, xfhvn9tfu8wwd1whgo1jgand, tzc4bqcf2wkz1k7d96l8g3my, 2zdgbwd6y5u4pd08upf1sda6t, a1v4wcs80zp79nq6u2efnzgfd, 7kx86ostcp0tfo53g9cpqn7px, dwclepmsssh2hd8381rjqbufp, 4vgx21i9mmnoud5h6px197f11, enqn8azrcz6vks9d21ze9w2c5, 8up2ey86u6cx49ujaanwuwokq",3883369665,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479419521,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2022-10-30T13:17:49.109Z,2022-10-30T14:32:51Z,3883380607,59,"1, 15, 3, 10, 20, 16, 22, 12, 11, 9, 7, 2, 14, 18, 23, 24, 40",3883422839,194,an1ovi7c16xed4jqub6oxgclx,3883380613,197,5135,3883380605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",3883380611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3883380603,30,"czz8zqjv03gdbbxiadp90pq6t, a1654m0k2rptsqkxj96s955n9, 8lf62k2iwmb23gywex08s6m09, 8iu9bdow1xgzswzl78cbioyxh, an1ovi7c16xed4jqub6oxgclx, 7b1gryih37fohrff85f13o4ph, 5ye5h1o9ndhfeqdi8mh4f9une, cluv8to27h67l6upuanv59bai, brs6i21j86k1w7cpgzorrxxwp, 1yyfd17df158m5eymkechszpx, 6kitz3oodxt3ejj5u0fwzhhat, 1vo1ye9ofjtt7avoll1cmc9re, 8vr66twomklrat7c94k2knkr9, da8ymxqy00lunda8tq9oltuj9, 4xv7k9sjbppk1pr2e53bz1slw, dn7zvdh0a5gsnrgjca32j2luc, 6r271sec7c84p1vqi2b1p5td5",3883380615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3883380609,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457439,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2022-10-30T14:01:15.965Z,2022-10-30T14:01:16Z,3883577033,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457551,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2022-10-30T14:01:15.965Z,2022-10-30T14:01:23Z,3883577513,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457585,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,50,50,2022-10-30T14:01:16.065Z,2022-10-30T14:01:23Z,3883577669,212,21.7,3883577665,140,29.8,3883577667,141,43.6,3883577671,213,3.3,3883577663,56,Back,3883577673,279,S,,,,,,,brs6i21j86k1w7cpgzorrxxwp,E. Terland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457611,4,1,1,0,7,dcdnoyf6kzhj46iyfm7xq43fy,1,31.2,32.4,2022-10-30T14:01:23.770Z,2022-10-30T14:04:48Z,3883577795,141,5.8,3883577799,213,4.9,3883577793,140,35.3,3883577797,212,18.6,3883577791,56,Back,,,,,,,,,,an1ovi7c16xed4jqub6oxgclx,V. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457625,5,1,1,0,8,dcdnoyf6kzhj46iyfm7xq43fy,0,35.3,5.8,2022-10-30T14:01:24.963Z,2022-10-30T14:01:25Z,3883577883,212,15.4,3883577881,141,24.4,3883577877,56,Back,3883577879,140,26.9,3883577885,213,2.2,,,,,,,,,,a1654m0k2rptsqkxj96s955n9,K. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457649,3,49,1,0,10,9ijyncrxsejz505dbadwr1dir,1,86.8,71.4,2022-10-30T14:01:26.370Z,2022-10-30T14:01:26Z,,,,,,,,,,,,,,,,,,,,,,,,,xfhvn9tfu8wwd1whgo1jgand,N. Karczewska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457669,4,50,1,0,12,9ijyncrxsejz505dbadwr1dir,1,94,78.8,2022-10-30T14:01:28.009Z,2022-10-30T14:01:29Z,3883578217,233,6,3883578089,286,,3883578087,56,Center,,,,,,,,,,,,,,,,xfhvn9tfu8wwd1whgo1jgand,N. Karczewska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479457681,6,7,1,0,12,dcdnoyf6kzhj46iyfm7xq43fy,0,6,21.2,2022-10-30T14:01:28.010Z,2022-10-30T14:01:28Z,3883578177,233,4,3883578129,56,Back,3883578131,285,,,,,,,,,,,,,,,,,a1654m0k2rptsqkxj96s955n9,K. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
