id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2476228193,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2022-10-23T13:07:34.806Z,2022-10-23T14:13:18Z,3866418041,130,4,3866418037,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5",3866418039,59,"1, 3, 2, 17, 22, 12, 10, 19, 26, 7, 20, 4, 9, 11, 28, 33, 41",3866418069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866418047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",3866418059,197,5223,3866418053,194,9ov9x5gap2t34kv8clhwjqvh1,3866418035,30,"68a0jc6cin6hxx0bkdch9hc5x, 7mdnewy67dddv3ahqw1qhbx05, dfodeak21qhzgxr7qs85f3vf9, 3539ai0d63d8hiq0e1nrptb3e, 230r9tcwg89z5b9kxdqwi336d, cvuaoz9c41od4r0j3sajszsut, 9ov9x5gap2t34kv8clhwjqvh1, 3fta0gg3ghja3x9ouubjjfzl5, e93vn46w6kk9xwdb8forgzil1, 19npqca9guxs7p2yl5sbjmbx1, 6ycwadiitmeemrk9qh5984iga, emo8wffj0agou65ijs2seiaqd, enjtkmi8hjldw767n70b6mxg5, 50ef8q2ctd099il4iq14i0cfd, 661dbl84kjewuzg0zkd62t0mi, cqfxdqu4j8ws6ejoklc7ahz6y, 2zd7q1vj110evlsdjybgeltec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476238941,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2022-10-23T13:15:01.622Z,2022-10-23T14:13:10Z,3866479451,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3866479455,59,"25, 9, 28, 3, 5, 14, 37, 27, 23, 7, 10, 2, 11, 17, 18, 30, 33, 51",3866479449,30,"3q2zbn0eco577z0ss84g9f2s5, 9aqn77y0knb58698qj46eee39, 2jwojltrp06sa8qloordtohrd, 16gnoas9x34hm887omkmeee39, 9parlijxpxnfis96jwy9p37bp, 4lshrw6i3uk9kx4kiutn06iuh, blbeuhuw60c2dkx2ofl0xp82c, 1o571356wx95l3qbpbe00o991, ce4cgftejsd46a0rahih0divp, 3rh7yurfuhun7zvoymgjb7g7p, 1bpq54voea3pt7n7ppzoyvvth, 6sq9uor68fca8nz7tes0vfdgp, dly0s8kcg05jee3nkwnkd228l, b0fb391qk3blyandllrxt6fh1, dltovemexu20xdg1ff55b1ed, 2eoggfnen5l1u32thxevo3sb8, f1yjzr06tqags78sdu9zl4bv8, cdyp0hsm3q10ds5tv2ink2qxh",3866479467,194,16gnoas9x34hm887omkmeee39,3866479475,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866479459,130,13,3866479471,197,5141,3866479463,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476296929,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2022-10-23T14:01:10.969Z,2022-10-23T14:01:13Z,3866784839,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476296925,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2022-10-23T14:01:10.969Z,2022-10-23T14:01:11Z,3866784827,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476296949,3,1,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,49.6,50.9,2022-10-23T14:01:11.069Z,2022-10-23T14:01:58Z,3866784949,279,S,3866784943,141,55.3,3866784945,212,14.4,3866784937,56,Back,3866784947,213,2.9,3866784941,140,36.2,,,,,,,3rh7yurfuhun7zvoymgjb7g7p,C. Wellings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476296969,4,1,1,0,3,bsbugp9qfasrrtg55bf7evvwv,1,38,56.1,2022-10-23T14:01:14.040Z,2022-10-23T14:01:15Z,3866785055,140,37.8,3866785053,56,Back,3866785059,212,6.2,3866785061,213,4.7,3866785057,141,47.0,,,,,,,,,,1o571356wx95l3qbpbe00o991,J. Vanhaevermaet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476296979,5,1,1,0,4,bsbugp9qfasrrtg55bf7evvwv,0,38.8,47.2,2022-10-23T14:01:15.047Z,2022-10-23T14:01:16Z,3866785123,213,0.6,3866785115,56,Left,3866785125,1,,3866785119,141,87.2,3866785113,157,,3866785117,140,77.6,3866785121,212,49.0,,,,blbeuhuw60c2dkx2ofl0xp82c,T. Primmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476296995,3,1,1,0,5,cz26xwowfjp8ei14n9z2ac135,0,31.7,6.2,2022-10-23T14:01:16.511Z,2022-10-23T14:01:18Z,3866785191,212,9.3,3866785187,140,40.5,3866785185,56,Back,3866785183,3,,3866785189,141,4.4,3866785193,213,6.2,,,,,,,7mdnewy67dddv3ahqw1qhbx05,R. Shimizu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297033,6,1,1,0,8,bsbugp9qfasrrtg55bf7evvwv,0,59.1,92.4,2022-10-23T14:01:19.654Z,2022-10-23T14:01:20Z,3866785325,141,100.0,3866785323,140,68.9,3866785329,213,0.6,3866785319,157,,3866785331,1,,3866785321,56,Left,3866785327,212,12.1,,,,2jwojltrp06sa8qloordtohrd,L. Woodham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297227,4,5,1,0,9,cz26xwowfjp8ei14n9z2ac135,1,30.8,-2,2022-10-23T14:01:20.681Z,2022-10-23T14:54:51Z,3866786157,56,Back,3866786195,233,7,3866786159,347,,,,,,,,,,,,,,,,,7mdnewy67dddv3ahqw1qhbx05,R. Shimizu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
