id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId
2472839471,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2022-10-16T12:09:48.433Z,2022-10-16T13:24:07Z,3848574605,194,30pcgn07mnn0sk4jp0t7bx9ed,3848574609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848574601,130,13,3848574607,197,6732,3848574603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",3848574595,30,"7f3opq72gey1boxe6vcgmfvth, 8gh56ar8x8yxjfcm66m7532ll, ceww6vauxaqddgogso515rcru, 30pcgn07mnn0sk4jp0t7bx9ed, elelvar8kyxwpfqzwr1v00b85, eoc724h5j6mnvvu1nbumezmxh, z8vdz64bgqus4c85451nsrf9, 6aaes6ikbmrg75h6asm58wpg5, drwlmmiguqz2mfzsh6gjmklx, xfhvn9tfu8wwd1whgo1jgand, tzc4bqcf2wkz1k7d96l8g3my, a1v4wcs80zp79nq6u2efnzgfd, 7kx86ostcp0tfo53g9cpqn7px, aope7yfid6ez33sha2ip7t04p, 4vgx21i9mmnoud5h6px197f11, 8up2ey86u6cx49ujaanwuwokq",3848574599,59,"1, 14, 13, 3, 5, 4, 15, 25, 24, 9, 29, 7, 8, 10, 22, 26",3848574597,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472840227,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2022-10-16T12:10:33.508Z,2022-10-16T12:29:36Z,3848578403,197,738,3848578399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848578401,194,13ch4zgnhtydtkf9vlvh68hjp,3848578395,59,"1, 2, 12, 6, 5, 25, 7, 10, 24, 11, 20, 3, 4, 8, 17, 18, 21, 22, 28, 34",3848578393,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848578397,130,13,3848578405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848578391,30,"cn8ti0qxxvg0z0vvmwkocggr9, 2wv3bsfv3jh5ar8xw97lpxr6d, 40drqeciuqe2j07g5cnc6xf55, 871cll4se1mtci0na61o632dx, 13ch4zgnhtydtkf9vlvh68hjp, 4vjejwvr5b6lphpjmuc0wlsr9, brppytuf1766c50274dkue5pm, 87ann5tlunyp4nzahpl5wqoyd, dw593ezeekrbzlc2qhtc805p1, 3tot15elwrc9lz9ohha1z0ij9, 153m45p2fkc2q8x9zq105g45, cmcx5h39wkd0cnsbq1vcob4r9, 8eixmur5ss02hjp0vh099jyz9, cy0xegtxk9mml9bk8z3nx1lyi, en5gss0im4eenrtt3zctkpm8l, 9v895fdc1blaaboscv14vp149, 5llfshqnnnclh5o2t1b1ckqtx, 768y6t2upduf30343ymkariwa, 4rz247hboaqnxo1mbdiw3ctsl, d1qqpvdx6b20aqcqav7l2dvdg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890331,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2022-10-16T13:01:39.895Z,2022-10-16T13:01:41Z,3848834459,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890315,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2022-10-16T13:01:39.895Z,2022-10-16T13:01:40Z,3848834399,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890385,3,1,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,49.9,50,2022-10-16T13:01:39.995Z,2022-10-16T13:01:43Z,3848834719,56,Back,3848834725,141,54.2,3848834729,213,3.0,3848834721,140,30.9,3848834731,279,S,3848834727,212,20.2,,,,,,,3tot15elwrc9lz9ohha1z0ij9,M. Lawley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890435,4,1,1,0,3,mjejb0x57ms54j9ry6s8njwh,1,28.7,55.7,2022-10-16T13:01:43.164Z,2022-10-16T13:01:45Z,3848835005,212,19.3,3848835009,213,1.7,3848835001,140,26.6,3848834999,56,Back,3848835003,141,83.9,,,,,,,,,,13ch4zgnhtydtkf9vlvh68hjp,N. Fahey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890453,5,1,1,0,5,mjejb0x57ms54j9ry6s8njwh,1,26.6,83.9,2022-10-16T13:01:45.676Z,2022-10-16T13:01:47Z,3848835109,213,0.6,3848835105,141,94.5,3848835107,212,12.4,3848835101,56,Back,3848835103,140,36.2,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890473,6,1,1,0,7,mjejb0x57ms54j9ry6s8njwh,1,36.2,94.5,2022-10-16T13:01:47.044Z,2022-10-16T13:01:48Z,3848835201,141,86.5,3848835197,56,Back,3848835203,212,11.5,3848835205,213,3.6,3848835199,140,26.6,,,,,,,,,,13ch4zgnhtydtkf9vlvh68hjp,N. Fahey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890509,7,1,1,0,8,mjejb0x57ms54j9ry6s8njwh,1,26.6,86.5,2022-10-16T13:01:48.028Z,2022-10-16T13:01:50Z,3848835379,140,34.4,3848835377,56,Back,3848835387,212,9.8,3848835383,141,78.5,3848835391,213,5.7,,,,,,,,,,871cll4se1mtci0na61o632dx,J. Matthews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472890523,8,61,1,0,10,mjejb0x57ms54j9ry6s8njwh,0,32.8,79.7,2022-10-16T13:01:50.676Z,2022-10-16T13:02:14Z,3848835449,56,Back,,,,,,,,,,,,,,,,,,,,,,3tot15elwrc9lz9ohha1z0ij9,M. Lawley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
