id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/17/value
2476491097,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2022-10-23T16:55:01.423Z,2022-10-23T17:48:08Z,3867790673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867790665,59,"1, 15, 3, 12, 20, 16, 22, 10, 11, 9, 7, 8, 13, 14, 18, 23, 24, 40",3867790671,197,5135,3867923953,194,an1ovi7c16xed4jqub6oxgclx,3867790669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3867790661,30,"czz8zqjv03gdbbxiadp90pq6t, a1654m0k2rptsqkxj96s955n9, 8lf62k2iwmb23gywex08s6m09, cluv8to27h67l6upuanv59bai, an1ovi7c16xed4jqub6oxgclx, 7b1gryih37fohrff85f13o4ph, 5ye5h1o9ndhfeqdi8mh4f9une, 8iu9bdow1xgzswzl78cbioyxh, brs6i21j86k1w7cpgzorrxxwp, 1yyfd17df158m5eymkechszpx, 6kitz3oodxt3ejj5u0fwzhhat, 7julfat1nytmjyt6ylz8xkh5h, 92faf40oeermdhlvh8k482vo5, 8vr66twomklrat7c94k2knkr9, da8ymxqy00lunda8tq9oltuj9, 4xv7k9sjbppk1pr2e53bz1slw, dn7zvdh0a5gsnrgjca32j2luc, 6r271sec7c84p1vqi2b1p5td5",3867790667,130,6,3867790663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476496411,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2022-10-23T17:02:54.638Z,2022-10-23T17:46:00Z,3867818603,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867818593,59,"30, 15, 21, 7, 3, 4, 22, 17, 9, 19, 10, 1, 5, 11, 13, 16, 20, 23, 26, 27",3867818597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3867818601,197,737,3867818599,194,anghujtc4achyb9mflowgg9n9,3867818589,30,"6fi5hacjc8lj8zej0d2lfq66t, 6ypmyozp8zmq4tk36n49oz5xx, c0my4y3kjf7jbbfujj5l8e8yx, 9ohn9m84cy89huz745lirkted, 1euxm106eodeidsr5gor1kbmd, anghujtc4achyb9mflowgg9n9, cij18xj0bx2zyx3mi9xwykn9x, ek8x7y3jt0xcebttt75qi5exh, ctzcuzproy4kwpa5wweruw3px, 2m6wew2746q1xsoio3703t8t1, 9n2d2dv38kp2exb7z3xh2ykiy, 6xrzl8rljlz8zmlaj69qqktlh, amox5xqwe8gybft16wa7qbufp, 1cfhmihovl78l8osqbo1w9nth, 9gquu0c64ha2dtrwt5jv2vdn9, eincxi6xa1nrhr9qldtxboyqd, 66f0rjs4c2yih8phn6meyj74l, dz9ye5g98flhuscti7l8nillh, 4wxqckb43bkeobwanys62zvmd, eb16y0nh6ekr5yyrgfqigyq5l",3867818591,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3867818595,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476526955,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2022-10-23T17:45:23.013Z,2022-10-23T17:45:23Z,3867983879,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476526959,3,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2022-10-23T17:45:23.013Z,2022-10-23T17:45:25Z,3867983907,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476526973,4,1,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,49.4,49.9,2022-10-23T17:45:23.373Z,2022-10-23T18:35:52Z,3867983999,141,49.5,3867983997,140,43.0,3867984001,212,6.7,3867983995,56,Back,3867984003,213,3.2,3867984007,279,S,,,,,,,9n2d2dv38kp2exb7z3xh2ykiy,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476527021,5,1,1,0,4,spi3g782q7m4evjxn1sv6cfa,0,29.6,55.7,2022-10-23T17:45:27.462Z,2022-10-23T17:45:28Z,3867984245,1,,3867984235,56,Center,3867984243,213,5.9,3867984239,141,28.0,3867984233,157,,3867984241,212,49.8,3867984237,140,73.5,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476527115,3,1,1,0,6,dcdnoyf6kzhj46iyfm7xq43fy,0,28,71.1,2022-10-23T17:45:29.931Z,2022-10-23T17:45:33Z,3867984651,157,,3867984663,1,,3867984659,212,42.4,3867984653,56,Left,3867984657,141,100.0,3867984655,140,63.1,3867984661,213,0.5,,,,8lf62k2iwmb23gywex08s6m09,P. Pattinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476527125,4,5,1,0,10,dcdnoyf6kzhj46iyfm7xq43fy,0,60.1,102,2022-10-23T17:45:33.271Z,2022-10-23T19:39:50Z,3867984719,347,,3867984717,56,Left,3867985385,233,6,,,,,,,,,,,,,,,,8lf62k2iwmb23gywex08s6m09,P. Pattinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476527239,6,5,1,0,10,spi3g782q7m4evjxn1sv6cfa,1,39.9,-2,2022-10-23T17:45:33.271Z,2022-10-23T17:45:42Z,3867985349,56,Back,3867985371,233,4,3867985351,347,,,,,,,,,,,,,,,,,anghujtc4achyb9mflowgg9n9,M. Bright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476527269,7,1,1,0,18,spi3g782q7m4evjxn1sv6cfa,1,42.9,0,2022-10-23T17:45:41.831Z,2022-10-23T17:45:44Z,3867985531,213,0.9,3867985525,212,31.6,3867985511,56,Center,3867985507,107,,3867985537,1,,3867985513,140,61.4,3867985517,141,34.8,,,,6ypmyozp8zmq4tk36n49oz5xx,È. Périsset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
