id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value
2519180453,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-03-12T14:12:28.036Z,2023-03-12T15:06:06Z,4092788693,130,8,4092788685,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4092788689,59,"33, 6, 2, 14, 15, 22, 10, 30, 19, 3, 21, 8, 16, 20, 23, 28, 34, 40, 41, 1",4092788701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092788695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092788697,194,7m31qpkmuh3amb6navttdlvpx,4092788699,197,9086,4092788681,30,"avud4qv9xovwlr2pxc8fcmiuh, eqcpu383wnbhhcjssk6pn1695, 4r1z04gidueqs684yxeyrq8ve, 9mfotw533oa5qs1muu2z8t8lx, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, 7m31qpkmuh3amb6navttdlvpx, 60q198d41n3y887jeiezr850q, 2xphfksgb05a8z4e9328mywvd, 3km1u2mw1tkioh2mucow7d1pl, 7f7tbbjqhhyydjj4wurm28xcl, 2hoa4v8810rmsbi85pfanyfl6, c7giuh90mnvajsobobcbx4ley, 1ct6g590mpcg14jw94v4g2tm2, 3upyu7hn2q7voapvgtlnl1yad, 8ctokja53x311jvllpdh6v4yd, dkjsgguge2u6wrt9epktjqbys, cxn46t7y57p1u243wp7dy8ydw, e9d84gt62onfgxr33f0t8g178, 7n8jink50lk1tivoqpe57h32t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519201915,1,34,16,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-03-12T14:27:28.732Z,2023-03-12T15:13:46Z,4092899821,59,"18, 17, 6, 10, 5, 28, 11, 7, 25, 14, 27, 2, 4, 8, 15, 20, 21, 22, 30",4092899835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4092899815,30,"ds8eeciyv1vk6nwh26qgy1lg5, avttb0ne86ra4pqruk0d8al05, 8e7wbpcbwxvdz0fojwuyov3rp, 9x4qkir5sofsdi6jf3qdnvgx6, 3c80px00lrpe84s9yurszqcid, bqbs20rirfi1eh7k7ss4pt0ix, bmw6mvkeropjorm2rxzw2fzai, ekmg1wlig0qdtzhafm3lwsz4l, 27iu58a0k5jqsxidnaxbothbd, 8k21bzux0l41m2cdsuetbco9h, bdiuv7a7j50drm3gsc9ne28dl, 8kmne7pn10uwqe6g1kc4w69cl, 8j67kyyfq5i300eeqbihgcqfp, 6flq1204p7494fm1ct06w6ket, 69nz7p1izpw4i8tle2c8hls2y, e6s5iphbrws04dxrvw0xqd7f9, c4ptt043q3lm4npuwpyviprdh, e2lt71eeqb97hw6wnebjrrgt1, 5llfshqnnnclh5o2t1b1ckqtx",4092899819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4092899831,194,3c80px00lrpe84s9yurszqcid,4092899829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4092899825,130,4,4092899833,197,727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233639,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-03-12T15:00:05.542Z,2023-03-12T15:00:05Z,4093068755,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233643,2,32,1,0,0,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-03-12T15:00:05.542Z,2023-03-12T15:00:07Z,4093068773,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233663,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,49.9,50.1,2023-03-12T15:00:05.642Z,2023-03-12T15:00:08Z,4093068851,212,17.9,4093068853,213,2.4,4093068845,56,Back,4093068855,279,S,4093068847,140,37.0,4093068849,141,67.3,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233677,4,1,1,0,2,28u3q82ip96ahymkup01vfxli,0,37,67.3,2023-03-12T15:00:08.474Z,2023-03-12T15:00:10Z,4093068919,1,,4093068917,213,6.0,4093068915,212,61.9,4093068909,56,Center,4093068907,157,,4093068913,141,42.8,4093068911,140,93.8,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233683,3,52,1,0,5,7kt37xy93vjy6wac8vq6fqz3g,1,9.9,58.5,2023-03-12T15:00:11.407Z,2023-03-12T15:00:11Z,,,,,,,,,,,,,,,,,,,,,,,,,ds8eeciyv1vk6nwh26qgy1lg5,C. Brosnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233717,4,1,1,0,7,7kt37xy93vjy6wac8vq6fqz3g,1,10.6,47,2023-03-12T15:00:12.966Z,2023-03-12T15:00:17Z,4093069083,141,30.7,4093069081,140,22.5,4093069087,213,5.6,4093069079,56,Back,4093069077,123,,4093069085,212,16.7,,,,,,,ds8eeciyv1vk6nwh26qgy1lg5,C. Brosnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233733,5,1,1,0,11,7kt37xy93vjy6wac8vq6fqz3g,1,22.2,27.1,2023-03-12T15:00:16.959Z,2023-03-12T15:00:19Z,4093069153,141,3.1,4093069151,140,35.2,4093069149,56,Back,4093069157,213,5.4,4093069155,212,21.3,,,,,,,,,,3c80px00lrpe84s9yurszqcid,N. Björn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519233735,6,43,1,0,13,7kt37xy93vjy6wac8vq6fqz3g,1,0,0,2023-03-12T15:00:18.806Z,2023-03-12T15:00:23Z,4093069169,213,0.6,4093069167,212,14.3,4093069165,141,15.2,4093069259,144,1,4093069163,140,47.5,4093069161,56,Back,,,,,,,8k21bzux0l41m2cdsuetbco9h,N. Sørensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
