id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,assist
2517300137,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-03-08T18:44:14.355Z,2023-03-08T20:03:30Z,4082839657,197,735,4082839645,30,"6xrzl8rljlz8zmlaj69qqktlh, daqovjw2z3rsq6rs1vq38980l, 9ohn9m84cy89huz745lirkted, 1tbavyz1q1hq1fqcoc3gijutx, 4wxqckb43bkeobwanys62zvmd, anghujtc4achyb9mflowgg9n9, 2m6wew2746q1xsoio3703t8t1, ek8x7y3jt0xcebttt75qi5exh, 66f0rjs4c2yih8phn6meyj74l, 2hkkfeyzmu2pkqgjw3bpl7cnp, 1cfhmihovl78l8osqbo1w9nth, amox5xqwe8gybft16wa7qbufp, 9n2d2dv38kp2exb7z3xh2ykiy, 6ypmyozp8zmq4tk36n49oz5xx, eincxi6xa1nrhr9qldtxboyqd, c0my4y3kjf7jbbfujj5l8e8yx, eb16y0nh6ekr5yyrgfqigyq5l, 6fi5hacjc8lj8zej0d2lfq66t, egql86u9uffqvv1bzyvxy42c",4082839659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4082839651,130,7,4082839655,194,anghujtc4achyb9mflowgg9n9,4082839647,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4082839653,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4082839649,59,"1, 18, 7, 8, 26, 4, 19, 17, 20, 28, 11, 5, 10, 15, 16, 21, 27, 30, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517301005,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-03-08T18:50:42.116Z,2023-03-08T19:55:18Z,4082845231,30,"88k3tmpcg5ov13cd8b9rxyggl, 7b1gryih37fohrff85f13o4ph, 8lf62k2iwmb23gywex08s6m09, 9egpxgjpxaa3dkgkzy8brq1re, an1ovi7c16xed4jqub6oxgclx, 7julfat1nytmjyt6ylz8xkh5h, 5ye5h1o9ndhfeqdi8mh4f9une, 8iu9bdow1xgzswzl78cbioyxh, brs6i21j86k1w7cpgzorrxxwp, 1yyfd17df158m5eymkechszpx, 6038cudzzp36z0gsb621fp3sa, czz8zqjv03gdbbxiadp90pq6t, 18f6a50q9okw7dcii40i8vd91, 6kitz3oodxt3ejj5u0fwzhhat, cluv8to27h67l6upuanv59bai, 8vr66twomklrat7c94k2knkr9, da8ymxqy00lunda8tq9oltuj9, 4xv7k9sjbppk1pr2e53bz1slw, 6r271sec7c84p1vqi2b1p5td5",4082845245,130,11,4082845257,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4082845235,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4082845249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4082845241,59,"25, 16, 3, 21, 20, 8, 22, 10, 11, 9, 4, 1, 5, 7, 12, 14, 18, 23, 40",4082845253,194,8iu9bdow1xgzswzl78cbioyxh,4082845255,197,17123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310085,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-03-08T19:30:01.719Z,2023-03-08T19:30:04Z,4082896889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310079,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-03-08T19:30:01.719Z,2023-03-08T19:30:01Z,4082896867,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310089,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,50,49.9,2023-03-08T19:30:01.970Z,2023-03-08T20:27:10Z,4082896903,141,43.5,4082896905,212,14.5,4082896909,279,S,4082896901,140,36.8,4082896907,213,3.4,4082896899,56,Back,,,,,,,brs6i21j86k1w7cpgzorrxxwp,E. Terland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310109,4,1,1,0,3,dcdnoyf6kzhj46iyfm7xq43fy,1,27.3,47.3,2023-03-08T19:30:04.851Z,2023-03-08T19:30:09Z,4082897011,56,Back,4082897013,140,35.7,4082897019,213,5.2,4082897015,141,21.8,4082897017,212,19.5,,,,,,,,,,an1ovi7c16xed4jqub6oxgclx,V. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310119,5,1,1,0,7,dcdnoyf6kzhj46iyfm7xq43fy,1,33.8,20.6,2023-03-08T19:30:09.066Z,2023-03-08T19:30:31Z,4082897081,212,26.0,4082897075,56,Back,4082897083,213,2.7,4082897077,140,11.6,4082897079,141,37.6,,,,,,,,,,9egpxgjpxaa3dkgkzy8brq1re,Z. Morse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310125,6,1,1,0,10,dcdnoyf6kzhj46iyfm7xq43fy,1,11.6,37.6,2023-03-08T19:30:12.586Z,2023-03-08T19:30:13Z,4082897121,213,0.1,4082897119,212,16.3,4082897113,56,Back,4082897115,140,27.1,4082897117,141,38.8,,,,,,,,,,88k3tmpcg5ov13cd8b9rxyggl,L. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310133,7,1,1,0,12,dcdnoyf6kzhj46iyfm7xq43fy,1,27.1,38.8,2023-03-08T19:30:13.818Z,2023-03-08T19:30:15Z,4082897159,212,14.3,4082897153,56,Back,4082897157,141,41.5,4082897155,140,13.6,4082897161,213,3.0,,,,,,,,,,an1ovi7c16xed4jqub6oxgclx,V. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310161,8,1,1,0,13,dcdnoyf6kzhj46iyfm7xq43fy,1,13.6,41.5,2023-03-08T19:30:14.971Z,2023-03-08T19:30:19Z,4082897317,212,22.9,4082897315,141,72.6,4082897313,140,21.9,4082897319,213,1.2,4082897311,56,Back,,,,,,,,,,88k3tmpcg5ov13cd8b9rxyggl,L. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517310171,9,1,1,0,17,dcdnoyf6kzhj46iyfm7xq43fy,1,24,78.8,2023-03-08T19:30:19.250Z,2023-03-08T19:30:21Z,4082897375,56,Back,4082897381,212,20.6,4082897383,213,6.2,4082897377,140,43.5,4082897379,141,75.0,,,,,,,,,,8lf62k2iwmb23gywex08s6m09,P. Pattinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
