id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2527616735,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2023-04-02T15:02:54.413Z,2023-04-02T16:02:48Z,4158300647,130,18,4158300651,194,cn8ti0qxxvg0z0vvmwkocggr9,4158300653,197,18095,4158300641,30,"cn8ti0qxxvg0z0vvmwkocggr9, 2wv3bsfv3jh5ar8xw97lpxr6d, 40drqeciuqe2j07g5cnc6xf55, 4rz247hboaqnxo1mbdiw3ctsl, 5wjfxb57gtzmp7m29wotyafv9, cmcx5h39wkd0cnsbq1vcob4r9, efvcf4syatkaw5fbo37i5hat, 9v895fdc1blaaboscv14vp149, brppytuf1766c50274dkue5pm, dw593ezeekrbzlc2qhtc805p1, 153m45p2fkc2q8x9zq105g45, 8eixmur5ss02hjp0vh099jyz9, 871cll4se1mtci0na61o632dx, d0da7ef6pvbmrnw0j93iv1jze, en5gss0im4eenrtt3zctkpm8l, xhbmqvlmvk0gguvc9u806itx, 5llfshqnnnclh5o2t1b1ckqtx, 768y6t2upduf30343ymkariwa, d1qqpvdx6b20aqcqav7l2dvdg, d80r13kh5f6bcpwsy3cka75d5",4158300643,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158300655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158300649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158300645,59,"1, 2, 12, 28, 23, 3, 8, 18, 7, 24, 20, 4, 6, 15, 17, 19, 21, 22, 34, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527620755,1,34,16,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-04-02T15:08:42.926Z,2023-04-02T16:09:55Z,4158321679,30,"68a0jc6cin6hxx0bkdch9hc5x, 7mdnewy67dddv3ahqw1qhbx05, dfodeak21qhzgxr7qs85f3vf9, 3539ai0d63d8hiq0e1nrptb3e, cnq88jph2nrn0o2tosrp4rmxh, 230r9tcwg89z5b9kxdqwi336d, 19npqca9guxs7p2yl5sbjmbx1, 9ov9x5gap2t34kv8clhwjqvh1, 29r8ofc6v5wms17o8vq6myw2d, 3fta0gg3ghja3x9ouubjjfzl5, e93vn46w6kk9xwdb8forgzil1, 8rt7o6te5ltvzz2srt8kpu2g9, 50ef8q2ctd099il4iq14i0cfd, cvuaoz9c41od4r0j3sajszsut, f1xb9y38jfjmrhgv22svv9sa2, 54hjbtj3pm6a4qruhfsz6z3zd, stp0u46f1xc7a2mgvbkoy76x, 661dbl84kjewuzg0zkd62t0mi, cqfxdqu4j8ws6ejoklc7ahz6y",4158321693,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158321691,197,5223,4158321689,194,9ov9x5gap2t34kv8clhwjqvh1,4158321685,130,6,4158321687,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4158321681,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4158321683,59,"1, 3, 2, 17, 15, 22, 7, 10, 14, 19, 26, 8, 11, 12, 18, 21, 23, 28, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668715,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2023-04-02T16:01:34.990Z,2023-04-02T16:01:35Z,4158568101,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668725,2,32,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,0,0,2023-04-02T16:01:34.990Z,2023-04-02T16:01:37Z,4158568139,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668737,3,1,1,0,0,cz26xwowfjp8ei14n9z2ac135,1,49.7,50.3,2023-04-02T16:01:35.497Z,2023-04-02T16:08:35Z,4158568197,140,33.6,4158568195,56,Back,4158568203,213,2.8,4158568201,212,17.8,4158568199,141,58.5,4158568205,279,S,,,,,,,3fta0gg3ghja3x9ouubjjfzl5,H. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668791,4,1,1,0,2,cz26xwowfjp8ei14n9z2ac135,1,35.3,50,2023-04-02T16:01:37.841Z,2023-04-02T16:01:41Z,4158568495,141,2.3,4158568499,213,5.6,4158568501,1,,4158568489,155,,4158568491,56,Right,4158568493,140,74.4,4158568497,212,52.3,,,,3539ai0d63d8hiq0e1nrptb3e,M. Filis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668803,5,1,1,0,6,cz26xwowfjp8ei14n9z2ac135,1,74.4,2.3,2023-04-02T16:01:41.289Z,2023-04-02T16:01:42Z,4158568537,56,Right,4158568543,212,3.7,4158568539,140,70.9,4158568541,141,1.9,4158568545,213,3.2,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668839,6,1,1,0,7,cz26xwowfjp8ei14n9z2ac135,1,70.9,1.9,2023-04-02T16:01:42.105Z,2023-04-02T16:01:44Z,4158568705,141,6.5,4158568709,213,3.0,4158568707,212,26.1,4158568703,140,46.2,4158568701,56,Back,,,,,,,,,,9ov9x5gap2t34kv8clhwjqvh1,D. Brynjarsdóttir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668923,7,1,1,0,9,cz26xwowfjp8ei14n9z2ac135,1,46.2,6.5,2023-04-02T16:01:44.329Z,2023-04-02T16:01:50Z,4158569109,56,Back,4158569117,213,2.4,4158569111,140,33.3,4158569113,141,23.6,4158569115,212,17.9,,,,,,,,,,7mdnewy67dddv3ahqw1qhbx05,R. Shimizu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527668965,8,1,1,0,15,cz26xwowfjp8ei14n9z2ac135,1,30.3,24.9,2023-04-02T16:01:50.145Z,2023-04-02T16:01:52Z,4158569327,141,2.2,4158569323,56,Back,4158569331,213,5.5,4158569325,140,46.1,4158569329,212,22.7,,,,,,,,,,cnq88jph2nrn0o2tosrp4rmxh,L. Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
