id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,assist,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2486905117,1,34,16,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2022-11-20T13:11:37.038Z,2022-11-20T13:56:34Z,3922526691,130,13,3922526699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922526695,194,13ch4zgnhtydtkf9vlvh68hjp,3922526689,59,"21, 2, 12, 28, 5, 25, 7, 6, 24, 20, 11, 3, 4, 8, 10, 17, 18, 19, 22",3922526685,30,"5llfshqnnnclh5o2t1b1ckqtx, 2wv3bsfv3jh5ar8xw97lpxr6d, 40drqeciuqe2j07g5cnc6xf55, 4rz247hboaqnxo1mbdiw3ctsl, 13ch4zgnhtydtkf9vlvh68hjp, 4vjejwvr5b6lphpjmuc0wlsr9, brppytuf1766c50274dkue5pm, 871cll4se1mtci0na61o632dx, dw593ezeekrbzlc2qhtc805p1, 153m45p2fkc2q8x9zq105g45, 3tot15elwrc9lz9ohha1z0ij9, cmcx5h39wkd0cnsbq1vcob4r9, 8eixmur5ss02hjp0vh099jyz9, cy0xegtxk9mml9bk8z3nx1lyi, 87ann5tlunyp4nzahpl5wqoyd, en5gss0im4eenrtt3zctkpm8l, 9v895fdc1blaaboscv14vp149, xhbmqvlmvk0gguvc9u806itx, 768y6t2upduf30343ymkariwa",3922526697,197,738,3922526687,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3922526693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486909443,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2022-11-20T13:21:19.304Z,2022-11-20T13:41:58Z,3922550199,30,"czz8zqjv03gdbbxiadp90pq6t, a1654m0k2rptsqkxj96s955n9, 8lf62k2iwmb23gywex08s6m09, 8iu9bdow1xgzswzl78cbioyxh, an1ovi7c16xed4jqub6oxgclx, 7b1gryih37fohrff85f13o4ph, 5ye5h1o9ndhfeqdi8mh4f9une, da8ymxqy00lunda8tq9oltuj9, brs6i21j86k1w7cpgzorrxxwp, 1yyfd17df158m5eymkechszpx, 6kitz3oodxt3ejj5u0fwzhhat, 1vo1ye9ofjtt7avoll1cmc9re, 7julfat1nytmjyt6ylz8xkh5h, cluv8to27h67l6upuanv59bai, 8vr66twomklrat7c94k2knkr9, 4xv7k9sjbppk1pr2e53bz1slw, dn7zvdh0a5gsnrgjca32j2luc, 6r271sec7c84p1vqi2b1p5td5",3922550209,130,2,3922550201,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",3922550205,59,"1, 15, 3, 10, 20, 16, 22, 18, 11, 9, 7, 2, 8, 12, 14, 23, 24, 40",3922550217,194,an1ovi7c16xed4jqub6oxgclx,3922550225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3922550221,197,5135,3922550213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486924119,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2022-11-20T14:01:25.801Z,2022-11-20T14:01:28Z,3922629247,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486924117,2,32,1,0,0,mjejb0x57ms54j9ry6s8njwh,1,0,0,2022-11-20T14:01:25.801Z,2022-11-20T14:01:25Z,3922629245,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486924123,3,1,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,49.9,49.9,2022-11-20T14:01:26.010Z,2022-11-20T16:12:46Z,3922629253,140,34.2,3922629257,212,17.0,3922629259,213,2.9,3922629255,141,56.1,3922629251,56,Back,3922629261,279,S,,,,,,,da8ymxqy00lunda8tq9oltuj9,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486924137,4,1,1,0,4,dcdnoyf6kzhj46iyfm7xq43fy,0,38.2,57.2,2022-11-20T14:01:29.942Z,2022-11-20T14:01:31Z,3922629323,56,Center,3922629331,213,6.1,3922629333,1,,3922629321,155,,3922629329,212,40.5,3922629325,140,76.3,3922629327,141,48.2,,,,8iu9bdow1xgzswzl78cbioyxh,J. Olme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486924147,3,1,1,0,6,mjejb0x57ms54j9ry6s8njwh,0,29.7,60.5,2022-11-20T14:01:31.880Z,2022-11-20T14:01:34Z,3922629383,213,5.1,3922629381,212,10.6,3922629377,140,33.4,3922629375,56,Back,3922629379,141,46.0,3922629373,3,,,,,,,,13ch4zgnhtydtkf9vlvh68hjp,N. Fahey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486924155,5,1,1,0,9,dcdnoyf6kzhj46iyfm7xq43fy,1,67.3,44.5,2022-11-20T14:01:35.414Z,2022-11-20T14:01:37Z,3922629431,212,12.7,3922629433,213,4.8,3922629425,56,Center,3922629429,141,25.8,3922629427,140,67.8,,,,,,,,,,da8ymxqy00lunda8tq9oltuj9,D. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486924163,6,1,1,0,11,dcdnoyf6kzhj46iyfm7xq43fy,1,67.8,25.8,2022-11-20T14:01:37.062Z,2022-11-20T14:01:38Z,3922629497,213,4.7,3922629489,56,Right,3922629495,212,8.0,3922629491,140,67.8,3922629493,141,14.0,,,,,,,,,,1yyfd17df158m5eymkechszpx,Lee Geum-Min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486924165,7,1,1,0,12,dcdnoyf6kzhj46iyfm7xq43fy,0,67.8,14,2022-11-20T14:01:38.541Z,2022-11-20T14:01:39Z,3922629503,56,Center,3922629507,141,28.0,3922629509,212,15.0,3922629505,140,78.9,3922629511,213,0.7,,,,,,,,,,a1654m0k2rptsqkxj96s955n9,K. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
