id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,qualifier/12/value,qualifier/13/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,assist,qualifier/15/value
2540857467,1,34,16,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2023-04-29T15:28:26.879Z,2023-04-29T16:37:12Z,4235649119,30,"4vgx21i9mmnoud5h6px197f11, tzc4bqcf2wkz1k7d96l8g3my, 2zdgbwd6y5u4pd08upf1sda6t, 6aaes6ikbmrg75h6asm58wpg5, eoc724h5j6mnvvu1nbumezmxh, elelvar8kyxwpfqzwr1v00b85, 8gh56ar8x8yxjfcm66m7532ll, z8vdz64bgqus4c85451nsrf9, ctzcuzproy4kwpa5wweruw3px, drwlmmiguqz2mfzsh6gjmklx, enqn8azrcz6vks9d21ze9w2c5, 7f3opq72gey1boxe6vcgmfvth, 30pcgn07mnn0sk4jp0t7bx9ed, a1v4wcs80zp79nq6u2efnzgfd, 7kx86ostcp0tfo53g9cpqn7px, xfhvn9tfu8wwd1whgo1jgand, 5rj3vthrtst79mu39t2d7axud, ceww6vauxaqddgogso515rcru, beeqbcwweng7zflrap12ph7qi, e6pdkq17etv9k527m94sqqu39",4235649187,194,tzc4bqcf2wkz1k7d96l8g3my,4235649185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4235649189,197,6732,4235649127,130,2,4235649191,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4235649123,59,"22, 29, 6, 25, 4, 5, 14, 15, 19, 24, 23, 1, 3, 7, 8, 9, 12, 13, 16, 20",4235649121,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540857537,1,34,16,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-04-29T15:28:30.087Z,2023-04-29T16:21:11Z,4235649563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4236013207,194,7julfat1nytmjyt6ylz8xkh5h,4235649561,197,5136,4235649559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4235649551,30,"88k3tmpcg5ov13cd8b9rxyggl, 1vo1ye9ofjtt7avoll1cmc9re, 92faf40oeermdhlvh8k482vo5, cluv8to27h67l6upuanv59bai, 9egpxgjpxaa3dkgkzy8brq1re, 7b1gryih37fohrff85f13o4ph, 5ye5h1o9ndhfeqdi8mh4f9une, 7julfat1nytmjyt6ylz8xkh5h, da8ymxqy00lunda8tq9oltuj9, brs6i21j86k1w7cpgzorrxxwp, 6kitz3oodxt3ejj5u0fwzhhat, czz8zqjv03gdbbxiadp90pq6t, 8lf62k2iwmb23gywex08s6m09, 6038cudzzp36z0gsb621fp3sa, 18f6a50q9okw7dcii40i8vd91, af52uy5fmw1y9o4eq1sststex, 1yyfd17df158m5eymkechszpx, 8iu9bdow1xgzswzl78cbioyxh, a1654m0k2rptsqkxj96s955n9, an1ovi7c16xed4jqub6oxgclx",4235649553,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4235649557,130,8,4235649555,59,"25, 2, 13, 12, 21, 16, 22, 8, 18, 11, 7, 1, 3, 4, 5, 6, 9, 10, 15, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540920613,2,32,1,0,0,9ijyncrxsejz505dbadwr1dir,1,0,0,2023-04-29T16:17:30.383Z,2023-04-29T16:17:32Z,4235992395,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540920601,2,32,1,0,0,dcdnoyf6kzhj46iyfm7xq43fy,1,0,0,2023-04-29T16:17:30.383Z,2023-04-29T16:17:30Z,4235992351,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540920617,3,1,1,0,0,9ijyncrxsejz505dbadwr1dir,1,50,49.3,2023-04-29T16:17:30.773Z,2023-04-29T16:35:28Z,4235992415,212,9.9,4235992417,213,3.1,4235992419,279,S,4235992411,140,40.6,4235992413,141,49.3,4235992409,56,Back,,,,,,,drwlmmiguqz2mfzsh6gjmklx,D. Spence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540920691,4,1,1,0,3,9ijyncrxsejz505dbadwr1dir,1,42.2,53.4,2023-04-29T16:17:33.976Z,2023-04-29T16:17:36Z,4235992787,212,17.1,4235992785,141,77.9,4235992789,213,1.8,4235992781,56,Back,4235992783,140,38.5,,,,,,,,,,elelvar8kyxwpfqzwr1v00b85,M. Bartrip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540920715,5,1,1,0,5,9ijyncrxsejz505dbadwr1dir,0,38.7,78.1,2023-04-29T16:17:35.976Z,2023-04-29T16:17:36Z,4235992883,155,,4235992889,141,79.1,4235992887,140,73.3,4235992885,56,Left,4235992893,213,0.0,4235992891,212,36.3,4235992895,1,,,,,2zdgbwd6y5u4pd08upf1sda6t,K. Harrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540920767,3,1,1,0,6,dcdnoyf6kzhj46iyfm7xq43fy,0,27.3,29.5,2023-04-29T16:17:36.981Z,2023-04-29T16:17:39Z,4235993177,157,,4235993181,140,53.7,4235993189,212,30.1,4235993183,141,46.9,4235993179,56,Center,4235993199,1,,4235993193,213,0.4,,,,5ye5h1o9ndhfeqdi8mh4f9une,K. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540920831,6,1,1,0,11,9ijyncrxsejz505dbadwr1dir,0,47.4,34.9,2023-04-29T16:17:42.088Z,2023-04-29T16:17:43Z,4235993503,141,31.3,4235993491,3,,4235993499,140,62.7,4235993495,56,Center,4235993507,212,16.3,4235993511,213,6.1,,,,,,,eoc724h5j6mnvvu1nbumezmxh,A. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540920825,4,49,1,0,12,dcdnoyf6kzhj46iyfm7xq43fy,1,39.3,49.6,2023-04-29T16:17:42.763Z,2023-04-29T16:17:42Z,,,,,,,,,,,,,,,,,,,,,,,,,7julfat1nytmjyt6ylz8xkh5h,M. Connolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
