id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,assist
2476235733,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-10-23T13:12:39.982Z,2022-10-23T13:37:08Z,3866460965,194,7m31qpkmuh3amb6navttdlvpx,3866460963,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3866460959,59,"28, 13, 23, 22, 3, 15, 8, 14, 7, 20, 10, 1, 2, 4, 5, 12, 32, 34, 44",3866460973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866460961,130,12,3866460957,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3866460955,30,"8ctokja53x311jvllpdh6v4yd, 4lfk4hy1a6ig3izoq3mgl9zhl, 3upyu7hn2q7voapvgtlnl1yad, 8hmqpyniap0whyfhco0dhp3v9, 3km1u2mw1tkioh2mucow7d1pl, d3qtg5xhiwe3zamb4mh50whjp, 2hoa4v8810rmsbi85pfanyfl6, 9mfotw533oa5qs1muu2z8t8lx, 6zu0f63ej8pixk97nfzrexiad, 1ct6g590mpcg14jw94v4g2tm2, 7m31qpkmuh3amb6navttdlvpx, 7n8jink50lk1tivoqpe57h32t, 9mjnqdz7dqs3ymr7bvec7lbkl, 6k1s7y9dnzdpppppdco7bgudx, 8evgc5zhtfnqatt15vr3ttwwl, 8xlmd18k335ypz59olrdjhcve, 32qdycwtlahk754bdqjsowduc, dkjsgguge2u6wrt9epktjqbys, 7l34xmrhlyosdxfc7j3rru609",3866460969,197,9086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476235865,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2022-10-23T13:12:45.674Z,2022-10-23T14:05:02Z,3866461691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3866461693,59,"27, 3, 6, 10, 15, 21, 11, 37, 17, 22, 7, 4, 8, 9, 12, 19, 20, 28, 32",3866461697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3866461703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3866461699,194,9ijnmgmapjcnctich86692tw5,3866461701,197,8474,3866461695,130,21,3866461689,30,"eofeaerj2f8tm1xldw18e2o5x, 589yqifloa5j7qwp2gnemyml1, 2s15k44faiinj3gz5tswtv4d1, 9ijnmgmapjcnctich86692tw5, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, d29d4xtq3ib0nim6keirgdx3p, cs8bo5xvtd2bq7kd91flepwwl, 440p9vyf2bnhoivrea2biq9k9, c705ailfiov40xwoysz0ggct1, 2a45d0hq84uxfi5t9c65dw7vt, 5vzr4dly8xl2hhybhel0comol, 5adluw93r1tx4n3ta3wyhj7bp, 9zdmc8v5sfrv9z7da49odn4a2, 1haq2mkmbebj3jbt0z2jom4lx, 321yjdo3gio1l33hc1pdps4wl, 1co13krvtz3b1p9m9038kpadx, 1234a1tb7y6trj9xsoqvx0x5h, el8c138wsa0bnop68caop5uxh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297785,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-10-23T14:02:01.615Z,2022-10-23T14:02:01Z,3866788617,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297797,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2022-10-23T14:02:01.615Z,2022-10-23T14:02:04Z,3866788643,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297823,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,50.3,50.4,2022-10-23T14:02:01.715Z,2022-10-23T14:02:04Z,3866788783,212,9.9,3866788787,279,S,3866788777,56,Back,3866788781,141,51.5,3866788785,213,3.1,3866788779,140,40.9,,,,,,,1ct6g590mpcg14jw94v4g2tm2,M. Goodwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297847,4,1,1,0,2,28u3q82ip96ahymkup01vfxli,0,40.2,50.4,2022-10-23T14:02:03.773Z,2022-10-23T14:02:05Z,3866788853,157,,3866788855,56,Center,3866788861,212,41.1,3866788857,140,75.0,3866788865,1,,3866788863,213,0.5,3866788859,141,78.2,,,,7m31qpkmuh3amb6navttdlvpx,A. Whelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476297913,3,1,1,0,4,axwnneoekq2f2yq6r1l704y96,0,22.7,31,2022-10-23T14:02:06.064Z,2022-10-23T14:02:08Z,3866789159,3,,3866789165,140,37.3,3866789171,213,5.7,3866789169,212,17.9,3866789167,141,17.3,3866789163,56,Back,,,,,,,bl6mkergo04815vpi73fgtwb9,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476298025,5,1,1,0,11,28u3q82ip96ahymkup01vfxli,0,59.1,92.1,2022-10-23T14:02:12.876Z,2022-10-23T14:02:13Z,3866789659,140,58.9,3866789667,213,1.6,3866789663,212,6.3,3866789661,141,100.0,3866789657,56,Left,3866789655,3,,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476298235,4,5,1,0,11,axwnneoekq2f2yq6r1l704y96,1,37.6,-1.2,2022-10-23T14:02:13.301Z,2022-10-23T14:04:58Z,3866790563,56,Back,3866790565,347,,3866790581,233,6,,,,,,,,,,,,,,,,bl6mkergo04815vpi73fgtwb9,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476298035,6,5,1,0,11,28u3q82ip96ahymkup01vfxli,0,62.4,101.2,2022-10-23T14:02:13.301Z,2022-10-23T14:02:23Z,3866789703,56,Left,3866789705,347,,3866790605,233,4,,,,,,,,,,,,,,,,9mfotw533oa5qs1muu2z8t8lx,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
