id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2541583669,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2023-04-30T12:24:45.724Z,2023-04-30T13:24:34Z,4239514417,59,"1, 9, 3, 27, 16, 17, 12, 23, 37, 51, 7, 2, 5, 11, 15, 18, 19, 20, 30, 34",4239514423,194,16gnoas9x34hm887omkmeee39,4239514425,197,5142,4239514419,130,2,4239514415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4239514413,30,"5op3c93qca8mh67vkwrb3tvpx, 9aqn77y0knb58698qj46eee39, 16gnoas9x34hm887omkmeee39, 1o571356wx95l3qbpbe00o991, eje7ypyao1zalihq1b8y8161h, b0fb391qk3blyandllrxt6fh1, cannlc91eqjjy24i7keyvyaui, ce4cgftejsd46a0rahih0divp, blbeuhuw60c2dkx2ofl0xp82c, cdyp0hsm3q10ds5tv2ink2qxh, 3rh7yurfuhun7zvoymgjb7g7p, 6sq9uor68fca8nz7tes0vfdgp, 9parlijxpxnfis96jwy9p37bp, dly0s8kcg05jee3nkwnkd228l, 34vcol9n5hg1tv2v4tiq0et0q, dltovemexu20xdg1ff55b1ed, 6o0xf7vl4enney4rtwerkb5k9, 5vzr4dly8xl2hhybhel0comol, 2eoggfnen5l1u32thxevo3sb8, 2g2xuwqmuz4ode16ndv9e00t0",4239514421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239514427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541583715,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-04-30T12:24:48.104Z,2023-04-30T13:23:03Z,4239514643,130,8,4239514639,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4239514653,197,1154,4239514651,194,5vuw3lywsh90t394m8h6g5ihh,4239514645,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4239514655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4239514637,30,"20ccu2ngcfo3cvczhzk682ju1, 8hq106ex872xezlr1j901kpux, bo5e35lsptja0pnlvk1y38dex, 3ddo1m631pf9ruzzpaujs9gph, 5vuw3lywsh90t394m8h6g5ihh, c6k1w8sothxmc08dbhqjzp1w5, 8gxse7h6ucubo3weq7sp9dnf9, 7op9czmiln7ktmvetw97scz4l, cm84oje8txj7m34zuhhv68ct1, 7gmh6g5c39asg7gnthx1jxp79, 10d8jj5vwrmib55tth0isfvft, 1cyzpbgl74lage7toh7f1tgb9, brflebs8m00rgali2owyoyove, et72990p9axru09oxv51hokwl, 1to70vfsch5kwvw3kjgo1iggl, eb0h79vh5dwggjx7shj0ovetx, bkjq8yp0rffvauz0nz94flfu2, 40markro1yh7eibx2ajv5tm38",4239514641,59,"1, 2, 14, 12, 6, 5, 9, 25, 21, 7, 11, 3, 8, 10, 13, 15, 35, 42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541614107,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-04-30T13:02:16.480Z,2023-04-30T13:02:16Z,4239670063,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541614121,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2023-04-30T13:02:16.480Z,2023-04-30T13:02:19Z,4239670135,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541614219,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,50,50,2023-04-30T13:02:16.580Z,2023-04-30T13:02:20Z,4239670613,56,Back,4239670621,141,52.2,4239670627,213,3.0,4239670631,279,S,4239670617,140,37.5,4239670623,212,13.2,,,,,,,cm84oje8txj7m34zuhhv68ct1,K. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541614301,4,1,1,0,4,36tr17foeaf9ejjmt2txuoy3y,1,34.2,48.4,2023-04-30T13:02:20.789Z,2023-04-30T13:02:23Z,4239671061,213,3.9,4239671055,212,15.9,4239671049,140,23.2,4239671051,141,32.4,4239671047,56,Back,,,,,,,,,,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541614389,5,1,1,0,7,36tr17foeaf9ejjmt2txuoy3y,1,22.2,33.3,2023-04-30T13:02:23.670Z,2023-04-30T13:02:27Z,4239671483,56,Back,4239671485,140,18.9,4239671489,212,11.6,4239671487,141,49.6,4239671491,213,1.9,,,,,,,,,,5vuw3lywsh90t394m8h6g5ihh,S. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541614493,6,1,1,0,11,36tr17foeaf9ejjmt2txuoy3y,1,22.5,50.4,2023-04-30T13:02:27.750Z,2023-04-30T13:02:32Z,4239672009,213,1.3,4239671999,56,Back,4239672001,140,25.5,4239672003,141,67.2,4239672005,212,11.9,,,,,,,,,,20ccu2ngcfo3cvczhzk682ju1,E. Roebuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541614595,7,1,1,0,16,36tr17foeaf9ejjmt2txuoy3y,1,24.5,64.3,2023-04-30T13:02:32.556Z,2023-04-30T13:02:35Z,4239672527,56,Back,4239672529,140,14.9,4239672531,141,45.1,4239672533,212,16.5,4239672535,213,4.1,,,,,,,,,,c6k1w8sothxmc08dbhqjzp1w5,A. Greenwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541614693,8,1,1,0,19,36tr17foeaf9ejjmt2txuoy3y,1,16.6,48.2,2023-04-30T13:02:35.637Z,2023-04-30T13:02:39Z,4239673007,213,1.3,4239672993,140,22.5,4239673001,141,76.3,4239672991,56,Back,4239673005,212,20.1,,,,,,,,,,20ccu2ngcfo3cvczhzk682ju1,E. Roebuck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
