id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,assist
2552612627,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-05-21T16:49:10.463Z,2023-05-21T16:49:10Z,4298284439,194,9ijnmgmapjcnctich86692tw5,4298284433,59,"27, 2, 6, 10, 15, 21, 22, 12, 23, 7, 11, 8, 9, 14, 16, 17, 20, 28, 29, 32",4298284437,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4298284431,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4298284429,30,"eofeaerj2f8tm1xldw18e2o5x, 4ihrb3uj478vlzrbh94jj1i3t, 2s15k44faiinj3gz5tswtv4d1, 9ijnmgmapjcnctich86692tw5, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, c705ailfiov40xwoysz0ggct1, 1haq2mkmbebj3jbt0z2jom4lx, 5qxvej7pcqqr989sba7k0jv85, 2a45d0hq84uxfi5t9c65dw7vt, d29d4xtq3ib0nim6keirgdx3p, 5adluw93r1tx4n3ta3wyhj7bp, 9zdmc8v5sfrv9z7da49odn4a2, 13up673x1kzlwwi22awilagvd, 5c00ea33ei5ie1iauirtge505, 440p9vyf2bnhoivrea2biq9k9, 1co13krvtz3b1p9m9038kpadx, 1234a1tb7y6trj9xsoqvx0x5h, 7eq281s0sa083qvx8tfwp7pat, el8c138wsa0bnop68caop5uxh",4298284435,130,8,4298284443,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4298284441,197,8474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552618491,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-05-21T16:58:58.560Z,2023-05-21T17:26:33Z,4298315639,194,5vuw3lywsh90t394m8h6g5ihh,4298315633,59,"1, 14, 15, 12, 6, 5, 9, 25, 21, 7, 11, 2, 10, 13, 35, 42",4298315631,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5",4298315637,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",4298315629,30,"20ccu2ngcfo3cvczhzk682ju1, bo5e35lsptja0pnlvk1y38dex, eb0h79vh5dwggjx7shj0ovetx, 3ddo1m631pf9ruzzpaujs9gph, 5vuw3lywsh90t394m8h6g5ihh, c6k1w8sothxmc08dbhqjzp1w5, 8gxse7h6ucubo3weq7sp9dnf9, 7op9czmiln7ktmvetw97scz4l, cm84oje8txj7m34zuhhv68ct1, 7gmh6g5c39asg7gnthx1jxp79, 10d8jj5vwrmib55tth0isfvft, 8hq106ex872xezlr1j901kpux, et72990p9axru09oxv51hokwl, 1to70vfsch5kwvw3kjgo1iggl, bkjq8yp0rffvauz0nz94flfu2, 40markro1yh7eibx2ajv5tm38",4298315643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4298315641,197,1154,4298315635,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552644827,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2023-05-21T17:45:07.987Z,2023-05-21T17:45:08Z,4298458979,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552644819,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2023-05-21T17:45:07.987Z,2023-05-21T17:45:08Z,4298458937,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552644847,3,1,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,50.1,49.7,2023-05-21T17:45:08.087Z,2023-05-21T17:45:11Z,4298459081,279,S,4298459071,56,Back,4298459077,212,22.9,4298459075,141,36.6,4298459079,213,3.5,4298459073,140,30.0,,,,,,,3ddo1m631pf9ruzzpaujs9gph,F. Angeldahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552644877,4,1,1,0,3,36tr17foeaf9ejjmt2txuoy3y,0,30,36.6,2023-05-21T17:45:11.344Z,2023-05-21T17:45:14Z,4298459225,141,73.3,4298459219,155,,4298459233,1,,4298459221,56,Center,4298459227,212,54.7,4298459229,213,0.5,4298459223,140,76.4,,,,5vuw3lywsh90t394m8h6g5ihh,S. Houghton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552644899,3,1,1,0,6,axwnneoekq2f2yq6r1l704y96,0,22.9,23.6,2023-05-21T17:45:14.777Z,2023-05-21T17:45:16Z,4298459351,56,Back,4298459355,140,31.0,4298459359,141,33.3,4298459347,3,,4298459363,212,10.8,4298459367,213,0.7,,,,,,,4ihrb3uj478vlzrbh94jj1i3t,Ona Batlle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552644909,5,1,1,0,8,36tr17foeaf9ejjmt2txuoy3y,0,63.7,65.7,2023-05-21T17:45:16.639Z,2023-05-21T17:45:19Z,4298459421,213,6.0,4298459411,3,,4298459417,141,59.3,4298459419,212,14.0,4298459415,140,76.4,4298459413,56,Center,,,,,,,7gmh6g5c39asg7gnthx1jxp79,L. Coombs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552644925,4,44,1,0,10,axwnneoekq2f2yq6r1l704y96,1,28.7,41,2023-05-21T17:45:18.494Z,2023-05-21T17:45:19Z,4298459511,233,6,4298459501,285,,4298459499,56,Back,,,,,,,,,,,,,,,,9t8eb24gwj56ucggp7x0n0ewa,M. Le Tissier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2552644911,6,44,1,0,10,36tr17foeaf9ejjmt2txuoy3y,0,71.3,59,2023-05-21T17:45:18.495Z,2023-05-21T17:45:19Z,4298459521,233,4,4298459429,56,Center,4298459431,286,,,,,,,,,,,,,,,,,cm84oje8txj7m34zuhhv68ct1,K. Shaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
