id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,assist,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/15/value
2527497593,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-04-02T13:15:54.332Z,2023-04-02T13:24:37Z,4157671093,197,9086,4157671085,59,"33, 4, 2, 3, 15, 22, 21, 30, 10, 19, 16, 6, 8, 9, 14, 20, 23, 28, 32, 40",4157671087,130,8,4157671089,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157671091,194,7m31qpkmuh3amb6navttdlvpx,4157671083,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4157671095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157671081,30,"avud4qv9xovwlr2pxc8fcmiuh, 6k1s7y9dnzdpppppdco7bgudx, 4r1z04gidueqs684yxeyrq8ve, 3km1u2mw1tkioh2mucow7d1pl, d3qtg5xhiwe3zamb4mh50whjp, 8hmqpyniap0whyfhco0dhp3v9, 7f7tbbjqhhyydjj4wurm28xcl, 60q198d41n3y887jeiezr850q, 7m31qpkmuh3amb6navttdlvpx, 2xphfksgb05a8z4e9328mywvd, c7giuh90mnvajsobobcbx4ley, eqcpu383wnbhhcjssk6pn1695, 2hoa4v8810rmsbi85pfanyfl6, 9idtgzdbxfmiguf2slmvla47p, 9mfotw533oa5qs1muu2z8t8lx, 1ct6g590mpcg14jw94v4g2tm2, 3upyu7hn2q7voapvgtlnl1yad, 8ctokja53x311jvllpdh6v4yd, 32qdycwtlahk754bdqjsowduc, cxn46t7y57p1u243wp7dy8ydw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527506585,1,34,16,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2023-04-02T13:22:56.174Z,2023-04-02T14:14:56Z,4157719655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4157719645,59,"1, 2, 28, 20, 15, 3, 9, 23, 51, 12, 7, 5, 11, 17, 27, 30, 34, 36",4157719649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4157719647,130,4,4157719653,197,5142,4157719643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4157719641,30,"5op3c93qca8mh67vkwrb3tvpx, 6sq9uor68fca8nz7tes0vfdgp, 2jwojltrp06sa8qloordtohrd, 5vzr4dly8xl2hhybhel0comol, 34vcol9n5hg1tv2v4tiq0et0q, 16gnoas9x34hm887omkmeee39, 9aqn77y0knb58698qj46eee39, ce4cgftejsd46a0rahih0divp, cdyp0hsm3q10ds5tv2ink2qxh, cannlc91eqjjy24i7keyvyaui, 3rh7yurfuhun7zvoymgjb7g7p, 9parlijxpxnfis96jwy9p37bp, dly0s8kcg05jee3nkwnkd228l, b0fb391qk3blyandllrxt6fh1, 1o571356wx95l3qbpbe00o991, 2eoggfnen5l1u32thxevo3sb8, 2g2xuwqmuz4ode16ndv9e00t0, 193rdm079hyxhkm8x6f205p1w",4157719651,194,16gnoas9x34hm887omkmeee39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527548467,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2023-04-02T14:02:08.130Z,2023-04-02T14:02:10Z,4157940545,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527548457,2,32,1,0,0,bsbugp9qfasrrtg55bf7evvwv,1,0,0,2023-04-02T14:02:08.130Z,2023-04-02T14:02:08Z,4157940503,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527548475,3,1,1,0,0,28u3q82ip96ahymkup01vfxli,1,49.7,49.9,2023-04-02T14:02:08.438Z,2023-04-02T14:30:15Z,4157940585,279,S,4157940575,56,Back,4157940579,141,52.4,4157940577,140,39.0,4157940583,213,3.0,4157940581,212,11.4,,,,,,,2xphfksgb05a8z4e9328mywvd,R. Siemsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527548537,4,1,1,0,5,28u3q82ip96ahymkup01vfxli,0,39.7,50.6,2023-04-02T14:02:13.326Z,2023-04-02T14:02:14Z,4157940911,141,100.0,4157940907,140,83.8,4157940915,212,57.9,4157940903,56,Left,4157940917,213,0.6,4157940919,1,,4157940901,155,,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527548707,3,5,1,0,6,bsbugp9qfasrrtg55bf7evvwv,1,16.4,-1.5,2023-04-02T14:02:14.700Z,2023-04-02T14:06:23Z,4157941773,56,Back,4157941805,233,5,4157941777,347,,,,,,,,,,,,,,,,,cannlc91eqjjy24i7keyvyaui,E. Harries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527548545,5,5,1,0,6,28u3q82ip96ahymkup01vfxli,0,83.6,101.5,2023-04-02T14:02:14.700Z,2023-04-02T14:02:28Z,4157940945,56,Left,4157941811,233,3,4157940947,347,,,,,,,,,,,,,,,,,d3qtg5xhiwe3zamb4mh50whjp,S. Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527548743,4,1,1,0,20,bsbugp9qfasrrtg55bf7evvwv,1,15.3,0,2023-04-02T14:02:28.206Z,2023-04-02T14:02:32Z,4157941961,1,,4157941955,141,15.2,4157941959,213,0.5,4157941957,212,23.2,4157941949,107,,4157941953,140,34.6,4157941951,56,Back,,,,6sq9uor68fca8nz7tes0vfdgp,F. Bryson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527548773,5,1,1,0,23,bsbugp9qfasrrtg55bf7evvwv,1,34.6,15.2,2023-04-02T14:02:31.918Z,2023-04-02T14:02:33Z,4157942129,141,35.7,4157942131,212,14.6,4157942125,140,30.6,4157942133,213,1.9,4157942121,56,Back,,,,,,,,,,cannlc91eqjjy24i7keyvyaui,E. Harries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
