id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,assist,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2490440131,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-12-11T15:24:10.348Z,2022-12-11T16:50:06Z,3941233727,59,"1, 16, 7, 13, 3, 2, 19, 12, 25, 11, 15, 5, 6, 8, 18, 23, 26, 59",3941233733,194,6679bfd6bjylogbe4ebese85x,3941233731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3941233725,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3941233723,30,"dib5a7vebmtxqcksi1tuteklx, 8jooatan3cxd38v2jyf23pot1, e3fa1ou90dirp8yjjterhrs9h, e8ivbfq0irn8f2p8krhkikzx1, bd1752qgxbodnsgdus42fc99l, bilgoekg6gqwr3qbp6dp0j1zp, ddagc0khq0zh1ywynyci8nzrp, 1o0o6thivoulnmsklkpbwpiad, ec1vrqeqni3lmibeazgq62eol, wupxscyf4x7rsjidpmp0wnv9, 6679bfd6bjylogbe4ebese85x, d9zt8e8lnk9a22we6o6wqyndh, 6zaowm8oua2nzpobekogff1lh, 1dbhha29epjmo8g4xfm5taaj9, 8wvdn1f18jaxmjg4zkizons6i, e6pdkq17etv9k527m94sqqu39, 8lfnj5bvo97dimx52no42nmqd, 4payujvwgv750r4y1eeprn1g4",3941233735,197,723,3941233737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3941233729,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490440911,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2022-12-11T15:25:09.104Z,2022-12-11T16:04:28Z,3941238267,30,"6bejfvxorcqyawi2fmk2kbco9, 3tz0jq7tbg6u1dm6qlx53u6s5, b3i5okqaspq6w7w456ab4cxjp, 8d9pmbbdavzy4g7lw18pvhai2, dw2a5y50m5vbzpy53w2e7n179, 6f8lpm5ckuv4z0tbur533qpxx, 3f6hkia6zu8xuwasqdz3w759m, dzfr9ktjmxqj2eh2xibt7konp, amg2zai9038cdz9uuql3l9rkl, f5j2zq9sslh38t8bhyifsjg89, cpvbitkove7bavl96lkgs1vc9, dcv449u8n6hvahqbgdjwuidw5, 76tytt386zxh1tuqk6kko1gbt, 5b6x41nulut4ctobovky7dgyc, 1e8767jylaqa3wm2qp11wx016",3941238275,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0",3941238319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3941238269,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5",3941238273,130,4,3941238271,59,"1, 2, 33, 16, 6, 14, 19, 10, 8, 7, 20, 9, 21, 24, 26",3941238315,194,dw2a5y50m5vbzpy53w2e7n179,3941238317,197,8381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490468081,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2022-12-11T16:15:17.382Z,2022-12-12T15:29:05Z,3941383889,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490468089,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-12-11T16:15:17.382Z,2022-12-11T16:15:19Z,3941383923,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490468159,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50.1,49.7,2022-12-11T16:15:17.482Z,2022-12-11T16:15:23Z,3941384281,279,S,3941384279,213,3.2,3941384273,140,37.3,3941384271,56,Back,3941384277,212,13.5,3941384275,141,47.8,,,,,,,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490468189,4,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,38.2,44.8,2022-12-11T16:15:23.523Z,2022-12-11T16:15:26Z,3941384447,56,Back,3941384455,213,1.4,3941384453,212,10.7,3941384451,141,60.3,3941384449,140,40.2,,,,,,,,,,1o0o6thivoulnmsklkpbwpiad,F. Maanum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490468215,5,1,1,0,9,5rurqie3qt1qav9ir5mkqinn,1,39.1,59.6,2022-12-11T16:15:26.515Z,2022-12-11T16:15:28Z,3941384601,56,Back,3941384603,140,29.8,3941384605,141,32.4,3941384607,212,20.9,3941384609,213,4.2,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490468247,6,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,29.8,32.4,2022-12-11T16:15:28.363Z,2022-12-11T16:15:32Z,3941384797,213,1.7,3941384795,212,25.5,3941384789,56,Back,3941384793,141,69.7,3941384791,140,27.7,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490468263,7,1,1,0,14,5rurqie3qt1qav9ir5mkqinn,1,28.5,72.7,2022-12-11T16:15:32.084Z,2022-12-11T16:15:34Z,3941384893,212,17.1,3941384891,141,48.5,3941384889,140,24.0,3941384887,56,Back,3941384895,213,4.4,,,,,,,,,,bilgoekg6gqwr3qbp6dp0j1zp,Rafaelle Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490468271,8,1,1,0,16,5rurqie3qt1qav9ir5mkqinn,1,24.2,45.8,2022-12-11T16:15:33.795Z,2022-12-11T16:15:54Z,3941384959,213,5.0,3941384955,141,22.5,3941384957,212,16.4,3941384951,56,Back,3941384953,140,28.3,,,,,,,,,,dib5a7vebmtxqcksi1tuteklx,M. Zinsberger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
