id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2486950041,5,1,1,0,11,cz26xwowfjp8ei14n9z2ac135,1,21.6,79,2022-11-20T15:02:57.238Z,2022-11-20T15:02:59Z,3922769331,212,26.1,3922769329,141,91.4,3922769333,213,0.3,3922769325,56,Back,3922769327,140,45.1,3922769323,155,,,,,,,,cvuaoz9c41od4r0j3sajszsut,K. Longhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950043,6,50,1,0,14,cz26xwowfjp8ei14n9z2ac135,1,51.3,92.9,2022-11-20T15:02:59.734Z,2022-11-20T15:03:01Z,3922769339,286,,3922769337,56,Left,3922769377,233,7,,,,,,,,,,,,,,,,enjtkmi8hjldw767n70b6mxg5,C. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950049,7,7,1,0,14,28u3q82ip96ahymkup01vfxli,0,48.7,7.1,2022-11-20T15:02:59.735Z,2022-11-20T15:03:01Z,3922769373,233,6,3922769369,56,Back,3922769371,285,,,,,,,,,,,,,,,,,7m31qpkmuh3amb6navttdlvpx,A. Whelan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950053,7,1,1,0,16,cz26xwowfjp8ei14n9z2ac135,1,44.4,89.1,2022-11-20T15:03:01.486Z,2022-11-20T15:03:02Z,3922769399,212,13.8,3922769395,140,31.6,3922769401,213,2.9,3922769393,56,Back,3922769397,141,93.9,,,,,,,,,,enjtkmi8hjldw767n70b6mxg5,C. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950071,8,1,1,0,17,cz26xwowfjp8ei14n9z2ac135,1,31.6,93.9,2022-11-20T15:03:02.789Z,2022-11-20T15:03:06Z,3922769515,213,4.8,3922769509,140,33.2,3922769511,141,74.8,3922769513,212,13.1,3922769507,56,Back,,,,,,,,,,dfodeak21qhzgxr7qs85f3vf9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950105,9,1,1,0,20,cz26xwowfjp8ei14n9z2ac135,1,33.2,67.9,2022-11-20T15:03:06.174Z,2022-11-20T15:03:10Z,3922769655,212,25.8,3922769659,213,4.4,3922769651,140,26.8,3922769649,56,Back,3922769653,141,31.3,,,,,,,,,,3fta0gg3ghja3x9ouubjjfzl5,H. Hayashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950129,10,1,1,0,25,cz26xwowfjp8ei14n9z2ac135,1,33.6,25.5,2022-11-20T15:03:10.774Z,2022-11-20T15:03:15Z,3922769787,56,Back,3922769793,212,17.9,3922769795,213,5.2,3922769791,141,2.3,3922769789,140,41.7,,,,,,,,,,230r9tcwg89z5b9kxdqwi336d,G. Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950133,11,50,1,0,29,cz26xwowfjp8ei14n9z2ac135,1,38.8,4.3,2022-11-20T15:03:14.509Z,2022-11-20T15:03:16Z,3922769803,286,,3922769801,56,Back,3922769817,233,8,,,,,,,,,,,,,,,,19npqca9guxs7p2yl5sbjmbx1,L. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950135,8,7,1,0,29,28u3q82ip96ahymkup01vfxli,0,61.2,95.7,2022-11-20T15:03:14.510Z,2022-11-20T15:03:16Z,3922769813,233,11,3922769807,56,Left,3922769809,285,,,,,,,,,,,,,,,,,c7giuh90mnvajsobobcbx4ley,C. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950153,12,1,1,0,31,cz26xwowfjp8ei14n9z2ac135,0,31.1,2.3,2022-11-20T15:03:17.190Z,2022-11-20T15:03:20Z,3922769879,157,,3922769881,56,Right,3922769889,213,0.0,3922769891,1,,3922769885,141,2.5,3922769883,140,77.8,3922769887,212,49.0,,,,230r9tcwg89z5b9kxdqwi336d,G. Fisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950155,9,49,1,0,35,28u3q82ip96ahymkup01vfxli,1,26.2,96.3,2022-11-20T15:03:21.286Z,2022-11-20T15:03:21Z,,,,,,,,,,,,,,,,,,,,,,,,,8hmqpyniap0whyfhco0dhp3v9,A. Plumptre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950209,10,1,1,0,39,28u3q82ip96ahymkup01vfxli,1,26,83.8,2022-11-20T15:03:25.110Z,2022-11-20T15:03:29Z,3922770127,140,14.5,3922770131,212,22.4,3922770129,141,56.1,3922770133,213,4.1,3922770125,56,Back,,,,,,,,,,8hmqpyniap0whyfhco0dhp3v9,A. Plumptre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950231,11,1,1,0,44,28u3q82ip96ahymkup01vfxli,1,13.3,55.7,2022-11-20T15:03:29.518Z,2022-11-20T15:03:35Z,3922770243,213,5.2,3922770237,140,22.0,3922770241,212,17.9,3922770239,141,33.0,3922770235,56,Back,,,,,,,,,,7n8jink50lk1tivoqpe57h32t,D. Lambourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950239,12,1,1,0,50,28u3q82ip96ahymkup01vfxli,1,28,28.2,2022-11-20T15:03:35.526Z,2022-11-20T15:03:37Z,3922770291,141,6.7,3922770289,140,30.9,3922770295,213,4.9,3922770293,212,14.9,3922770287,56,Back,,,,,,,,,,8hmqpyniap0whyfhco0dhp3v9,A. Plumptre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950241,13,1,1,0,51,28u3q82ip96ahymkup01vfxli,0,31.1,5.3,2022-11-20T15:03:37.214Z,2022-11-20T15:03:38Z,3922770305,212,28.9,3922770301,140,58.2,3922770307,213,6.1,3922770303,141,0.0,3922770299,56,Right,,,,,,,,,,4lfk4hy1a6ig3izoq3mgl9zhl,E. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950275,13,5,1,0,52,cz26xwowfjp8ei14n9z2ac135,1,43.6,101.8,2022-11-20T15:03:38.025Z,2022-11-20T15:13:15Z,3922770465,56,Back,3922770467,347,,3922770481,233,14,,,,,,,,,,,,,,,,enjtkmi8hjldw767n70b6mxg5,C. Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950243,14,5,1,0,52,28u3q82ip96ahymkup01vfxli,0,56.4,-1.8,2022-11-20T15:03:38.025Z,2022-11-20T15:03:44Z,3922770497,233,13,3922770311,347,,3922770309,56,Right,,,,,,,,,,,,,,,,4lfk4hy1a6ig3izoq3mgl9zhl,E. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950285,14,1,1,0,58,cz26xwowfjp8ei14n9z2ac135,1,33.5,100,2022-11-20T15:03:44.078Z,2022-11-20T15:03:45Z,3922770521,140,23.5,3922770517,107,,3922770525,212,20.7,3922770527,213,4.2,3922770523,141,75.7,3922770519,56,Back,,,,,,,dfodeak21qhzgxr7qs85f3vf9,K. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486950301,15,1,1,1,0,cz26xwowfjp8ei14n9z2ac135,1,20.6,75.3,2022-11-20T15:03:45.902Z,2022-11-20T15:03:49Z,3922770613,140,9.9,3922770617,212,21.1,3922770611,56,Back,3922770619,213,4.2,3922770615,141,49.0,,,,,,,,,,cvuaoz9c41od4r0j3sajszsut,K. Longhurst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
