id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId
2490312151,1,34,16,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2022-12-11T11:41:19.663Z,2022-12-11T12:32:56Z,3940548737,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940548747,197,1154,3940548739,59,"1, 2, 15, 25, 4, 5, 10, 7, 21, 9, 11, 3, 6, 8, 12, 13, 14, 22, 33, 41",3940548745,194,c6k1w8sothxmc08dbhqjzp1w5,3940548741,130,4,3940548743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940548735,30,"20ccu2ngcfo3cvczhzk682ju1, 8hq106ex872xezlr1j901kpux, eb0h79vh5dwggjx7shj0ovetx, 7op9czmiln7ktmvetw97scz4l, 470uu9issmbdfyhxjq75gdbs9, c6k1w8sothxmc08dbhqjzp1w5, et72990p9axru09oxv51hokwl, 7gmh6g5c39asg7gnthx1jxp79, cm84oje8txj7m34zuhhv68ct1, 8gxse7h6ucubo3weq7sp9dnf9, 10d8jj5vwrmib55tth0isfvft, 1cyzpbgl74lage7toh7f1tgb9, 5vuw3lywsh90t394m8h6g5ihh, brflebs8m00rgali2owyoyove, 3ddo1m631pf9ruzzpaujs9gph, 1to70vfsch5kwvw3kjgo1iggl, bo5e35lsptja0pnlvk1y38dex, 6vqain7mmp94wueprv9aj5xp1, 6bcvcloym3tzxss5hgsw4h1at, a8p1m5xzbpbzere0gmb3rye0a",3940548749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490312171,1,34,16,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2022-12-11T11:41:22.261Z,2022-12-11T12:36:16Z,3940548859,194,9ijnmgmapjcnctich86692tw5,3940548853,59,"27, 2, 6, 10, 15, 21, 22, 12, 23, 7, 11, 3, 4, 8, 9, 17, 20, 28, 32, 37",3940548851,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3940548849,30,"eofeaerj2f8tm1xldw18e2o5x, 4ihrb3uj478vlzrbh94jj1i3t, 2s15k44faiinj3gz5tswtv4d1, 9ijnmgmapjcnctich86692tw5, 9t8eb24gwj56ucggp7x0n0ewa, bl6mkergo04815vpi73fgtwb9, c705ailfiov40xwoysz0ggct1, 1haq2mkmbebj3jbt0z2jom4lx, 5qxvej7pcqqr989sba7k0jv85, 2a45d0hq84uxfi5t9c65dw7vt, d29d4xtq3ib0nim6keirgdx3p, 589yqifloa5j7qwp2gnemyml1, 5vzr4dly8xl2hhybhel0comol, 5adluw93r1tx4n3ta3wyhj7bp, 9zdmc8v5sfrv9z7da49odn4a2, 440p9vyf2bnhoivrea2biq9k9, 1co13krvtz3b1p9m9038kpadx, 1234a1tb7y6trj9xsoqvx0x5h, el8c138wsa0bnop68caop5uxh, cs8bo5xvtd2bq7kd91flepwwl",3940548855,130,8,3940548861,197,8474,3940548857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3940548863,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490332615,2,32,1,0,0,axwnneoekq2f2yq6r1l704y96,1,0,0,2022-12-11T12:31:28.233Z,2022-12-11T12:31:30Z,3940646785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490332611,2,32,1,0,0,36tr17foeaf9ejjmt2txuoy3y,1,0,0,2022-12-11T12:31:28.233Z,2022-12-11T15:25:52Z,3940646775,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490332621,3,1,1,0,0,axwnneoekq2f2yq6r1l704y96,1,50.1,49.9,2022-12-11T12:31:28.333Z,2022-12-11T12:35:19Z,3940646811,56,Back,3940646815,141,59.6,3940646821,279,S,3940646819,213,2.6,3940646817,212,13.4,3940646813,140,39.0,,,,,,,5qxvej7pcqqr989sba7k0jv85,A. Russo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490332637,4,1,1,0,2,axwnneoekq2f2yq6r1l704y96,1,43,60.2,2022-12-11T12:31:31.209Z,2022-12-11T12:31:33Z,3940646913,141,74.4,3940646917,213,1.2,3940646915,212,10.6,3940646911,140,47.1,3940646909,56,Back,,,,,,,,,,9ijnmgmapjcnctich86692tw5,K. Zelem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490332659,5,1,1,0,4,axwnneoekq2f2yq6r1l704y96,1,47.1,74.4,2022-12-11T12:31:32.952Z,2022-12-11T12:31:51Z,3940647001,140,38.9,3940646999,56,Back,3940647005,212,14.6,3940647007,213,2.2,3940647003,141,91.8,,,,,,,,,,2a45d0hq84uxfi5t9c65dw7vt,E. Toone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490332675,6,1,1,0,6,axwnneoekq2f2yq6r1l704y96,1,35.2,91.2,2022-12-11T12:31:34.496Z,2022-12-11T12:31:37Z,3940647107,141,95.4,3940647111,213,0.1,3940647109,212,20.0,3940647103,56,Left,3940647105,140,54.1,,,,,,,,,,2s15k44faiinj3gz5tswtv4d1,H. Blundell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490332733,7,2,1,0,9,axwnneoekq2f2yq6r1l704y96,1,62.3,93.6,2022-12-11T12:31:37.632Z,2022-12-11T15:26:08Z,3940647365,141,86.3,3940647359,7,5qxvej7pcqqr989sba7k0jv85,3940647361,56,Left,3940647363,140,69.5,,,,,,,,,,,,,d29d4xtq3ib0nim6keirgdx3p,L. Galton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490332717,3,55,1,0,9,36tr17foeaf9ejjmt2txuoy3y,1,23.8,22.5,2022-12-11T12:31:37.633Z,2022-12-11T12:38:16Z,,,,,,,,,,,,,,,,,,,,,,,,,470uu9issmbdfyhxjq75gdbs9,Laia Aleixandri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
