id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/11/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2482386561,1,34,16,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-11-06T13:06:39.378Z,2022-11-06T13:25:28Z,3898914943,194,1dbhha29epjmo8g4xfm5taaj9,3898914933,30,"dib5a7vebmtxqcksi1tuteklx, 8lfnj5bvo97dimx52no42nmqd, 6679bfd6bjylogbe4ebese85x, 1o0o6thivoulnmsklkpbwpiad, bd1752qgxbodnsgdus42fc99l, e3fa1ou90dirp8yjjterhrs9h, e8ivbfq0irn8f2p8krhkikzx1, 1dbhha29epjmo8g4xfm5taaj9, ec1vrqeqni3lmibeazgq62eol, 3sn815dsm0i0rnw9nigjyb0et, ddagc0khq0zh1ywynyci8nzrp, d9zt8e8lnk9a22we6o6wqyndh, 8jooatan3cxd38v2jyf23pot1, 3i4ljm3hqc6wg8s6l4onlagut, 8wvdn1f18jaxmjg4zkizons6i, e6pdkq17etv9k527m94sqqu39, dzcslji43ovtyyvy37dewv2fo, 4payujvwgv750r4y1eeprn1g4, ee88osv4xp26lolzp38ax1wyc, 70axdagp6dkm3fvv79ofsxfro",3898914947,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898914941,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898914939,130,4,3898914937,59,"1, 26, 15, 12, 3, 7, 13, 8, 25, 9, 19, 5, 16, 17, 18, 23, 40, 59, 61, 62",3898914945,197,17070,3898914935,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482389771,1,34,16,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-11-06T13:10:03.324Z,2022-11-06T15:19:08Z,3898931269,30,"8ctokja53x311jvllpdh6v4yd, 4lfk4hy1a6ig3izoq3mgl9zhl, 9mjnqdz7dqs3ymr7bvec7lbkl, d3qtg5xhiwe3zamb4mh50whjp, 8evgc5zhtfnqatt15vr3ttwwl, 8hmqpyniap0whyfhco0dhp3v9, 6k1s7y9dnzdpppppdco7bgudx, 7m31qpkmuh3amb6navttdlvpx, 6zu0f63ej8pixk97nfzrexiad, 3km1u2mw1tkioh2mucow7d1pl, 3upyu7hn2q7voapvgtlnl1yad, 7n8jink50lk1tivoqpe57h32t, 9bluldps4u93urd4x9p0xk4id, 2hoa4v8810rmsbi85pfanyfl6, 8xlmd18k335ypz59olrdjhcve, c7giuh90mnvajsobobcbx4ley, 1ct6g590mpcg14jw94v4g2tm2, 19qjvbtfwo55xwsqu5dmwh9ii, 32qdycwtlahk754bdqjsowduc, 7l34xmrhlyosdxfc7j3rru609",3898931275,130,11,3898931283,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3898931273,59,"28, 13, 2, 15, 5, 22, 4, 10, 7, 3, 23, 1, 6, 8, 12, 16, 20, 27, 32, 44",3898931279,194,7m31qpkmuh3amb6navttdlvpx,3898931281,197,9086,3898931271,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3898931277,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429885,2,32,1,0,0,28u3q82ip96ahymkup01vfxli,1,0,0,2022-11-06T14:00:16.790Z,2022-11-06T14:00:16Z,3899134099,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429895,2,32,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,0,0,2022-11-06T14:00:16.790Z,2022-11-06T14:00:19Z,3899134127,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429901,3,1,1,0,0,5rurqie3qt1qav9ir5mkqinn,1,50.1,49.3,2022-11-06T14:00:16.916Z,2022-11-06T14:41:32Z,3899134153,140,39.6,3899134159,213,3.4,3899134157,212,11.5,3899134151,56,Back,3899134161,279,S,3899134155,141,44.3,,,,,,,ec1vrqeqni3lmibeazgq62eol,S. Blackstenius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482429999,4,1,1,0,3,5rurqie3qt1qav9ir5mkqinn,1,26.8,51.2,2022-11-06T14:00:20.277Z,2022-11-06T14:00:23Z,3899134615,213,4.7,3899134609,140,26.7,3899134607,56,Back,3899134611,141,11.1,3899134613,212,27.3,,,,,,,,,,e8ivbfq0irn8f2p8krhkikzx1,L. Wälti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430043,5,1,1,0,6,5rurqie3qt1qav9ir5mkqinn,1,29.7,11.7,2022-11-06T14:00:23.021Z,2022-11-06T14:00:27Z,3899134851,213,1.9,3899134845,140,23.8,3899134843,56,Back,3899134849,212,18.7,3899134847,141,37.6,,,,,,,,,,8lfnj5bvo97dimx52no42nmqd,L. Wienroither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430071,6,1,1,0,10,5rurqie3qt1qav9ir5mkqinn,1,24.6,37.9,2022-11-06T14:00:27.181Z,2022-11-06T14:00:28Z,3899134937,140,27.6,3899134941,212,19.8,3899134939,141,66.6,3899134943,213,1.4,3899134935,56,Back,,,,,,,,,,bd1752qgxbodnsgdus42fc99l,L. Wubben-Moy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430123,7,1,1,0,12,5rurqie3qt1qav9ir5mkqinn,1,27.6,66.6,2022-11-06T14:00:28.861Z,2022-11-06T14:00:31Z,3899135145,140,36.0,3899135151,213,1.1,3899135149,212,19.5,3899135147,141,92.1,3899135143,56,Back,,,,,,,,,,e3fa1ou90dirp8yjjterhrs9h,S. Catley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482430145,8,1,1,0,14,5rurqie3qt1qav9ir5mkqinn,0,34.1,94.5,2022-11-06T14:00:31.541Z,2022-11-06T14:00:33Z,3899135253,140,74.7,3899135249,155,,3899135261,1,,3899135257,212,44.3,3899135255,141,77.0,3899135251,56,Center,3899135259,213,6.0,,,,6679bfd6bjylogbe4ebese85x,K. McCabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
