id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value
2527711061,1,34,16,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-04-02T16:48:43.656Z,2023-04-02T17:46:29Z,4158789973,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158789959,30,"6bejfvxorcqyawi2fmk2kbco9, cs8bo5xvtd2bq7kd91flepwwl, b3i5okqaspq6w7w456ab4cxjp, dzfr9ktjmxqj2eh2xibt7konp, 9cjjs4piq3t12iltsfon52h91, 6f8lpm5ckuv4z0tbur533qpxx, f5j2zq9sslh38t8bhyifsjg89, 3f6hkia6zu8xuwasqdz3w759m, amg2zai9038cdz9uuql3l9rkl, 1dbhha29epjmo8g4xfm5taaj9, cpvbitkove7bavl96lkgs1vc9, dle50mcyb7xfk7eop3d0qs2c5, 5iqkq5z36m51o6xxodts4nyi2, 76tytt386zxh1tuqk6kko1gbt, 5b6x41nulut4ctobovky7dgyc, 83pm1s4c5h4epnnyw9xep3w2c, 72urf7pms7afj0t3u8ipk08ut, 4z5yebdedoh2f1nhkev8w8jro",4158789963,59,"1, 12, 33, 10, 15, 14, 7, 19, 8, 88, 20, 11, 18, 21, 24, 28, 31, 36",4158789969,194,6f8lpm5ckuv4z0tbur533qpxx,4158789971,197,8381,4158789961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4158789967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4158789965,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527711953,1,34,16,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-04-02T16:49:53.277Z,2023-04-02T17:55:02Z,4158794693,59,"1, 7, 21, 5, 26, 16, 19, 17, 20, 28, 11, 10, 15, 18, 22, 27, 30",4158794703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158794699,194,eincxi6xa1nrhr9qldtxboyqd,4158794689,30,"6xrzl8rljlz8zmlaj69qqktlh, 9ohn9m84cy89huz745lirkted, c0my4y3kjf7jbbfujj5l8e8yx, amox5xqwe8gybft16wa7qbufp, 4wxqckb43bkeobwanys62zvmd, eincxi6xa1nrhr9qldtxboyqd, 2m6wew2746q1xsoio3703t8t1, ek8x7y3jt0xcebttt75qi5exh, 66f0rjs4c2yih8phn6meyj74l, 2hkkfeyzmu2pkqgjw3bpl7cnp, 1cfhmihovl78l8osqbo1w9nth, 9n2d2dv38kp2exb7z3xh2ykiy, 6ypmyozp8zmq4tk36n49oz5xx, daqovjw2z3rsq6rs1vq38980l, cij18xj0bx2zyx3mi9xwykn9x, eb16y0nh6ekr5yyrgfqigyq5l, 6fi5hacjc8lj8zej0d2lfq66t",4158794701,197,10448,4158794695,130,8,4158794697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4158794691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758607,2,32,1,0,0,spi3g782q7m4evjxn1sv6cfa,1,0,0,2023-04-02T17:45:13.661Z,2023-04-02T17:45:14Z,4159033857,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758601,2,32,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,0,0,2023-04-02T17:45:13.661Z,2023-04-03T13:16:12Z,4159033839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758671,3,1,1,0,0,8l30dsub3sutr6j3ruvk650xc,1,50.2,49.6,2023-04-02T17:45:13.761Z,2023-04-02T17:46:13Z,4159034233,279,S,4159034223,56,Back,4159034229,212,4.5,4159034225,140,46.5,4159034231,213,2.6,4159034227,141,53.0,,,,,,,amg2zai9038cdz9uuql3l9rkl,R. Daly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758699,4,1,1,0,4,8l30dsub3sutr6j3ruvk650xc,0,47.1,51.2,2023-04-02T17:45:18.071Z,2023-04-02T18:44:51Z,4159034361,213,0.7,4159034357,141,80.8,4159034351,155,,4159034355,140,71.9,4159034353,56,Left,4159034363,1,,4159034359,212,32.9,,,,dzfr9ktjmxqj2eh2xibt7konp,K. Dali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758739,3,1,1,0,6,spi3g782q7m4evjxn1sv6cfa,0,32.8,11.6,2023-04-02T17:45:19.974Z,2023-04-02T17:45:21Z,4159034521,141,4.9,4159034527,1,,4159034519,140,70.5,4159034525,213,6.2,4159034517,56,Right,4159034515,157,,4159034523,212,39.8,,,,9ohn9m84cy89huz745lirkted,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758773,5,50,1,0,10,8l30dsub3sutr6j3ruvk650xc,1,29.5,91.3,2023-04-02T17:45:23.911Z,2023-04-02T17:45:27Z,4159034679,56,Back,4159034681,285,,4159034925,233,4,,,,,,,,,,,,,,,,6f8lpm5ckuv4z0tbur533qpxx,D. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758823,4,7,1,0,10,spi3g782q7m4evjxn1sv6cfa,0,70.5,8.7,2023-04-02T17:45:23.912Z,2023-04-03T13:17:24Z,4159034881,56,Right,4161071467,383,,4159034901,233,5,4159034883,286,,,,,,,,,,,,,,2hkkfeyzmu2pkqgjw3bpl7cnp,J. Čanković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527758859,6,1,1,0,11,8l30dsub3sutr6j3ruvk650xc,1,21.7,86.8,2023-04-02T17:45:24.926Z,2023-04-02T17:45:28Z,4159035035,212,16.7,4159035029,56,Back,4159035031,140,14.2,4159035037,213,4.2,4159035033,141,65.2,,,,,,,,,,6f8lpm5ckuv4z0tbur533qpxx,D. Turner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
