id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2542000617,1,34,16,0,0,6ubc4y1v6hr63mca7ica4hp90,1,0,0,2023-04-30T22:26:22.041Z,2023-05-01T01:02:10Z,4242168543,197,18743,4241762597,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4241762601,130,12,4241762599,59,"39, 35, 60, 44, 83, 37, 58, 77, 21, 79, 66, 38, 41, 56, 61, 71, 75, 80, 84, 88",4241762605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241762595,30,"91zaobrhwte235umn6y1mklxw, ds4avrkvrp4jxq9lp02ssci22, 66bdf9l614g2dx43x8003m162, dkgv1asv2glgvoddpvxe56t5g, duyoju8g87ig7h2n0jnddtm38, exk9svcdgcbn05ms00fhorvv8, b1p6qcv8wjzoxoax3nt13n5gq, efbuucn9anvzy2n7dq7kxsctl, 6hjvb1mzws55dw0ajtu9mpclw, crpkn4juf1s72y9c76t3o4k16, dercetgxemr74f5yasq86s5t6, 7bxp7ho4cmsoviw19q4bxr02c, 8fb62dbrpiodc3n3csiw8rz3e, doqbp8fg8hke6hhifdr4jzklw, e5hpgmctt7gv4raikw0qvbtre, 35i699wz5v6nush729peu776c, bjk2ns3xadow18v3tkvqqrkh6, d47ks2lj1bgbm1x11qil2352i, 3lafo3mzfkp2kmf2fj8d6lnv8, 8hkbb39xnqy71xe1a4iblhes4",4241762603,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4242131841,194,b1p6qcv8wjzoxoax3nt13n5gq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542006051,1,34,16,0,0,6ddsx316t3j0z6nolrky9k4r8,1,0,0,2023-04-30T22:35:25.395Z,2023-05-01T01:12:19Z,4241793027,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4242167815,197,18747,4242168151,194,8sydisziijh84elb8dprtlduy,4241793031,130,4,4241793033,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241793035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241793029,59,"54, 77, 18, 42, 47, 33, 29, 31, 39, 27, 38, 37, 44, 45, 56, 60, 64, 91, 78, 79",4241793025,30,"bn7qfn71x24fjl5d8t4p97kve, bug5x187ehj0apzl11lrl3ip6, 1muuu6wgia9wxv6vmw8tln5sk, duj699i9620tuf3ii9z06bqsq, eq98gflais2v26wgbkw9wrxg4, 8sydisziijh84elb8dprtlduy, cwyml9l4tfvb4ceh8tv3au0wk, abhcwxqh35hbgze01m4ihopyi, 96a444bkyegpg5zho3odc54ic, 3ei1s8oyub83owfxxbsygmsmi, ck71v8brvqxzz905c5o9966ay, 4k6c9nnzytq9qhc9uol64wg7o, 1p4rbf4wumfagv2ntlewdxey, 6n212e4qa6se8iq0983rr05ey, 7iu21pvjpdh2nxm8sgn3rraqc, 51feywrm28vtce8hlntacbbe2, cf5cnymq2xkzjczfy4zk905qs, ecjo46a4j50f4cu0mkvw35ysq, 6hkuuhq0sz0j8nrbppj9jiulm, bbxeavv9oiz82dch0tsws3giy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542075213,2,32,1,0,0,6ddsx316t3j0z6nolrky9k4r8,1,0,0,2023-05-01T01:05:24.444Z,2023-05-01T01:05:24Z,4242172705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542075217,2,32,1,0,0,6ubc4y1v6hr63mca7ica4hp90,1,0,0,2023-05-01T01:05:24.444Z,2023-05-01T01:05:25Z,4242172719,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542075233,3,1,1,0,0,6ddsx316t3j0z6nolrky9k4r8,1,50.1,49.9,2023-05-01T01:05:24.544Z,2023-05-01T01:58:52Z,4242172805,212,23.4,4242172809,279,S,4242172803,141,35.2,4242172799,56,Back,4242172807,213,3.6,4242172801,140,30.0,,,,,,,cwyml9l4tfvb4ceh8tv3au0wk,M. Carrizo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542075237,4,1,1,0,6,6ddsx316t3j0z6nolrky9k4r8,0,39.9,43,2023-05-01T01:05:30.452Z,2023-05-01T01:58:59Z,4242172827,141,65.4,4242172821,155,,4242172831,213,0.3,4242172833,1,,4242172829,212,46.7,4242172825,140,81.9,4242172823,56,Center,,,,duj699i9620tuf3ii9z06bqsq,P. Elias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542075255,3,1,1,0,8,6ubc4y1v6hr63mca7ica4hp90,0,31.2,27.2,2023-05-01T01:05:33.170Z,2023-05-01T01:05:48Z,4242172939,213,5.5,4242172935,141,12.9,4242172933,140,41.4,4242172929,3,,4242172937,212,14.5,4242172931,56,Back,,,,,,,ds4avrkvrp4jxq9lp02ssci22,N. Scardina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542075279,5,1,1,0,11,6ddsx316t3j0z6nolrky9k4r8,0,53,96.7,2023-05-01T01:05:36.333Z,2023-05-01T01:05:48Z,4242173093,141,94.4,4242173095,212,29.4,4242173211,189,,4242173091,140,25.0,4242173089,56,Back,4242173097,213,3.2,,,,,,,1muuu6wgia9wxv6vmw8tln5sk,C. McFarlane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542075289,4,61,1,0,17,6ubc4y1v6hr63mca7ica4hp90,1,68.2,5.8,2023-05-01T01:05:42.151Z,2023-05-01T01:15:34Z,4242176487,189,,4242173147,56,Right,,,,,,,,,,,,,,,,,,,6hjvb1mzws55dw0ajtu9mpclw,Vinicius Mello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542075295,5,5,1,0,18,6ubc4y1v6hr63mca7ica4hp90,0,71.8,-1.8,2023-05-01T01:05:42.746Z,2023-05-01T01:15:41Z,4242173171,347,,4242173239,233,6,4242173169,56,Right,,,,,,,,,,,,,,,,6hjvb1mzws55dw0ajtu9mpclw,Vinicius Mello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
