id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,assist,qualifier/8/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2544072593,1,34,16,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-05-05T22:24:00.386Z,2023-05-06T01:15:13Z,4252838271,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252838265,59,"67, 17, 19, 5, 23, 3, 8, 6, 7, 9, 10, 1, 11, 13, 18, 21, 28, 34, 35, 50",4252838261,30,"efek04gkkjjwr6vo2mi008dm, dz7v9xfcwdvjioeyv4z54neqy, eur2vbdzfmcxyfathakjghyqc, 3g0rdzkjns986gn34vg3umiqy, bxbh5i1uqhe22e2cft5x6fl2i, b7ph7dek8orcs55sx2jim25m, 6z58yyouaevipxrmrmorcz0no, 5w8wyn94ovw846d5gk29u76x, 58b0j5f9h93p4zz63xha4551x, 3msaz0qe2elahrrd78nzw2ihg, 3ai567bs32hpam9s7nmeiu044, dtb9aa7wp7e73bm367myma1n9, 75ya8t62q1sp6ew1nlanfdduy, 374euncv00zs2oy6ux1u519be, 8zokda286fc61hi2znyufz6ga, cy9icu1umyyf9w4cngoqc74es, 1x89wne2srx1dupb7vt5gf3ai, 13fw9tv629rig8hjfzulf0d90, 8pli7fk5kjmt0f9pl6sjsltuy, 8bvwbem3nusjso8jxzrlhbi8k",4252838269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4252838263,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4252844119,197,18771,4252838267,130,12,4253032953,194,efek04gkkjjwr6vo2mi008dm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544072603,1,34,16,0,0,5b4ccd62yeeqdl2qk6jzsmjv8,1,0,0,2023-05-05T22:24:07.078Z,2023-05-06T00:52:11Z,4252838329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4252838321,30,"9bn2zid7u305xii6alm8a58us, 9ch7zgxlcjiio0xbo2hhl2yvo, 33a69m1zaamzxjr6tsb8p3578, bvmdxx61yedgrgfw586y8dgr8, bezle40rjwnkdskjbf9yg4sq2, 8pqvmz8g1yhe7hqqc1d68c4mi, 6eqvj5hboqw5c21ofhsgo4p9l, 4m3lluwxr5u6cneqaxi56tt2i, 58w3qcq1xrkpq5f9miuxp4ys4, c7i11l9181wd0o5m0t33melm, 8warl67c0id3dorr48mn7h82c, el1gdq22vbeehgdzuk5y680h6, rslza322led8pkmn6b39f696, 55w231qjd1woe2naxtfaop4dm, 7sbjlnagdpfp5o1kf210odxey, 5lwarg9t4o7hxcq5exe8gwydw, 5ye3goqye95gc5e0skdk29e96, cg3xa5zbx2xz5qi5m1bbso4r8",4252838323,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4252838325,59,"60, 9, 49, 17, 12, 8, 22, 10, 53, 11, 51, 3, 6, 7, 14, 29, 40, 55",4252996235,194,9bn2zid7u305xii6alm8a58us,4252850741,197,14908,4252838327,130,17,4252838331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544075489,2,32,1,0,0,5b4ccd62yeeqdl2qk6jzsmjv8,1,0,0,2023-05-05T23:05:17.822Z,2023-05-05T23:05:17Z,4252853003,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544075491,2,32,1,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-05-05T23:05:17.822Z,2023-05-05T23:05:20Z,4252853005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544075493,3,1,1,0,0,4gymgvqmve0m2vh89v84tt3x0,1,50,50.1,2023-05-05T23:05:17.990Z,2023-05-06T00:05:51Z,4252853011,141,55.7,4252853007,56,Back,4252853013,212,8.1,4252853015,213,2.7,4252853017,279,S,4252853009,140,43.2,,,,,,,58b0j5f9h93p4zz63xha4551x,N. Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544083383,380,40,1,0,0,5b4ccd62yeeqdl2qk6jzsmjv8,1,0,0,2023-05-05T23:05:18.311Z,2023-05-05T23:44:33Z,4252894405,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4252894403,30,"9bn2zid7u305xii6alm8a58us, 9ch7zgxlcjiio0xbo2hhl2yvo, 33a69m1zaamzxjr6tsb8p3578, bvmdxx61yedgrgfw586y8dgr8, bezle40rjwnkdskjbf9yg4sq2, 8pqvmz8g1yhe7hqqc1d68c4mi, 8warl67c0id3dorr48mn7h82c, 4m3lluwxr5u6cneqaxi56tt2i, c7i11l9181wd0o5m0t33melm, 58w3qcq1xrkpq5f9miuxp4ys4, 6eqvj5hboqw5c21ofhsgo4p9l, el1gdq22vbeehgdzuk5y680h6, rslza322led8pkmn6b39f696, 55w231qjd1woe2naxtfaop4dm, 7sbjlnagdpfp5o1kf210odxey, 5lwarg9t4o7hxcq5exe8gwydw, 5ye3goqye95gc5e0skdk29e96, cg3xa5zbx2xz5qi5m1bbso4r8",4252894409,130,17,4252894411,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4252894407,59,"60, 9, 49, 17, 12, 8, 51, 10, 11, 53, 22, 3, 6, 7, 14, 29, 40, 55",4252894413,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544075495,4,1,1,0,2,4gymgvqmve0m2vh89v84tt3x0,1,44.3,55.7,2023-05-05T23:05:19.878Z,2023-05-05T23:05:23Z,4252853047,213,5.7,4252853039,56,Center,4252853045,212,38.2,4252853037,155,,4252853049,1,,4252853041,140,75.0,4252853043,141,25.5,,,,3ai567bs32hpam9s7nmeiu044,O. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544075497,5,1,1,0,5,4gymgvqmve0m2vh89v84tt3x0,1,93.4,25,2023-05-05T23:05:23.622Z,2023-05-05T23:05:30Z,4252853081,213,1.5,4252853083,1,,4252853077,141,80.9,4252853079,212,38.2,4252853071,155,,4252853073,56,Left,4252853075,140,97.0,4252853069,2,,dz7v9xfcwdvjioeyv4z54neqy,J. Bolanos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544075501,6,1,1,0,12,4gymgvqmve0m2vh89v84tt3x0,1,95.8,75.9,2023-05-05T23:05:30.438Z,2023-05-05T23:06:42Z,4252853093,56,Left,4252853099,212,7.5,4252853101,213,2.8,4252853097,141,80.0,4252853095,140,89.2,,,,,,,,,,3g0rdzkjns986gn34vg3umiqy,S. Suber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544075499,3,45,1,0,13,5b4ccd62yeeqdl2qk6jzsmjv8,0,11.6,19.3,2023-05-05T23:05:31.432Z,2023-05-05T23:05:34Z,4252853119,233,7,4252853089,285,,4252853087,56,Back,,,,,,,,,,,,,,,,58w3qcq1xrkpq5f9miuxp4ys4,B. Adu-Gyamfi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
