id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2541972135,1,34,16,0,0,cbip96wzs3jc2xadoluhhxotl,1,0,0,2023-04-30T21:31:17.208Z,2023-04-30T22:09:00Z,4241607649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4241607647,130,7,4241607645,59,"35, 86, 37, 33, 51, 44, 70, 49, 23, 26, 45, 55, 57, 60, 62, 66, 85, 95, 78",4241678857,194,925j70waph5n48rvazrjj1pg4,4241607643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4241607651,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241678859,197,8379,4241607641,30,"844k9wmnxkk24xsjd4fdb4rca, 64i80kb7s1bakexbyunb92zo4, 5gl31qop7zlj9mfbtolvj7xuc, e2olfsduxvaqsx6rdbaasa356, 48vc423tkz4mx7oql1ahqneac, 8pl795qg2d886vtq8trzsucfe, 925j70waph5n48rvazrjj1pg4, 3wkej06590b61lyqm7vt1kwes, 6d45ccicyo6dregi9cm4ad4kq, a0gywu5pjrutvzfegy2d09ap6, 79606fy6lyfs1h12645q4shzo, 880or6l86xi5mg7dcqej6psyx, 2ig362xub2syd45v3usgymbkk, exw2lg16008mkwpai32hpzims, 5hmr60nznp77430imjbzhwmc4, 7245yhxv8xqbp82wemsmkdu6s, 58mom000tx2bmmibqfls18mqc, 2u45bvw1b0bcptquttgksgzys, 1f8iyrz3dgfafr9rwjs80h2c4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541974769,1,34,16,0,0,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-04-30T21:36:51.020Z,2023-04-30T23:10:25Z,4241622575,59,"36, 40, 45, 57, 39, 72, 80, 92, 17, 77, 88, 37, 38, 42, 46, 70, 96",4241622577,130,21,4241682149,194,6sn6a1xpp6tyqac8a21ka1fxl,4241622579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4241622581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241622571,30,"c2tmm1kt6qyna4650kfy4bpm2, 33l8nq6xbj3pm1lkxo2qs5vfu, a89drfd4adts1cbtqa77l1boq, 6sn6a1xpp6tyqac8a21ka1fxl, dv0qqd4mx117y4al165nsdic4, 3xd2kq7cxmvdbqsfzgi644c4q, 5nykil6w1bxfevpp2c5rr32fo, bxnegxnynd1glae8g0vfigfvu, 1l275l4mj1o6y4ntho7bap016, b2er4t1ttbuv1acwx6jaugb56, 4v2oh5flirf9wtc1u9u42apnu, 5x0b9g9r6sasydzefwyqz9isq, 2jo0y5ayg0vsmddpl01639isq, 3f5g2kijev81v9nzwsyxwiiju, 472t8s7bbxzyi4uoue9niq7f8, 7t8o8pe93me2pef74vw21nr6y, 4wr32d93f1q1v8qjq2ywmnbze",4241688087,197,19157,4241622573,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986875,2,32,1,0,0,cbip96wzs3jc2xadoluhhxotl,1,0,0,2023-04-30T22:05:58.609Z,2023-05-02T17:50:58Z,4241690123,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986855,2,32,1,0,0,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-04-30T22:05:58.609Z,2023-04-30T22:05:58Z,4241690055,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986925,3,1,1,0,1,5ou8b446l1sl8frblkz3xi17g,1,50.4,49.9,2023-04-30T22:05:59.709Z,2023-04-30T22:25:14Z,4241690379,279,S,4241690377,213,3.1,4241690373,141,51.0,4241690371,140,21.6,4241690369,56,Back,4241690375,212,30.2,,,,,,,b2er4t1ttbuv1acwx6jaugb56,S. Miscic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986937,4,1,1,0,4,5ou8b446l1sl8frblkz3xi17g,0,22.7,43.1,2023-04-30T22:06:03.333Z,2023-05-02T17:59:13Z,4241690429,213,6.2,4241690427,212,61.0,4241690425,141,33.7,4241690419,157,,4241690431,1,,4241690423,140,80.5,4241690421,56,Center,,,,dv0qqd4mx117y4al165nsdic4,T. Clegg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986973,3,1,1,0,8,cbip96wzs3jc2xadoluhhxotl,1,20.6,70.1,2023-04-30T22:06:07.252Z,2023-04-30T22:18:52Z,4241690569,141,84.1,4241690571,212,18.8,4241690567,140,36.0,4241690573,213,0.5,4241690565,56,Back,4241690563,3,,,,,,,,8pl795qg2d886vtq8trzsucfe,K. Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987013,4,1,1,0,10,cbip96wzs3jc2xadoluhhxotl,1,36,84.1,2023-04-30T22:06:09.082Z,2023-05-02T17:59:24Z,4241690739,213,4.0,4241690733,140,29.1,4241690737,212,10.7,4241690731,56,Back,4241690729,3,,4241690735,141,72.5,,,,,,,a0gywu5pjrutvzfegy2d09ap6,D. Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987019,5,49,1,0,11,cbip96wzs3jc2xadoluhhxotl,1,29.1,72.5,2023-04-30T22:06:09.993Z,2023-05-02T17:59:27Z,,,,,,,,,,,,,,,,,,,,,,,,,e2olfsduxvaqsx6rdbaasa356,M. Nyeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541987039,6,1,1,0,12,cbip96wzs3jc2xadoluhhxotl,1,29.1,72.5,2023-04-30T22:06:11.377Z,2023-05-02T17:59:30Z,4241690887,213,1.6,4241690883,141,93.7,4241690879,56,Back,4241690881,140,28.5,4241690885,212,14.4,,,,,,,,,,e2olfsduxvaqsx6rdbaasa356,M. Nyeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
