id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2538446833,1,34,16,0,0,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-23T21:58:15.284Z,2023-04-23T23:42:56Z,4216047491,197,15001,4216047489,194,5q5ti9wmab56mk2995qk01ixg,4215885045,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4215885041,59,"99, 77, 32, 66, 6, 36, 47, 30, 63, 43, 12, 45, 56, 57, 58, 76, 88",4215885043,130,7,4215885047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4215885039,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4215885037,30,"as5066ocmlp4tub6d3tnabi1g, 4kng7wg83mastngy9hw7j6v6y, 3oqz86s2ngipsrb1jbb36buqy, aymd7oegdw0wsqbvfl7xrl0r8, 3tb7ycl6z32sevjo8rxa590, a0r2fx204amflk1vjf5evgx2i, 55y26r9mz105vrqmnq739l62, 5q5ti9wmab56mk2995qk01ixg, a94nvjy32rpga29qp7k407bis, 1yl2e0y3cglm1nwto5uzs3e5m, 2ug51dfg4oerpnbudnkw497je, 4poexep0xjtt6vwpbyo7svkoa, ao6gh4p2j4gazemcuu36o5tsk, el796cr8ka1ovy7agjlxhdzo, 87nhafgkozygrd5f06ore0xzo, infc7r3a8oktbajwp4pff7dg, 19igj31auu88fhwdpfz8c1coa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538447069,1,34,16,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-04-23T21:58:44.892Z,2023-04-23T23:22:42Z,4215886413,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4215886419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4215886417,130,12,4215886421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4216069805,197,18771,4216073241,194,cy9icu1umyyf9w4cngoqc74es,4215886411,30,"efek04gkkjjwr6vo2mi008dm, dz7v9xfcwdvjioeyv4z54neqy, eur2vbdzfmcxyfathakjghyqc, 3g0rdzkjns986gn34vg3umiqy, cy9icu1umyyf9w4cngoqc74es, b7ph7dek8orcs55sx2jim25m, c4va4gt5g10zm05qtucgyt889, 5w8wyn94ovw846d5gk29u76x, 3ai567bs32hpam9s7nmeiu044, 3msaz0qe2elahrrd78nzw2ihg, 1x89wne2srx1dupb7vt5gf3ai, dtb9aa7wp7e73bm367myma1n9, 58b0j5f9h93p4zz63xha4551x, 6z58yyouaevipxrmrmorcz0no, 374euncv00zs2oy6ux1u519be, 8zokda286fc61hi2znyufz6ga, 6prn3rxp49rsfl8mxq2tqzf9w, bxbh5i1uqhe22e2cft5x6fl2i, f3xbdt2opb6n1y13cqvug6zft, 8pli7fk5kjmt0f9pl6sjsltuy",4215886415,59,"67, 17, 19, 5, 21, 3, 12, 6, 10, 9, 28, 1, 7, 8, 13, 18, 20, 23, 29, 35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538478083,2,32,1,0,0,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-23T23:05:41.079Z,2023-04-29T05:16:12Z,4216053991,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538478097,2,32,1,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-04-23T23:05:41.079Z,2023-04-23T23:05:42Z,4216054053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538478113,3,1,1,0,0,c7c4wwva2u1vb3rr7rwava044,1,49.8,49.9,2023-04-23T23:05:41.179Z,2023-04-23T23:05:45Z,4216054143,140,29.3,4216054149,213,3.3,4216054147,212,22.0,4216054151,279,S,4216054141,56,Back,4216054145,141,43.3,,,,,,,a94nvjy32rpga29qp7k407bis,L. D’Agostini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538478131,4,1,1,0,3,c7c4wwva2u1vb3rr7rwava044,1,30.1,47.9,2023-04-23T23:05:44.982Z,2023-04-23T23:05:47Z,4216054249,212,27.3,4216054251,213,1.6,4216054239,56,Back,4216054241,140,28.4,4216054245,141,88.0,,,,,,,,,,aymd7oegdw0wsqbvfl7xrl0r8,J. Convers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538478151,5,1,1,0,6,c7c4wwva2u1vb3rr7rwava044,1,33.5,87.8,2023-04-23T23:05:47.830Z,2023-04-23T23:05:50Z,4216054353,141,71.4,4216054357,213,3.6,4216054351,140,14.1,4216054355,212,23.2,4216054349,56,Back,,,,,,,,,,3oqz86s2ngipsrb1jbb36buqy,N. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538478187,6,1,1,0,8,c7c4wwva2u1vb3rr7rwava044,1,11.4,68.5,2023-04-23T23:05:50.071Z,2023-04-23T23:05:53Z,4216054525,141,34.8,4216054521,56,Back,4216054529,213,4.6,4216054527,212,23.2,4216054523,140,7.9,,,,,,,,,,a0r2fx204amflk1vjf5evgx2i,A. Caputo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538478227,7,1,1,0,12,c7c4wwva2u1vb3rr7rwava044,1,11.9,17,2023-04-23T23:05:53.607Z,2023-04-23T23:05:59Z,4216054721,212,9.9,4216054717,140,15.9,4216054719,141,3.8,4216054715,56,Back,4216054723,213,5.2,,,,,,,,,,3tb7ycl6z32sevjo8rxa590,A. Mabika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538478231,8,61,1,0,15,c7c4wwva2u1vb3rr7rwava044,0,15.6,1.3,2023-04-23T23:05:56.703Z,2023-04-23T23:11:22Z,4216054731,56,Back,,,,,,,,,,,,,,,,,,,,,,4kng7wg83mastngy9hw7j6v6y,N. Sessock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
