id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/13/value
2538484683,1,34,16,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-23T23:18:27.605Z,2023-04-24T00:00:06Z,4216189133,194,6pqyqf9v6g60ci7jjggalqsq1,4216088785,59,"12, 22, 2, 24, 4, 5, 18, 21, 28, 10, 7, 1, 9, 11, 14, 15, 19, 25, 26",4216088781,30,"a3k4grlhkn63p3xfb2rzslkdm, 6pqyqf9v6g60ci7jjggalqsq1, 8ly83pm2mbtz4u7jwsv0o96qy, 6jsu34146kbtoeco3ue1a7ok4, 5h73r4bv42whxsvnlq89b89re, d0riqrsz7ojwb9m94rbvx7r6y, ov91zkisppven9tp72gfbjf8, e6gr1t1rp2x7waywgzlrj8yqx, 42wy8249nwozwzl13jqewtn56, 3sm6srzig957fdn96ta68nmne, elvrjpt1jlko4henaqvfid7o4, 9ddxuhle7n4xyozin0wrhatih, 4521gkm1oemvrfsgksz7b6zxm, 2j9i9ersvndkywcgqx9pzc9ka, 22lsn0v0bw7fd9cu6mft0j1ii, 7nxqbiq6fics5w3qnwhz249as, 3cbmr8hg3kszw5wl04p3ol27e, 9yldym4386a2icfk6qb6i90r8, 457wpw6s1esrs616paqzo355",4216088783,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4216088787,130,4,4216088789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4216088791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4216189135,197,18756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538486605,1,34,16,0,0,8ijkk62897so5r3bq0wgwx4bu,1,0,0,2023-04-23T23:21:58.789Z,2023-04-24T00:00:09Z,4216098907,30,"2mmciwk6gllcf11plcch710yc, 2vq2t4ttpcwey95jzofd60qy2, 1tln4ic02q7gakyi104b0o9ka, 91kiw0xa00btt5v54ywplywkq, e7q60ne93c6289xwnt9zj65wq, e23yyl43xtcve09dx234uuj8, 5iy3sz4b3mokizd2qlcskl5d6, 37zynr7fwzqg4c9w5ydefywyy, 1kl9112b8rcbr3k1s5hs353x0, okf3cwwp4y2zzqt67yfa5mac, amcmxrycu0kldox7qdohow2ui, al111zqt4j4b3yg8064d9cep6, 561nh7xvxljfxm1z0n8wsik4q, ei9pb5zfqe7ujhtxk8xeqwutw, 66zmbqbya1p4k1uh2qd171pii, 65aavg4ibp2tyjlyd0o7c7d3o, evup6vvfz5q201s8hg6bhxck, dforwtga5cjqwclmcle9jcjro, 4x2cg9w7dpg8axic4gehs66fo",4216098909,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4216098915,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4216098911,59,"41, 47, 66, 43, 28, 51, 56, 45, 73, 53, 38, 48, 52, 54, 65, 79, 81, 82, 83",4216098917,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4216098913,130,8,4216183327,194,91kiw0xa00btt5v54ywplywkq,4216189213,197,3364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505139,2,32,1,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-24T00:05:35.117Z,2023-04-24T00:05:34Z,4216197631,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505163,2,32,1,0,0,8ijkk62897so5r3bq0wgwx4bu,1,0,0,2023-04-24T00:05:35.117Z,2023-04-28T15:44:39Z,4216197765,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505193,3,1,1,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,50.1,50,2023-04-24T00:05:35.217Z,2023-04-24T00:05:41Z,4216197967,279,S,4216197963,212,27.3,4216197957,56,Back,4216197959,140,24.2,4216197965,213,3.2,4216197961,141,46.7,,,,,,,6jsu34146kbtoeco3ue1a7ok4,J. Walti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505205,4,1,1,0,7,d0c07im4a6oj8qa7f1zlt3pqs,0,24.2,46.7,2023-04-24T00:05:42.351Z,2023-04-24T00:56:25Z,4216198005,155,,4216198011,141,51.5,4216198015,213,0.1,4216198013,212,52.4,4216198007,56,Center,4216198009,140,74.0,4216198017,1,,,,,a3k4grlhkn63p3xfb2rzslkdm,D. Las,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505221,3,1,1,0,7,8ijkk62897so5r3bq0wgwx4bu,0,22.7,52.2,2023-04-24T00:05:42.487Z,2023-04-24T00:05:44Z,4216198101,140,44.0,4216198099,56,Back,4216198097,3,,4216198105,212,23.5,4216198103,141,63.0,4216198107,213,0.3,,,,,,,e23yyl43xtcve09dx234uuj8,A. Essengue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505253,5,1,1,0,12,d0c07im4a6oj8qa7f1zlt3pqs,1,63.5,44.9,2023-04-24T00:05:47.344Z,2023-04-28T15:54:25Z,4216198281,212,18.9,4216198275,56,Center,4216198277,140,71.3,4216198279,141,69.9,4216198283,213,1.1,,,,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505255,6,61,1,0,13,d0c07im4a6oj8qa7f1zlt3pqs,0,71.3,70,2023-04-24T00:05:48.186Z,2023-04-24T00:17:24Z,4216198289,56,Center,,,,,,,,,,,,,,,,,,,,,,e6gr1t1rp2x7waywgzlrj8yqx,V. Noël,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505261,4,49,1,0,14,8ijkk62897so5r3bq0wgwx4bu,1,17.8,32.7,2023-04-24T00:05:49.164Z,2023-04-24T00:05:49Z,,,,,,,,,,,,,,,,,,,,,,,,,2vq2t4ttpcwey95jzofd60qy2,C. Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
