id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value
2527775965,1,34,16,0,0,1zgjjyruyufrkh4xjvryqsb1i,1,0,0,2023-04-02T18:11:24.244Z,2023-04-02T19:03:10Z,4159124587,59,"76, 39, 80, 21, 34, 35, 98, 38, 23, 32, 14, 22, 24, 36, 40, 45, 49, 52, 75, 78",4159124589,130,2,4159261821,194,5kxl3fn1tkzy8n831aql93a0a,4159124591,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159261823,197,5238,4159124593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159124585,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159124583,30,"2y9o7d8tm1f8fnp6jewxzifis, 2qz3ojbfedl8psp1tvq0183ro, 9gpx3gj4k8qm64k1uc7rqg4tm, 8bfew6mf9m26cj07fq32uf2wa, 5kxl3fn1tkzy8n831aql93a0a, anht193qhditit6wpsexoep2i, 1o7iht0ow216jvo5qm64akup6, cykl5dz1d2v4qc2pit2med27e, 8lrn7x6cmdlbetphm91ubctbe, 7nd2w9ipveb6nfo413i8focus, b8dezhr1wmfql8bw3b0pu1bhm, 1rknkp6cfxg6powoea2tttoiy, 793bjb2bgku4cw2iu6k1fxcve, 3jpuce48mnz925asuabl607ze, 6gc5fjscwrh82z9bw6goiq3h0, 6mgul28a1fak52rgswlok249g, 6tzlquo1jkhqmp996ow79kjro, do5q14naxm61jw8px8qvacn4k, fmy8zs6ika1w5iiyhjakv42y, 449s1x41rdne73vkt957jooru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527776763,1,34,16,0,0,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-02T18:12:48.837Z,2023-04-02T19:10:53Z,4159129037,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4159254459,197,14999,4159129035,130,8,4159129033,59,"29, 62, 77, 41, 58, 55, 45, 66, 63, 28, 47, 36, 43, 52, 53, 68, 99",4159129031,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4159129029,30,"7x098qxoirgwlu38q1v969s6h, 40za2m92ngp5og8pxyrkxl3is, 4kng7wg83mastngy9hw7j6v6y, 6rf06scmlaprgplvvw0oyb9ck, 87nhafgkozygrd5f06ore0xzo, c1fvknrf94i05q738d5r7vmdw, 4poexep0xjtt6vwpbyo7svkoa, aymd7oegdw0wsqbvfl7xrl0r8, a94nvjy32rpga29qp7k407bis, 65jctzcct9irz3wre08c2v2wa, 55y26r9mz105vrqmnq739l62, a0r2fx204amflk1vjf5evgx2i, 1yl2e0y3cglm1nwto5uzs3e5m, 4d6iazstl4wdic7lqawat2adw, 8d8zepjgvkkhvs981i3oc08b8, 8ffa73zkh1i0ce1cqu0sqxous, as5066ocmlp4tub6d3tnabi1g",4159257535,194,87nhafgkozygrd5f06ore0xzo,4159129039,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802403,2,32,1,0,0,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-02T19:05:14.946Z,2023-04-02T19:05:15Z,4159267981,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802421,2,32,1,0,0,1zgjjyruyufrkh4xjvryqsb1i,1,0,0,2023-04-02T19:05:14.946Z,2023-04-02T19:05:18Z,4159268045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802469,3,1,1,0,0,c7c4wwva2u1vb3rr7rwava044,1,50.1,50,2023-04-02T19:05:15.046Z,2023-04-02T19:05:19Z,4159268279,212,12.6,4159268275,140,38.3,4159268273,56,Back,4159268281,213,3.0,4159268283,279,S,4159268277,141,53.3,,,,,,,a94nvjy32rpga29qp7k407bis,L. D’Agostini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802471,4,1,1,0,2,c7c4wwva2u1vb3rr7rwava044,1,37.4,57.6,2023-04-02T19:05:17.765Z,2023-04-02T19:05:19Z,4159268293,141,94.7,4159268295,212,26.3,4159268297,213,1.9,4159268291,140,30.2,4159268289,56,Back,,,,,,,,,,65jctzcct9irz3wre08c2v2wa,E. Azcona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802507,5,1,1,0,4,c7c4wwva2u1vb3rr7rwava044,1,30.2,94.7,2023-04-02T19:05:19.813Z,2023-04-02T19:05:23Z,4159268493,141,75.0,4159268495,212,16.8,4159268497,213,4.1,4159268491,140,20.5,4159268489,56,Back,,,,,,,,,,4kng7wg83mastngy9hw7j6v6y,N. Sessock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802521,6,1,1,0,8,c7c4wwva2u1vb3rr7rwava044,1,14.4,73.6,2023-04-02T19:05:23.236Z,2023-04-02T19:05:26Z,4159268567,212,18.9,4159268569,213,4.0,4159268565,141,51.8,4159268563,140,3.3,4159268561,56,Back,,,,,,,,,,87nhafgkozygrd5f06ore0xzo,F. Sar-Sar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802545,7,1,1,0,10,c7c4wwva2u1vb3rr7rwava044,1,3.8,51.6,2023-04-02T19:05:25.669Z,2023-04-02T19:05:27Z,4159268727,212,15.5,4159268725,141,29.2,4159268723,140,6.7,4159268721,56,Back,4159268729,213,4.9,,,,,,,,,,7x098qxoirgwlu38q1v969s6h,C. dos Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802585,8,1,1,0,12,c7c4wwva2u1vb3rr7rwava044,0,7.5,25.6,2023-04-02T19:05:27.862Z,2023-04-02T19:05:31Z,4159268937,155,,4159268947,213,5.9,4159268943,141,9.5,4159268945,212,28.4,4159268939,56,Back,4159268941,140,32.5,,,,,,,c1fvknrf94i05q738d5r7vmdw,T. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802579,3,44,1,0,14,1zgjjyruyufrkh4xjvryqsb1i,1,61.6,90.2,2023-04-02T19:05:29.698Z,2023-04-02T19:05:31Z,4159268965,233,9,4159268903,56,Left,4159268905,286,,,,,,,,,,,,,,,,,9gpx3gj4k8qm64k1uc7rqg4tm,J. Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802589,9,44,1,0,14,c7c4wwva2u1vb3rr7rwava044,0,38.4,9.8,2023-04-02T19:05:29.699Z,2023-04-02T19:05:32Z,4159268951,56,Back,4159268953,285,,4159268969,233,3,,,,,,,,,,,,,,,,4poexep0xjtt6vwpbyo7svkoa,L. Meek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802581,4,1,1,0,14,1zgjjyruyufrkh4xjvryqsb1i,0,55.7,89.9,2023-04-02T19:05:29.847Z,2023-04-02T19:05:31Z,4159268921,212,10.9,4159268919,141,88.3,4159268923,213,6.2,4159268915,56,Left,4159268913,3,,4159268917,140,66.0,,,,,,,9gpx3gj4k8qm64k1uc7rqg4tm,J. Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802639,10,1,1,0,18,c7c4wwva2u1vb3rr7rwava044,0,25.2,10,2023-04-02T19:05:33.381Z,2023-04-02T19:53:28Z,4159269219,140,38.4,4159269231,213,5.8,4159269223,141,0.0,4159269213,56,Back,4159269211,3,,4159269227,212,16.0,,,,,,,40za2m92ngp5og8pxyrkxl3is,I. Boatwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802685,5,5,1,0,18,1zgjjyruyufrkh4xjvryqsb1i,1,59.4,101.9,2023-04-02T19:05:33.490Z,2023-04-02T19:05:41Z,4159269485,347,,4159269483,56,Left,4159269489,233,11,,,,,,,,,,,,,,,,9gpx3gj4k8qm64k1uc7rqg4tm,J. Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802643,11,5,1,0,18,c7c4wwva2u1vb3rr7rwava044,0,40.6,-1.9,2023-04-02T19:05:33.490Z,2023-04-02T20:30:18Z,4159269239,347,,4159269237,56,Back,4159269509,233,5,,,,,,,,,,,,,,,,40za2m92ngp5og8pxyrkxl3is,I. Boatwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802717,6,1,1,0,25,1zgjjyruyufrkh4xjvryqsb1i,0,53.6,100,2023-04-02T19:05:40.935Z,2023-04-02T19:05:43Z,4159269689,212,24.0,4159269691,213,6.0,4159269693,1,,4159269681,107,,4159269687,141,93.3,4159269685,140,75.8,4159269683,56,Left,,,,9gpx3gj4k8qm64k1uc7rqg4tm,J. Castillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802719,12,8,1,0,28,c7c4wwva2u1vb3rr7rwava044,1,23.2,8.9,2023-04-02T19:05:43.701Z,2023-04-02T19:05:43Z,4159269699,56,Back,,,,,,,,,,,,,,,,,,,,,,c1fvknrf94i05q738d5r7vmdw,T. Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527802783,7,3,1,0,32,1zgjjyruyufrkh4xjvryqsb1i,1,73.6,89.1,2023-04-02T19:05:47.240Z,2023-04-02T19:05:50Z,4159270003,56,Left,4159270005,286,,4159270011,233,13,,,,,,,,,,,,,,,,8lrn7x6cmdlbetphm91ubctbe,N. Pierre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
