id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/16/value
2531350799,1,34,16,0,0,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-04-09T20:42:37.600Z,2023-04-10T12:24:01Z,4178280763,194,eqws52w506rp4a2x9mqwm76ga,4178116391,30,"c2j0af3amobjhnadwf8cucbca, 6g7i7z6m8vts105dny1g6z3hm, 2v114vco5wn9oieg2hrev1n56, 27ajd5d69mrgie5c9x5izn4oa, cqlc423f6bid2uy3togwkvlgq, ex99a6zbacpkkhgvynu80qpzo, i5wj5hcg2r9934e7gauxtgmi, p99ze5cksh5tv01knf5oj33e, 25rizu4n91uyax4z6l5jv6dqs, 2b8nmdlsqa9wxn8xlujvyaqga, eqws52w506rp4a2x9mqwm76ga, 7tpb4dk9meee0utyu4cosnxn8, aa4v8xfn3ra4digk5h7gdrbze, xcadelq7wz6yspew25xyg2dw, 5bgt61vb5lnzyoczqnr202lpm, ebik6jxp20k3m9u3hj1c1j5zo, d0neh5vcdezvb0ful49zguiok, 2wsgrwgiotfis2l96i0sxlvys, 30me1zjey2l8lywfm3k5rkhsk, 37uh4n2zngcixlzo8vnk50vtg",4178116401,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178116395,59,"50, 30, 46, 65, 28, 54, 53, 64, 95, 27, 58, 14, 32, 47, 51, 57, 59, 61, 70, 96",4178116393,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4178116397,130,23,4178280765,197,3378,4178116399,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531350821,1,34,16,0,0,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-09T20:42:40.522Z,2023-04-09T22:29:02Z,4178280885,197,14999,4178116533,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178116525,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4178116523,30,"7x098qxoirgwlu38q1v969s6h, 40za2m92ngp5og8pxyrkxl3is, 4kng7wg83mastngy9hw7j6v6y, 6rf06scmlaprgplvvw0oyb9ck, c1fvknrf94i05q738d5r7vmdw, 87nhafgkozygrd5f06ore0xzo, 4poexep0xjtt6vwpbyo7svkoa, aymd7oegdw0wsqbvfl7xrl0r8, 2ug51dfg4oerpnbudnkw497je, 5q5ti9wmab56mk2995qk01ixg, 65jctzcct9irz3wre08c2v2wa, a0r2fx204amflk1vjf5evgx2i, 1yl2e0y3cglm1nwto5uzs3e5m, 55y26r9mz105vrqmnq739l62, 8d8zepjgvkkhvs981i3oc08b8, el796cr8ka1ovy7agjlxhdzo, a94nvjy32rpga29qp7k407bis, 8ffa73zkh1i0ce1cqu0sqxous, infc7r3a8oktbajwp4pff7dg, as5066ocmlp4tub6d3tnabi1g",4178116527,59,"29, 62, 77, 41, 55, 58, 45, 66, 12, 30, 28, 36, 43, 47, 53, 57, 63, 68, 76, 99",4178280883,194,5q5ti9wmab56mk2995qk01ixg,4178116529,130,8,4178116531,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382639,2,32,1,0,0,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-04-09T22:07:05.885Z,2023-04-10T11:28:48Z,4178287803,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382637,2,32,1,0,0,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-09T22:07:05.885Z,2023-04-09T22:07:07Z,4178287795,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382645,3,1,1,0,1,c7c4wwva2u1vb3rr7rwava044,1,50.1,49.9,2023-04-09T22:07:06.985Z,2023-04-10T11:29:12Z,4178287833,212,15.7,4178287837,279,S,4178287831,141,53.4,4178287827,56,Back,4178287835,213,3.0,4178287829,140,35.3,,,,,,,2ug51dfg4oerpnbudnkw497je,J. LaCava,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382667,4,1,1,0,2,c7c4wwva2u1vb3rr7rwava044,1,33.9,67.1,2023-04-09T22:07:08.150Z,2023-04-10T11:29:01Z,4178287947,212,18.5,4178287943,141,93.7,4178287951,213,1.8,4178287939,56,Back,4178287941,140,30.0,,,,,,,,,,aymd7oegdw0wsqbvfl7xrl0r8,J. Convers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382689,5,1,1,0,3,c7c4wwva2u1vb3rr7rwava044,1,29.4,93.3,2023-04-09T22:07:09.718Z,2023-04-10T11:29:00Z,4178288101,56,Back,4178288105,141,94.7,4178288103,140,47.0,4178288107,212,18.5,4178288109,213,0.1,,,,,,,,,,4kng7wg83mastngy9hw7j6v6y,N. Sessock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382691,6,61,1,0,8,c7c4wwva2u1vb3rr7rwava044,0,40.8,92.7,2023-04-09T22:07:14.055Z,2023-04-10T11:39:49Z,4178288117,56,Back,,,,,,,,,,,,,,,,,,,,,,65jctzcct9irz3wre08c2v2wa,E. Azcona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382685,3,1,1,0,9,479lsfr4cwlzewpbuda3y2xv4,0,62.4,8.1,2023-04-09T22:07:15.056Z,2023-04-10T11:39:56Z,4179586745,212,3.4,4179586741,140,59.2,4179586743,141,7.3,4179586747,213,3.3,4178288063,56,Right,,,,,,,,,,25rizu4n91uyax4z6l5jv6dqs,F. Loyola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382709,8,61,1,0,9,c7c4wwva2u1vb3rr7rwava044,1,39.3,98.7,2023-04-09T22:07:15.882Z,2023-04-10T11:39:16Z,4178288189,56,Back,,,,,,,,,,,,,,,,,,,,,,65jctzcct9irz3wre08c2v2wa,E. Azcona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531382735,4,5,1,0,11,479lsfr4cwlzewpbuda3y2xv4,1,59,-1.6,2023-04-09T22:07:17.625Z,2023-04-10T11:39:01Z,4178288337,347,,4178337997,233,7,4178288335,56,Right,,,,,,,,,,,,,,,,25rizu4n91uyax4z6l5jv6dqs,F. Loyola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
