id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value
2524997791,1,34,16,0,0,eo64tqkioegeb09iice2hf8bt,1,0,0,2023-03-27T01:25:48.693Z,2023-03-27T02:15:37Z,4125865531,197,3399,4125831523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4125865529,194,efma0zrimza00ykod1yqmatm2,4125831515,30,"6cdhdb44atdm9b3n7swgi002y, 2z2u3vezttpjwfwf2yc6aelg4, 249t35evpr3aasx0uczjs2j9w, 1c8r9cqu11jymw2ir69nvhey1, 8j7qtwahw6x4twl8zjuqtl62, c8r509d61kir54x1d4hkrkydw, bh7fb8v7o5wynmapdhlth594a, efma0zrimza00ykod1yqmatm2, 4oz12ku4mdjsq7y4sgogpwg2y, 6yqcj6z7ok9bkkvy57awg82y1, b74yslq3huyhvwrhrebz0o3ys, a6i4npit5smx1zcpgucou9y0a, bhzjqo4qidpkmh7lqqir9h4ic, 9gktbx1ux7xxmjklqxjr84844, 7o71djg9t9z126paxjz1fdffu, 7fx76p0kpncdx5h7m7oolck5w, c7iepmqewf1dnc7zl36iskdn8, bohmyph90od0u19dwpb1c7xn8, 4y4mypo5jyzbp0dtvm6y7ajxm",4125831521,130,2,4125831517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4125831519,59,"50, 57, 54, 52, 61, 56, 43, 66, 30, 44, 28, 42, 59, 62, 76, 78, 84, 90, 95",4125831525,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524998043,1,34,16,0,0,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-03-27T01:27:17.149Z,2023-03-27T02:25:51Z,4125865393,197,18753,4125833173,59,"36, 80, 35, 72, 39, 40, 92, 43, 49, 70, 56, 37, 38, 42, 45, 46, 47, 60, 77, 96",4125833179,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125833177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125865391,194,6nejufbzmepf2iiqr0ttbu19l,4125833171,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4125833169,30,"c2tmm1kt6qyna4650kfy4bpm2, 5nykil6w1bxfevpp2c5rr32fo, 6nejufbzmepf2iiqr0ttbu19l, 3xd2kq7cxmvdbqsfzgi644c4q, dv0qqd4mx117y4al165nsdic4, 33l8nq6xbj3pm1lkxo2qs5vfu, bxnegxnynd1glae8g0vfigfvu, 2957l6ok9dlauv75og8ds1vkk, c59pt9nvdpxlp6xvs78un16hg, 7t8o8pe93me2pef74vw21nr6y, 760ah5o21looks5f35045nmdw, 5x0b9g9r6sasydzefwyqz9isq, 2jo0y5ayg0vsmddpl01639isq, 3f5g2kijev81v9nzwsyxwiiju, a89drfd4adts1cbtqa77l1boq, 472t8s7bbxzyi4uoue9niq7f8, e4wc8l2ota6xnrqu2wwmei32s, druwx3n136woly4objqgk7tp0, b2er4t1ttbuv1acwx6jaugb56, 4wr32d93f1q1v8qjq2ywmnbze",4125833175,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005385,2,32,1,0,0,eo64tqkioegeb09iice2hf8bt,1,0,0,2023-03-27T02:06:00.917Z,2023-03-30T06:11:36Z,4125868991,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005379,2,32,1,0,0,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-03-27T02:06:00.917Z,2023-03-27T02:06:01Z,4125868981,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005389,3,1,1,0,0,5ou8b446l1sl8frblkz3xi17g,1,49.8,50.1,2023-03-27T02:06:01.017Z,2023-03-27T02:06:06Z,4125869025,212,30.8,4125869019,56,Back,4125869021,140,21.7,4125869029,279,S,4125869023,141,63.2,4125869027,213,2.8,,,,,,,2957l6ok9dlauv75og8ds1vkk,I. Shaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005395,4,1,1,0,4,5ou8b446l1sl8frblkz3xi17g,0,22,63.3,2023-03-27T02:06:05.857Z,2023-03-30T10:14:19Z,4125869065,212,74.8,4125869057,155,,4125869059,56,Right,4125869061,140,83.4,4125869063,141,7.4,4125869069,1,,4125869067,213,5.8,,,,dv0qqd4mx117y4al165nsdic4,T. Clegg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005399,3,4,1,0,11,eo64tqkioegeb09iice2hf8bt,1,27.5,89.8,2023-03-27T02:06:12.391Z,2023-03-30T10:14:31Z,4125869079,56,Back,4125869077,13,,4149134985,294,,4125869085,285,,4125869135,233,5,4125869081,152,,,,,,,,249t35evpr3aasx0uczjs2j9w,M. Gherasimencov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005407,5,4,1,0,11,5ou8b446l1sl8frblkz3xi17g,0,72.5,10.2,2023-03-27T02:06:12.392Z,2023-03-30T10:14:34Z,4125869147,233,3,4125869111,13,,4149135029,294,,4125869119,286,,4125869113,56,Right,4125869115,152,,,,,,,,c59pt9nvdpxlp6xvs78un16hg,R. Zellefrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005415,4,1,1,0,15,eo64tqkioegeb09iice2hf8bt,1,20.1,95.5,2023-03-27T02:06:16.550Z,2023-03-27T02:06:18Z,4125869195,212,15.6,4125869189,56,Back,4125869187,152,,4125869191,140,14.2,4125869185,5,,4125869193,141,74.5,4125869197,213,4.3,,,,249t35evpr3aasx0uczjs2j9w,M. Gherasimencov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005419,5,1,1,0,17,eo64tqkioegeb09iice2hf8bt,1,14.4,75.2,2023-03-27T02:06:18.791Z,2023-03-27T02:51:37Z,4125869223,141,58.3,4125869227,213,5.3,4125869221,140,21.6,4125869225,212,13.8,4125869219,56,Back,,,,,,,,,,c8r509d61kir54x1d4hkrkydw,L. Dasovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005421,6,1,1,0,20,eo64tqkioegeb09iice2hf8bt,1,27.4,48,2023-03-27T02:06:21.606Z,2023-03-27T02:51:41Z,4125869235,141,5.3,4125869233,140,38.7,4125869239,213,5.1,4125869237,212,31.4,4125869231,56,Back,,,,,,,,,,1c8r9cqu11jymw2ir69nvhey1,V. Fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005423,7,3,1,0,22,eo64tqkioegeb09iice2hf8bt,1,39.1,11.8,2023-03-27T02:06:23.527Z,2023-04-01T09:27:12Z,4151460465,233,808,4125869247,286,,4149017807,464,,4125869245,56,Back,,,,,,,,,,,,,2z2u3vezttpjwfwf2yc6aelg4,T. Bah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525861261,808,45,1,0,22,5ou8b446l1sl8frblkz3xi17g,0,60.9,88.2,2023-03-27T02:06:23.527Z,2023-04-01T09:27:13Z,4151460469,233,7,4149017787,56,Left,4149017789,285,,,,,,,,,,,,,,,,,2957l6ok9dlauv75og8ds1vkk,I. Shaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525005425,6,43,1,0,24,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-03-27T02:06:25.864Z,2023-03-30T06:41:48Z,4125869255,56,Left,4125869257,285,0,4149017729,144,7,4125873751,233,7,,,,,,,,,,,,,bxnegxnynd1glae8g0vfigfvu,N. Caliskan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
