id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/8/value,qualifier/10/value,qualifier/9/value,qualifier/14/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist
2527908447,1,34,16,0,0,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-04-02T22:53:12.336Z,2023-04-03T00:08:45Z,4159941465,197,18753,4159845517,130,11,4159845513,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4159845515,59,"36, 80, 45, 72, 39, 40, 77, 57, 70, 92, 35, 24, 28, 37, 38, 42, 46, 96",4159941463,194,6nejufbzmepf2iiqr0ttbu19l,4159845521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159845519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4159845511,30,"c2tmm1kt6qyna4650kfy4bpm2, 5nykil6w1bxfevpp2c5rr32fo, a89drfd4adts1cbtqa77l1boq, 3xd2kq7cxmvdbqsfzgi644c4q, dv0qqd4mx117y4al165nsdic4, 33l8nq6xbj3pm1lkxo2qs5vfu, b2er4t1ttbuv1acwx6jaugb56, 6sn6a1xpp6tyqac8a21ka1fxl, 7t8o8pe93me2pef74vw21nr6y, bxnegxnynd1glae8g0vfigfvu, 6nejufbzmepf2iiqr0ttbu19l, b3lwrjpn01y0z8py3o3sp3tre, 2fckiuro6y0tpq9p42vepkgdl, 5x0b9g9r6sasydzefwyqz9isq, 2jo0y5ayg0vsmddpl01639isq, 3f5g2kijev81v9nzwsyxwiiju, 472t8s7bbxzyi4uoue9niq7f8, 4wr32d93f1q1v8qjq2ywmnbze",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527908857,1,34,16,0,0,ew2zirzye0sw1txr2m33nr25y,1,0,0,2023-04-02T22:55:58.865Z,2023-04-03T00:19:33Z,4159941469,194,1t9thoa7j9ftzkriq2g50w4fe,4159847627,130,4,4159847623,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4159847631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159941471,197,15999,4159847629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4159847621,30,"tovg87rxcrz5i06ubaq99nxm, bl9rj1qcik8467w0w5i27hkru, 59kky4fyi0w9bdz4ow3gs95yi, dpedfgxin5nc4qmziaokpmiy2, dvre51zzdkdr43uahtwerekiy, 79z5vt08ga8prn33vi2a260kq, 1t9thoa7j9ftzkriq2g50w4fe, 1bmbt6h6bsiimpzxt07cqwfvu, 641y4ji285n1knqul0flhzsyy, 32t6g252ti1peycjite40qiy2, au9595t3oo0zbzexhr01ts0h6, 87prewdlff4dbnvj5suxwexp0, dqa88ma3jbk33lsyzo45uy2cq, 7jj0f7zw16u7eu7yvk5exm3v8, dff9imrullmkpil44rv379hxw, 49ag6csupgt40gbs2snq1xs7o, 828t4m5d66xcy7hvq55jbto2c, a7l9tu0j7sibivo0982fepm38",4159847625,59,"51, 52, 17, 19, 24, 77, 64, 60, 53, 70, 20, 65, 66, 73, 74, 75, 76, 78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527925163,2,32,1,0,0,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-04-03T00:05:11.788Z,2023-04-03T00:05:12Z,4159945623,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527925165,2,32,1,0,0,ew2zirzye0sw1txr2m33nr25y,1,0,0,2023-04-03T00:05:11.788Z,2023-04-03T00:05:13Z,4159945625,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527925183,3,1,1,0,0,5ou8b446l1sl8frblkz3xi17g,1,50.1,49.9,2023-04-03T00:05:11.888Z,2023-04-03T00:05:16Z,4159945723,140,23.8,4159945727,212,27.6,4159945731,279,S,4159945721,56,Back,4159945729,213,3.1,4159945725,141,49.7,,,,,,,33l8nq6xbj3pm1lkxo2qs5vfu,K. Ferdinand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527925197,4,1,1,0,4,5ou8b446l1sl8frblkz3xi17g,0,24.7,45.1,2023-04-03T00:05:16.033Z,2023-04-03T00:05:20Z,4159945797,56,Right,4159945805,213,5.9,4159945801,141,6.5,4159945799,140,80.3,4159945807,1,,4159945803,212,64.0,4159945795,155,,,,,6nejufbzmepf2iiqr0ttbu19l,T. Weber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527925205,3,44,1,0,7,ew2zirzye0sw1txr2m33nr25y,1,23.2,88.1,2023-04-03T00:05:19.520Z,2023-04-03T00:55:07Z,4159945835,285,,4159945853,233,5,4159945833,56,Back,,,,,,,,,,,,,,,,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527925199,5,44,1,0,7,5ou8b446l1sl8frblkz3xi17g,0,76.8,11.9,2023-04-03T00:05:19.521Z,2023-04-03T00:05:22Z,4159945885,233,3,4159945813,286,,4159945811,56,Right,,,,,,,,,,,,,,,,5nykil6w1bxfevpp2c5rr32fo,J. Jones-Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527925217,4,1,1,0,9,ew2zirzye0sw1txr2m33nr25y,0,26.6,82.7,2023-04-03T00:05:21.538Z,2023-04-03T00:55:10Z,4159945905,140,33.0,4159945909,212,6.9,4159945907,141,85.3,4159945901,3,,4159945903,56,Back,4159945911,213,0.3,,,,,,,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527925231,6,1,1,0,10,5ou8b446l1sl8frblkz3xi17g,1,63.2,13,2023-04-03T00:05:22.545Z,2023-04-03T00:05:25Z,4159945965,140,52.8,4159945969,212,11.9,4159945971,213,3.5,4159945967,141,6.1,4159945963,56,Right,,,,,,,,,,3xd2kq7cxmvdbqsfzgi644c4q,J. Bravo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
