id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,assist,qualifier/17/value
2540369235,1,34,16,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,0,0,2023-04-28T22:30:18.833Z,2023-04-29T04:47:38Z,4233134225,59,"99, 54, 46, 43, 37, 44, 70, 32, 29, 65, 42, 22, 30, 34, 36, 40, 67, 89",4233134231,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233134223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4233535967,194,4tengy9p53kcukevpi8s54wh6,4233134227,130,8,4233422055,197,15045,4233134221,30,"4tengy9p53kcukevpi8s54wh6, e6421uwkpqgrisajhpz6peuei, 6ezxm4g8dffkwm6og9u0tvh90, a4staqjshva5lhcr0dw744nze, 1795jw1oc3pkthyq0kqexh65m, e6ak5mywni8n46ntxsofiabdg, 8pg5wiwxujx3hnir5wie9xgfe, 69h930ebovyl7rut5dz4r2iok, 45b72f8szmqnv8tz06j7mj1wq, 8hftsf1ff8839jdbe3e6lmm1g, doagfuj1uzz4b9q7j7ptznp5g, 2tgt5sjb27wy99ijttspj6r6c, dgg9cpgyinyhfzqmo5jou89yi, 81z7n0qyr2tlkidxphoxqzkve, cgix7qnp4e1ucijtkh4prwkx5, 2gaiddey51kawxp9atdskxzis, iu61re9bbusv2w7fu7w6505w, 4ffuwlda1w22muyvfobp5nrx0",4233134229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540370449,1,34,16,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-28T22:33:48.768Z,2023-04-29T02:26:21Z,4233140879,130,22,4233140883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233192625,194,6pqyqf9v6g60ci7jjggalqsq1,4233140881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4233140877,59,"12, 22, 2, 15, 4, 5, 10, 18, 21, 28, 19, 1, 7, 9, 11, 14, 24, 26, 77, 99",4233416191,197,18756,4233140875,44,"1, 2, 2, 3, 2, 2, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4233140873,30,"a3k4grlhkn63p3xfb2rzslkdm, 6pqyqf9v6g60ci7jjggalqsq1, 8ly83pm2mbtz4u7jwsv0o96qy, 7nxqbiq6fics5w3qnwhz249as, 5h73r4bv42whxsvnlq89b89re, d0riqrsz7ojwb9m94rbvx7r6y, 3sm6srzig957fdn96ta68nmne, ov91zkisppven9tp72gfbjf8, e6gr1t1rp2x7waywgzlrj8yqx, 42wy8249nwozwzl13jqewtn56, 3cbmr8hg3kszw5wl04p3ol27e, 9ddxuhle7n4xyozin0wrhatih, elvrjpt1jlko4henaqvfid7o4, 4521gkm1oemvrfsgksz7b6zxm, 2j9i9ersvndkywcgqx9pzc9ka, 22lsn0v0bw7fd9cu6mft0j1ii, 6jsu34146kbtoeco3ue1a7ok4, 457wpw6s1esrs616paqzo355, 1yx6uyxuxgse5bypoqytqjotm, mr8rvq7r4wljhv3rrdasjxuc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540421763,2,43,1,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,0,0,2023-04-29T02:14:26.381Z,2023-04-29T02:14:38Z,4233417853,144,32,4233417675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540421803,3,32,1,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-29T02:14:39.948Z,2023-04-30T11:04:03Z,4233417905,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540421805,3,32,1,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,0,0,2023-04-29T02:14:39.948Z,2023-04-29T02:14:43Z,4233417907,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540421809,4,1,1,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,49.1,49.7,2023-04-29T02:14:40.048Z,2023-04-29T04:38:50Z,4233417931,140,38.5,4233417939,279,S,4233417937,213,3.3,4233417933,141,47.0,4233417929,56,Back,4233417935,212,11.3,,,,,,,45b72f8szmqnv8tz06j7mj1wq,P. Weah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540421811,5,1,1,0,2,1pc6sx2h4rp113ldkbp5d2xas,1,36.6,39.5,2023-04-29T02:14:42.596Z,2023-04-29T02:14:44Z,4233417967,213,1.9,4233417959,56,Back,4233417963,141,47.0,4233417965,212,5.4,4233417961,140,34.8,,,,,,,,,,69h930ebovyl7rut5dz4r2iok,M. Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540421825,6,1,1,0,4,1pc6sx2h4rp113ldkbp5d2xas,1,34.7,46.9,2023-04-29T02:14:44.484Z,2023-04-29T02:14:48Z,4233418039,140,27.4,4233418045,213,4.1,4233418037,56,Back,4233418043,212,14.3,4233418041,141,29.2,,,,,,,,,,a4staqjshva5lhcr0dw744nze,R. O'Driscoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540421843,7,1,1,0,8,1pc6sx2h4rp113ldkbp5d2xas,1,28.2,29.3,2023-04-29T02:14:48.132Z,2023-04-29T02:22:59Z,4233418169,1,,4233418161,140,59.9,4233418163,141,6.1,4233418165,212,36.8,4233418167,213,5.8,4233418159,56,Right,,,,,,,1795jw1oc3pkthyq0kqexh65m,B. Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540432167,402,1,1,0,9,1pc6sx2h4rp113ldkbp5d2xas,1,47,14.6,2023-04-29T02:14:48.948Z,2023-04-29T03:05:31Z,4233467685,56,Right,4233467693,213,5.5,4233467689,141,3.7,4233467687,140,53.8,4233467691,212,10.3,,,,,,,,,,8pg5wiwxujx3hnir5wie9xgfe,Diogo Pacheco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
