id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2534947773,1,34,16,0,0,8o8m08he36u0j4w08aj2iodn8,1,0,0,2023-04-16T22:02:02.584Z,2023-04-17T00:33:07Z,4197368443,197,14913,4197273221,59,"18, 24, 3, 45, 16, 27, 52, 35, 32, 44, 38, 36, 41, 42, 47, 48, 49, 50, 55, 58",4197273225,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197273223,130,4,4197273217,30,"3oca1lvb4fr3l6efbstc8k6ad, 2343y1f4dtezub9633ghspqi2, 4brxad2pilyhwhjgri3u0rmga, afdz1ibldn2vc8gtezyw8tqay, 4fsa5gccqi6eiy0a4jau4swrt, 16ndalf4kfr7e6rd9mwj7gfmc, 4rnong5uhpqn323bqfthsbyay, 64wbk2nsrs0ru0hjcq0lenwgk, 5sphos4tiokzmv1iqqsa1invu, 2f7q5vtc8uxbfd1ofs08to67e, 9u37akzkhdyszhevgrjghq99m, acskv7krqaau05kpgbfz6f0iy, 3dbbjeqx9j2qochtg92f0dgtm, 761qab8klictc5tr3x7014kmi, 83mk9m591utxa1lboute1kvmc, gqwm9a2a8wdrj3uws09yj0tl, 5ehbz7f56cmfamc29fnk3yuax, ate2xv18atyygibcdewjrwd0p, 79knhnp7bvpjomzz14k715wtm, 5fuu627ozaxgv8ibhyxi4zcic",4197538129,194,4fsa5gccqi6eiy0a4jau4swrt,4197273227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197273219,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534949891,1,34,16,0,0,1zgjjyruyufrkh4xjvryqsb1i,1,0,0,2023-04-16T22:07:53.472Z,2023-04-17T00:33:34Z,4197281819,30,"72hamgw1scmumrnzeug0tjfje, 793bjb2bgku4cw2iu6k1fxcve, 9gpx3gj4k8qm64k1uc7rqg4tm, 8bfew6mf9m26cj07fq32uf2wa, 5kxl3fn1tkzy8n831aql93a0a, anht193qhditit6wpsexoep2i, 45v94x6b8g7n4xa3lsfdp6pzo, do5q14naxm61jw8px8qvacn4k, 8lrn7x6cmdlbetphm91ubctbe, 6t625vlq8y9po4hbvz97qx6ok, b8dezhr1wmfql8bw3b0pu1bhm, 1rknkp6cfxg6powoea2tttoiy, 7nd2w9ipveb6nfo413i8focus, 3jpuce48mnz925asuabl607ze, 2qz3ojbfedl8psp1tvq0183ro, 6tzlquo1jkhqmp996ow79kjro, ccecsvksezyg4j2tremi3inhm, 67m3iq9ixt51ts51y4vmp71uc, fmy8zs6ika1w5iiyhjakv42y, 1o7iht0ow216jvo5qm64akup6",4197390607,197,19014,4197281827,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197538915,194,5kxl3fn1tkzy8n831aql93a0a,4197281825,130,2,4197281823,59,"13, 24, 80, 21, 34, 35, 41, 52, 23, 25, 14, 22, 32, 36, 39, 49, 62, 65, 75, 98",4197281829,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197281821,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966315,2,32,1,0,0,1zgjjyruyufrkh4xjvryqsb1i,1,0,0,2023-04-16T23:05:41.855Z,2023-04-16T23:05:42Z,4197370987,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966317,2,32,1,0,0,8o8m08he36u0j4w08aj2iodn8,1,0,0,2023-04-16T23:05:41.855Z,2023-04-20T13:16:39Z,4197371011,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966335,3,1,1,0,0,1zgjjyruyufrkh4xjvryqsb1i,1,50.1,49.7,2023-04-16T23:05:41.955Z,2023-04-16T23:05:45Z,4197371119,140,34.5,4197371127,279,S,4197371117,56,Back,4197371125,213,3.0,4197371123,212,16.6,4197371121,141,53.4,,,,,,,6t625vlq8y9po4hbvz97qx6ok,C. Donovan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966349,4,1,1,0,3,1zgjjyruyufrkh4xjvryqsb1i,0,34.5,53.4,2023-04-16T23:05:45.522Z,2023-04-16T23:54:21Z,4197371199,1,,4197371193,141,100.0,4197371195,212,32.8,4197371197,213,1.4,4197371189,56,Back,4197371191,140,39.0,,,,,,,8bfew6mf9m26cj07fq32uf2wa,R. Odada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966415,3,5,1,0,4,8o8m08he36u0j4w08aj2iodn8,1,61.9,-1.6,2023-04-16T23:05:46.450Z,2023-04-17T01:11:18Z,4197371443,347,,4197371441,56,Right,4197371447,233,5,,,,,,,,,,,,,,,,2343y1f4dtezub9633ghspqi2,J. Dean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966355,5,5,1,0,4,1zgjjyruyufrkh4xjvryqsb1i,0,38.1,101.6,2023-04-16T23:05:46.450Z,2023-04-16T23:05:55Z,4197371223,347,,4197371469,233,3,4197371221,56,Back,,,,,,,,,,,,,,,,do5q14naxm61jw8px8qvacn4k,B. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966431,4,1,1,0,12,8o8m08he36u0j4w08aj2iodn8,1,59.8,0,2023-04-16T23:05:54.274Z,2023-04-16T23:05:58Z,4197371581,140,38.7,4197371587,213,2.8,4197371579,56,Back,4197371585,212,24.0,4197371589,1,,4197371583,141,11.7,4197371577,107,,,,,2343y1f4dtezub9633ghspqi2,J. Dean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966451,5,1,1,0,16,8o8m08he36u0j4w08aj2iodn8,1,32.7,13.8,2023-04-16T23:05:57.954Z,2023-04-16T23:06:02Z,4197371699,213,2.5,4197371693,140,10.3,4197371695,141,38.5,4197371697,212,28.9,4197371691,56,Back,,,,,,,,,,4fsa5gccqi6eiy0a4jau4swrt,W. Omsberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
