id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2538501561,1,34,16,0,0,eo64tqkioegeb09iice2hf8bt,1,0,0,2023-04-23T23:53:53.683Z,2023-04-24T02:26:36Z,4216178423,130,2,4216178429,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4216178415,30,"1g87lk1nglquvmvpowjfpcpre, 2z2u3vezttpjwfwf2yc6aelg4, c7iepmqewf1dnc7zl36iskdn8, efma0zrimza00ykod1yqmatm2, c8svt3yazcfaq478j0cpbmbfu, c8r509d61kir54x1d4hkrkydw, b74yslq3huyhvwrhrebz0o3ys, 1c8r9cqu11jymw2ir69nvhey1, f2ljfjpu8uqmt3p3833jz692i, 7o71djg9t9z126paxjz1fdffu, dp3chasr11o48ehnokswl8l7u, 1qfm9519iq3jailrtnk9c0nbo, bh7fb8v7o5wynmapdhlth594a, 6cdhdb44atdm9b3n7swgi002y, 4h6tatg7j6omi59ui2h2xp8x6, 98mb5jcwk38vc1hd49foztw4, bhzjqo4qidpkmh7lqqir9h4ic, 7qp9ccm2hpwbp6kl7o8y6t3pw, dvk85r457e15hg0pw5rig0222, 4y4mypo5jyzbp0dtvm6y7ajxm",4216463797,197,3399,4216178417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4216178419,59,"32, 57, 84, 66, 12, 56, 28, 52, 26, 76, 7, 41, 43, 50, 53, 58, 59, 85, 92, 95",4216453305,194,efma0zrimza00ykod1yqmatm2,4216178427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538525295,1,34,16,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,0,0,2023-04-24T00:47:43.325Z,2023-04-24T02:03:11Z,4216464429,194,8pg5wiwxujx3hnir5wie9xgfe,4216308373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4216308365,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4216308371,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4216308367,59,"99, 54, 46, 34, 89, 30, 70, 43, 29, 32, 67, 36, 60, 63, 64, 65, 66",4216308363,30,"4tengy9p53kcukevpi8s54wh6, e6421uwkpqgrisajhpz6peuei, 6ezxm4g8dffkwm6og9u0tvh90, 81z7n0qyr2tlkidxphoxqzkve, 4ffuwlda1w22muyvfobp5nrx0, dgg9cpgyinyhfzqmo5jou89yi, 8pg5wiwxujx3hnir5wie9xgfe, a4staqjshva5lhcr0dw744nze, 45b72f8szmqnv8tz06j7mj1wq, 69h930ebovyl7rut5dz4r2iok, iu61re9bbusv2w7fu7w6505w, cgix7qnp4e1ucijtkh4prwkx5, 9bevghn9qoz2w8t9na9msz4lw, 7wietm9dw605wn6anlziu2fsa, 6fm791jmf7ibxaunjzzya9i50, 8hftsf1ff8839jdbe3e6lmm1g, 594i901picb8b1o5lhngmaycq",4216464431,197,15045,4216308369,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538555435,2,32,1,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,0,0,2023-04-24T02:05:24.916Z,2023-04-24T02:05:25Z,4216470205,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538555439,2,32,1,0,0,eo64tqkioegeb09iice2hf8bt,1,0,0,2023-04-24T02:05:24.916Z,2023-04-29T15:27:37Z,4216470211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538555455,3,1,1,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,49.8,50.1,2023-04-24T02:05:25.016Z,2023-04-24T02:05:31Z,4216470309,141,41.7,4216470315,279,S,4216470305,56,Back,4216470311,212,12.7,4216470313,213,3.6,4216470307,140,39.0,,,,,,,69h930ebovyl7rut5dz4r2iok,M. Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538555459,4,1,1,0,5,1pc6sx2h4rp113ldkbp5d2xas,1,39,42,2023-04-24T02:05:30.875Z,2023-04-24T02:06:18Z,4216470347,213,2.5,4216470341,140,26.1,4216470339,56,Back,4216470345,212,17.4,4216470343,141,58.1,,,,,,,,,,a4staqjshva5lhcr0dw744nze,R. O'Driscoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538555465,5,1,1,0,7,1pc6sx2h4rp113ldkbp5d2xas,1,24.7,59,2023-04-24T02:05:31.995Z,2023-04-24T02:05:33Z,4216470379,140,30.9,4216470381,141,89.0,4216470383,212,21.4,4216470377,56,Back,4216470385,213,1.3,,,,,,,,,,dgg9cpgyinyhfzqmo5jou89yi,C. Uche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538555469,6,1,1,0,8,1pc6sx2h4rp113ldkbp5d2xas,1,30.9,89,2023-04-24T02:05:33.355Z,2023-04-24T02:05:35Z,4216470407,140,25.7,4216470413,213,4.3,4216470405,56,Back,4216470411,212,12.9,4216470409,141,71.8,,,,,,,,,,6ezxm4g8dffkwm6og9u0tvh90,J. Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538555475,7,1,1,0,10,1pc6sx2h4rp113ldkbp5d2xas,0,25.7,71.8,2023-04-24T02:05:35.403Z,2023-04-24T02:05:38Z,4216470459,1,,4216470455,212,50.3,4216470453,141,90.3,4216470447,155,,4216470451,140,72.1,4216470457,213,0.3,4216470449,56,Left,,,,dgg9cpgyinyhfzqmo5jou89yi,C. Uche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538555483,3,1,1,0,15,eo64tqkioegeb09iice2hf8bt,0,31.9,8.3,2023-04-24T02:05:40.128Z,2023-04-24T02:05:40Z,4216470533,3,,4216470543,213,6.0,4216470539,141,0.0,4216470535,56,Right,4216470537,140,53.1,4216470541,212,23.3,,,,,,,c8svt3yazcfaq478j0cpbmbfu,K. Yao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
