id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2531407343,1,34,16,0,0,cbip96wzs3jc2xadoluhhxotl,1,0,0,2023-04-09T23:24:29.797Z,2023-04-10T00:38:22Z,4178422879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4178422883,130,8,4178496637,197,6183,4178422885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4178422881,59,"57, 91, 37, 25, 85, 22, 27, 33, 45, 49, 70, 80, 81, 82, 83, 90, 92",4178422887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178540957,194,925j70waph5n48rvazrjj1pg4,4178422877,30,"2ig362xub2syd45v3usgymbkk, 20z2nx7xh9mgty7qp6xur14yy, 5gl31qop7zlj9mfbtolvj7xuc, 8jcrd6icrjmulbpa2wiu0frsa, 58mom000tx2bmmibqfls18mqc, 8td51fzpdl6c1yrz6r0igle22, aqqbh1ugeh2f8jjiq8fu2qwru, e2olfsduxvaqsx6rdbaasa356, 79606fy6lyfs1h12645q4shzo, 3wkej06590b61lyqm7vt1kwes, 925j70waph5n48rvazrjj1pg4, 6ty40ck7vbzvp58aakry7kxlg, 14hkfiu3q5s8uddoupp9qi1hw, cg9el0nbm3eu6fhwqksy7xhjo, 2re5upwzvbaolbxwqfw8sio0k, c668p7wllgd89qdbb3js1k1lg, 72dbw7qmu3g31kn5s9tryuy38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531410893,1,34,16,0,0,ew2zirzye0sw1txr2m33nr25y,1,0,0,2023-04-09T23:32:05.555Z,2023-04-10T00:39:54Z,4178440753,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4178440745,30,"tovg87rxcrz5i06ubaq99nxm, bl9rj1qcik8467w0w5i27hkru, 59kky4fyi0w9bdz4ow3gs95yi, dpedfgxin5nc4qmziaokpmiy2, dqa88ma3jbk33lsyzo45uy2cq, 79z5vt08ga8prn33vi2a260kq, 1bmbt6h6bsiimpzxt07cqwfvu, 49ag6csupgt40gbs2snq1xs7o, 641y4ji285n1knqul0flhzsyy, a7l9tu0j7sibivo0982fepm38, 1t9thoa7j9ftzkriq2g50w4fe, 4ozih7wnybdxb1wgvd5fkjp5g, bt8c9l7ncrgbw5vqpg4sz7tw4, 7jj0f7zw16u7eu7yvk5exm3v8, 828t4m5d66xcy7hvq55jbto2c, 5n1wehugx0qtun8oopg2jbndg, 32t6g252ti1peycjite40qiy2",4178440755,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178494185,194,1t9thoa7j9ftzkriq2g50w4fe,4178440749,59,"51, 52, 17, 19, 66, 77, 60, 75, 53, 78, 64, 68, 71, 73, 76, 99, 70",4178440751,130,9,4178494187,197,15342,4178440747,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531421675,2,32,1,0,0,ew2zirzye0sw1txr2m33nr25y,1,0,0,2023-04-10T00:05:14.981Z,2023-04-14T12:21:04Z,4178498211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531421681,2,32,1,0,0,cbip96wzs3jc2xadoluhhxotl,1,0,0,2023-04-10T00:05:14.981Z,2023-04-10T00:05:18Z,4178498253,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531421703,3,1,1,0,0,ew2zirzye0sw1txr2m33nr25y,1,50.1,49.9,2023-04-10T00:05:15.081Z,2023-04-10T00:05:18Z,4178498347,212,13.3,4178498351,279,S,4178498343,140,37.5,4178498349,213,3.2,4178498345,141,48.4,4178498341,56,Back,,,,,,,641y4ji285n1knqul0flhzsyy,R. Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531421721,4,1,1,0,2,ew2zirzye0sw1txr2m33nr25y,0,38.7,48.4,2023-04-10T00:05:17.849Z,2023-04-10T00:05:23Z,4178498441,212,52.2,4178498437,140,81.3,4178498445,1,,4178498443,213,0.5,4178498439,141,88.0,4178498433,155,,4178498435,56,Left,,,,dpedfgxin5nc4qmziaokpmiy2,C. Cilley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531421719,3,44,1,0,6,cbip96wzs3jc2xadoluhhxotl,1,21.5,11.4,2023-04-10T00:05:21.008Z,2023-04-10T00:05:31Z,4178498461,233,5,4178498429,56,Back,4178498431,285,,,,,,,,,,,,,,,,,20z2nx7xh9mgty7qp6xur14yy,G. Nigro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531421723,5,44,1,0,6,ew2zirzye0sw1txr2m33nr25y,0,78.5,88.6,2023-04-10T00:05:21.009Z,2023-04-10T00:05:23Z,4178498451,286,,4178498449,56,Left,4178498477,233,3,,,,,,,,,,,,,,,,1t9thoa7j9ftzkriq2g50w4fe,J. Ayon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531421727,4,1,1,0,6,cbip96wzs3jc2xadoluhhxotl,0,23.3,10.2,2023-04-10T00:05:21.094Z,2023-04-14T12:31:42Z,4178498489,56,Back,4178498493,141,8.2,4178498497,213,6.2,4178498487,3,,4178498491,140,33.9,4178498495,212,11.2,,,,,,,20z2nx7xh9mgty7qp6xur14yy,G. Nigro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531421753,6,1,1,0,9,ew2zirzye0sw1txr2m33nr25y,0,70.1,92.7,2023-04-10T00:05:24.553Z,2023-04-14T12:32:08Z,4178498651,1,,4178498649,213,0.3,4178498643,140,86.1,4178498645,141,100.0,4178498641,56,Left,4178498647,212,17.9,4178498639,157,,,,,59kky4fyi0w9bdz4ow3gs95yi,K. Tingey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
