id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/10/value,qualifier/12/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2534945703,1,34,16,0,0,eo64tqkioegeb09iice2hf8bt,1,0,0,2023-04-16T21:57:04.740Z,2023-04-17T00:09:35Z,4197264819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4197473625,197,3399,4197264821,59,"50, 57, 41, 92, 61, 83, 43, 66, 44, 26, 30, 52, 53, 56, 76, 84, 89, 90, 95",4197264825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4197264817,30,"6cdhdb44atdm9b3n7swgi002y, 2z2u3vezttpjwfwf2yc6aelg4, 1qfm9519iq3jailrtnk9c0nbo, dvk85r457e15hg0pw5rig0222, 8j7qtwahw6x4twl8zjuqtl62, 3yk1gwm7jptmbal0vcwr24is4, bh7fb8v7o5wynmapdhlth594a, efma0zrimza00ykod1yqmatm2, 6yqcj6z7ok9bkkvy57awg82y1, f2ljfjpu8uqmt3p3833jz692i, 4oz12ku4mdjsq7y4sgogpwg2y, 1c8r9cqu11jymw2ir69nvhey1, 4h6tatg7j6omi59ui2h2xp8x6, c8r509d61kir54x1d4hkrkydw, 7o71djg9t9z126paxjz1fdffu, c7iepmqewf1dnc7zl36iskdn8, 1ovldtf99ixmfwf8ye6bzb0gk, bohmyph90od0u19dwpb1c7xn8, 4y4mypo5jyzbp0dtvm6y7ajxm",4197473623,194,efma0zrimza00ykod1yqmatm2,4197264823,130,2,4197264827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534949751,1,34,16,0,0,8ijkk62897so5r3bq0wgwx4bu,1,0,0,2023-04-16T22:07:26.777Z,2023-04-17T00:04:10Z,4197281253,59,"41, 47, 52, 45, 28, 51, 56, 48, 73, 53, 79, 38, 54, 60, 64, 65, 66, 80",4197477377,197,18839,4197281257,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4197281251,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4197281249,30,"2mmciwk6gllcf11plcch710yc, 2vq2t4ttpcwey95jzofd60qy2, 561nh7xvxljfxm1z0n8wsik4q, 37zynr7fwzqg4c9w5ydefywyy, e7q60ne93c6289xwnt9zj65wq, e23yyl43xtcve09dx234uuj8, 5iy3sz4b3mokizd2qlcskl5d6, al111zqt4j4b3yg8064d9cep6, 1kl9112b8rcbr3k1s5hs353x0, okf3cwwp4y2zzqt67yfa5mac, 65aavg4ibp2tyjlyd0o7c7d3o, amcmxrycu0kldox7qdohow2ui, ei9pb5zfqe7ujhtxk8xeqwutw, 7daffq7yhd9nfyisa544glzbo, 51vt3fm98sj2g3xn0k2ira0wk, 66zmbqbya1p4k1uh2qd171pii, 1tln4ic02q7gakyi104b0o9ka, 5ulleaqcmfi9o2i95comr8phw",4197281255,130,8,4197281259,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197477375,194,e7q60ne93c6289xwnt9zj65wq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534986115,2,32,1,0,0,8ijkk62897so5r3bq0wgwx4bu,1,0,0,2023-04-17T00:05:34.119Z,2023-04-17T00:05:37Z,4197478995,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534986109,2,32,1,0,0,eo64tqkioegeb09iice2hf8bt,1,0,0,2023-04-17T00:05:34.119Z,2023-04-22T12:53:32Z,4197478975,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534986153,3,1,1,0,1,eo64tqkioegeb09iice2hf8bt,1,50.3,50,2023-04-17T00:05:35.219Z,2023-04-22T12:50:50Z,4197479063,141,54.2,4197479067,213,2.9,4197479059,56,Back,4197479065,212,14.2,4197479061,140,37.1,4197479069,279,S,,,,,,,f2ljfjpu8uqmt3p3833jz692i,J. Ngando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534986157,4,1,1,0,3,eo64tqkioegeb09iice2hf8bt,0,37.2,55.7,2023-04-17T00:05:37.392Z,2023-04-22T12:50:47Z,4197479083,141,9.5,4197479087,213,5.6,4197479079,56,Right,4197479077,155,,4197479089,1,,4197479085,212,48.0,4197479081,140,71.7,,,,efma0zrimza00ykod1yqmatm2,G. Aguilar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534986169,3,1,1,0,6,8ijkk62897so5r3bq0wgwx4bu,0,23.2,88.3,2023-04-17T00:05:40.861Z,2023-04-17T00:05:42Z,4197479123,3,,4197479133,213,6.2,4197479127,140,52.7,4197479129,141,86.0,4197479125,56,Left,4197479131,212,31.0,,,,,,,561nh7xvxljfxm1z0n8wsik4q,E. Amadin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534986189,5,1,1,0,9,eo64tqkioegeb09iice2hf8bt,1,56,9.3,2023-04-17T00:05:43.296Z,2023-04-17T00:05:46Z,4197479199,213,1.3,4197479195,141,24.6,4197479191,56,Center,4197479197,212,10.9,4197479193,140,59.2,,,,,,,,,,2z2u3vezttpjwfwf2yc6aelg4,T. Bah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534986199,6,1,1,0,12,eo64tqkioegeb09iice2hf8bt,1,59.2,24.6,2023-04-17T00:05:46.593Z,2023-04-17T00:57:22Z,4197479233,140,46.2,4197479237,212,18.3,4197479239,213,3.9,4197479231,56,Back,4197479235,141,6.6,,,,,,,,,,f2ljfjpu8uqmt3p3833jz692i,J. Ngando,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534986227,7,1,1,0,13,eo64tqkioegeb09iice2hf8bt,1,46.2,6.6,2023-04-17T00:05:47.840Z,2023-04-17T00:05:51Z,4197479367,140,26.6,4197479373,213,2.5,4197479369,141,29.7,4197479365,56,Back,4197479371,212,25.9,,,,,,,,,,2z2u3vezttpjwfwf2yc6aelg4,T. Bah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
