id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,assist,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2525240071,1,34,16,0,0,29nx7yxy1rdqv2oobqn5pjf8p,1,0,0,2023-03-27T22:04:54.778Z,2023-03-27T23:09:02Z,4138661445,130,4,4138661441,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4138674057,194,3jggbo072qzgw1bivr2htm5g4,4138661439,30,"3jggbo072qzgw1bivr2htm5g4, 5l9js12tsf18c7st0oac3swes, 8t1cdsbb6ck8dtfnz8xhejeju, 3k48z25pwfr33pbbifcunhono, 8pvvljn4uasfjxdleh56pm38, e7tp50kohe1u9hts0geeh3578, 7q8y6gbmg9j75zgm3nhs3bfh0, 3wn0nn5q8g2mjzuc8yb4dvu2, 28kg6zbpgbb8zrnhidogpxi0a, 7w2rw1jd8ouhu8bbvswvysu8k, 2ckur42qg6o7zpl2mzvy061p0, b2fo299a7ozto4fizo5t1nyay, dt797hve9mdpnuyy1z4pnpp1w, c71n0j2gn476m4fzwxldxfms4, bje8wvncnbbx5w0l08uno88ru, efbg277ocw25lmmzx0kaxd1bd, 5wd28i1o3ercv7nq2qdiu1hqs, c760g3hvhvi7nra7gpdrynn1m, d8u6lnk9lmbrgv9obcshpec8a",4138661449,197,3386,4138661443,59,"90, 92, 62, 93, 51, 76, 68, 71, 86, 73, 33, 38, 40, 65, 70, 72, 78, 82, 85",4138661451,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4138661447,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525240425,1,34,16,0,0,bd0378yx50xpdcgwkt9p9bmz8,1,0,0,2023-03-27T22:14:10.832Z,2023-03-27T23:07:06Z,4138663165,30,"bm2vp4mq94myce80pa3lnshxx, 1ie2n14n0fm7tyl99vxybmk4q, e3xsrspideqsbd098pkvr0bqi, 39t59x9q2xumbn2hphk7urp7u, 2d9cw6dcm2wsgrr8mj5rt6zje, 3s1a50dskuehneuuy9b1nxg4, 44nrrrjr233eellmujjz45h5g, aw9qtyjb4wdifiixi139m96cq, 49ki6wsieoy8t4baq73o0zhbe, bpr7u1cp7bzt1w2t1tsmru73e, 4uo9isxivewjrtdg9v7lku9zo, b82dmhiv5rfrczfcx26cnvo16, 9asj8t10cvfumot9hr3dprsic, bh6ncbb98ru6ox5oth7kle51w, 7xro49ojdjw9aztwbvg8tlzx0, 744hrx48w0k0779oleu4q8tpm, 4plou42lepve7wmkvahnbua6s, aqo6onn4jbvsiljanpbtdwf84, dmn67px1dbaq6d9fyge4vxhjo, 3fjb8lymm7grc7nqyfpzw1a8k",4138663171,130,12,4138674149,194,2d9cw6dcm2wsgrr8mj5rt6zje,4138663175,197,14969,4138663177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4138663169,59,"36, 57, 77, 33, 40, 3, 42, 58, 29, 43, 37, 30, 44, 61, 62, 67, 74, 75, 55, 25",4138663167,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4138663173,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242869,2,32,1,0,0,29nx7yxy1rdqv2oobqn5pjf8p,1,0,0,2023-03-27T23:05:27.984Z,2023-03-27T23:05:29Z,4138675955,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242867,2,32,1,0,0,bd0378yx50xpdcgwkt9p9bmz8,1,0,0,2023-03-27T23:05:27.984Z,2023-03-30T06:59:16Z,4138675949,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242873,3,1,1,0,0,bd0378yx50xpdcgwkt9p9bmz8,1,50.1,50.8,2023-03-27T23:05:28.084Z,2023-03-28T00:07:07Z,4138676037,140,38.8,4138676043,213,3.5,4138676039,141,45.2,4138676041,212,12.5,4138676045,279,S,4138676035,56,Back,,,,,,,aw9qtyjb4wdifiixi139m96cq,G. Valenzuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242875,4,1,1,0,6,bd0378yx50xpdcgwkt9p9bmz8,1,36.4,37.7,2023-03-27T23:05:34.282Z,2023-03-27T23:05:35Z,4138676057,56,Back,4138676061,141,27.2,4138676065,213,3.7,4138676059,140,25.7,4138676063,212,13.3,,,,,,,,,,44nrrrjr233eellmujjz45h5g,B. Halsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242877,5,1,1,0,6,bd0378yx50xpdcgwkt9p9bmz8,1,27.8,25,2023-03-27T23:05:34.965Z,2023-03-30T07:05:34Z,4138676093,213,2.2,4138676081,56,Back,4138676085,141,46.0,4138676091,212,17.5,4138676083,140,18.2,,,,,,,,,,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242879,6,1,1,0,8,bd0378yx50xpdcgwkt9p9bmz8,1,19.5,45.4,2023-03-27T23:05:36.207Z,2023-03-30T07:05:43Z,4138676149,141,76.9,4138676147,140,22.1,4138676151,212,21.6,4138676145,56,Back,4138676153,213,1.4,,,,,,,,,,2d9cw6dcm2wsgrr8mj5rt6zje,K. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242883,7,1,1,0,11,bd0378yx50xpdcgwkt9p9bmz8,0,22.8,77,2023-03-27T23:05:39.464Z,2023-03-28T00:07:12Z,4138676227,213,0.3,4138676223,141,100.0,4138676229,1,,4138676215,56,Left,4138676225,212,49.3,4138676219,140,67.1,4138676213,155,,,,,39t59x9q2xumbn2hphk7urp7u,I. Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242891,3,5,1,0,15,29nx7yxy1rdqv2oobqn5pjf8p,1,40.2,-1,2023-03-27T23:05:43.024Z,2023-03-28T01:17:27Z,4138676327,56,Back,4138676331,233,8,4138676329,347,,,,,,,,,,,,,,,,,7w2rw1jd8ouhu8bbvswvysu8k,J. Bernardez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242885,8,5,1,0,15,bd0378yx50xpdcgwkt9p9bmz8,0,59.8,101,2023-03-27T23:05:43.024Z,2023-03-27T23:05:53Z,4138676233,347,,4138676231,56,Left,4138676335,233,3,,,,,,,,,,,,,,,,39t59x9q2xumbn2hphk7urp7u,I. Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242893,4,1,1,0,25,29nx7yxy1rdqv2oobqn5pjf8p,1,45.6,0,2023-03-27T23:05:53.124Z,2023-03-30T07:06:10Z,4149029109,189,,4138676353,141,6.4,4138676357,213,1.1,4138676349,56,Back,4138676355,212,5.7,4138676347,107,,4138676351,140,48.0,,,,5l9js12tsf18c7st0oac3swes,T. Rigopoulos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525242897,5,61,1,0,28,29nx7yxy1rdqv2oobqn5pjf8p,0,49.4,6.2,2023-03-27T23:05:56.307Z,2023-03-30T07:06:12Z,4138676361,56,Back,4149029131,189,,,,,,,,,,,,,,,,,,,,7w2rw1jd8ouhu8bbvswvysu8k,J. Bernardez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
