id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value
2524921563,7,1,1,0,30,479lsfr4cwlzewpbuda3y2xv4,0,30,74.1,2023-03-26T19:05:41.756Z,2023-03-26T19:05:46Z,4125417815,140,87.3,4125417819,212,60.2,4125417817,141,70.2,4125417821,213,6.2,4125417813,56,Center,4125417823,1,,4125417811,155,,,,,ex99a6zbacpkkhgvynu80qpzo,N. Kibunguchy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921561,5,52,1,0,34,1zgjjyruyufrkh4xjvryqsb1i,1,14.2,39.2,2023-03-26T19:05:45.912Z,2023-03-29T08:30:37Z,4147766657,376,,,,,,,,,,,,,,,,,,,,,,,2y9o7d8tm1f8fnp6jewxzifis,A. Rick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921589,6,1,1,0,38,1zgjjyruyufrkh4xjvryqsb1i,1,14.1,39.2,2023-03-26T19:05:49.225Z,2023-03-26T19:05:51Z,4125417947,140,27.9,4125417959,287,,4125417949,141,83.6,4125417953,213,1.1,4125417951,212,33.5,4125417943,123,,4125417955,1,,4125417945,56,Back,2y9o7d8tm1f8fnp6jewxzifis,A. Rick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921613,7,1,1,0,42,1zgjjyruyufrkh4xjvryqsb1i,0,32,89.3,2023-03-26T19:05:53.608Z,2023-03-26T19:05:59Z,4125418075,212,51.8,4125418077,213,5.8,4125418069,56,Center,4125418079,1,,4125418067,155,,4125418071,140,76.6,4125418073,141,56.7,,,,793bjb2bgku4cw2iu6k1fxcve,A. Sorenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2525657939,632,49,1,0,46,479lsfr4cwlzewpbuda3y2xv4,1,18.9,44.1,2023-03-26T19:05:57.486Z,2023-03-29T08:31:04Z,,,,,,,,,,,,,,,,,,,,,,,,,c2j0af3amobjhnadwf8cucbca,Javier Otero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921637,8,1,1,0,48,479lsfr4cwlzewpbuda3y2xv4,0,23,36.3,2023-03-26T19:05:59.605Z,2023-03-29T08:31:06Z,4147771425,155,,4125418195,212,19.1,4125418189,56,Back,4125418191,140,34.6,4125418193,141,14.6,4125418197,213,5.4,,,,,,,c2j0af3amobjhnadwf8cucbca,Javier Otero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921643,8,43,1,0,52,1zgjjyruyufrkh4xjvryqsb1i,1,0,0,2023-03-26T19:06:03.417Z,2023-03-26T19:06:09Z,4125418297,144,61,4125418235,56,Left,,,,,,,,,,,,,,,,,,,7bodno8j3qjiqp9wy8kobwmqc,C. Olney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921665,9,4,1,0,52,479lsfr4cwlzewpbuda3y2xv4,1,33,14,2023-03-26T19:06:04.024Z,2023-03-29T08:38:52Z,4125418313,265,,4125418311,152,,4125418307,13,,4125418309,56,Back,4125459667,233,9,4125418315,285,,,,,,,,i5wj5hcg2r9934e7gauxtgmi,J. Almaguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921645,9,4,1,0,52,1zgjjyruyufrkh4xjvryqsb1i,0,67,86,2023-03-26T19:06:04.025Z,2023-03-26T20:05:41Z,4125459675,233,9,4125418449,13,,4125418453,265,,4125418237,56,Left,4125418455,286,,4125418451,152,,,,,,,,cykl5dz1d2v4qc2pit2med27e,M. Villero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921649,10,43,1,0,53,1zgjjyruyufrkh4xjvryqsb1i,1,0,0,2023-03-26T19:06:04.617Z,2023-03-26T19:06:07Z,4125418279,144,49,,,,,,,,,,,,,,,,,,,,,,7bodno8j3qjiqp9wy8kobwmqc,C. Olney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
