id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist
2534949957,1,34,16,0,0,dqx48fglv1l96cyrmjdod0xec,1,0,0,2023-04-16T22:08:07.509Z,2023-04-16T23:07:35Z,4197282133,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4197282131,30,"brbc088u7sq9wh9d9gkonn5gq, 17yf2rdrh0oshogxp00s61hqs, 2hdg94moevfpp12pbwjg1ypec, 6ge4wgnjmai5596imt97hev6y, 910fd7rfysvvfzp2s1ywna5pm, 9tl3xo6tmq5b2eeil9e1p048a, 5jigl7kp5d2i5ws1602jm7n1m, 6xup3kf24zfblj7gnqvrm33f8, 632mpv8dpnxjm69f8ip1e4l5g, cdyrj15oxu3l5sgzgwof8ohgq, 2u05snfruohp5sqhdpy5vvlnu, 4s56s6f9nw96wergw7ix5zp0q, 9k050zmkegfu3gdw2b4g4uwwk, 7o0levm21dq6815s3qziqqz2s, 28u7519fn9jefbdythjglxjis, 9gswafduy82n4o6f0uk0khhck, 7h6a0x05z2laewfq7spicxwd0, en6q7ddrr22sz6knipkbqhyw9, 8hg6c5ehhaa37lwduf5977i3u, ba77cwode4mtessgby1mml6ju",4197282141,194,910fd7rfysvvfzp2s1ywna5pm,4197363647,197,15002,4197282137,130,8,4197282139,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197282135,59,"82, 43, 53, 44, 40, 51, 41, 98, 64, 77, 25, 18, 46, 47, 48, 59, 71, 75, 88, 90",4197282143,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534951079,1,34,16,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-16T22:11:24.743Z,2023-04-16T23:02:49Z,4197364155,197,18756,4197287099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197287097,194,6pqyqf9v6g60ci7jjggalqsq1,4197287095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197287093,130,8,4197287089,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4197287087,30,"a3k4grlhkn63p3xfb2rzslkdm, 6pqyqf9v6g60ci7jjggalqsq1, 457wpw6s1esrs616paqzo355, 6jsu34146kbtoeco3ue1a7ok4, 5h73r4bv42whxsvnlq89b89re, d0riqrsz7ojwb9m94rbvx7r6y, 2j9i9ersvndkywcgqx9pzc9ka, 7nxqbiq6fics5w3qnwhz249as, 42wy8249nwozwzl13jqewtn56, e6gr1t1rp2x7waywgzlrj8yqx, mr8rvq7r4wljhv3rrdasjxuc, 9ddxuhle7n4xyozin0wrhatih, 8ly83pm2mbtz4u7jwsv0o96qy, elvrjpt1jlko4henaqvfid7o4, 4521gkm1oemvrfsgksz7b6zxm, 3sm6srzig957fdn96ta68nmne, 22lsn0v0bw7fd9cu6mft0j1ii, ov91zkisppven9tp72gfbjf8, 3cbmr8hg3kszw5wl04p3ol27e, 2yxzh220ndd4s4wqditruo0h6",4197287091,59,"12, 22, 26, 24, 4, 5, 11, 15, 28, 21, 99, 1, 2, 7, 9, 10, 14, 18, 19, 23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966171,2,32,1,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-16T23:05:12.898Z,2023-04-20T12:34:42Z,4197370283,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966157,2,32,1,0,0,dqx48fglv1l96cyrmjdod0xec,1,0,0,2023-04-16T23:05:12.898Z,2023-04-16T23:05:12Z,4197370203,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966185,3,1,1,0,0,dqx48fglv1l96cyrmjdod0xec,1,49.9,49.9,2023-04-16T23:05:12.998Z,2023-04-16T23:05:17Z,4197370353,212,19.9,4197370351,141,33.6,4197370357,279,S,4197370347,56,Back,4197370349,140,34.2,4197370355,213,3.7,,,,,,,5jigl7kp5d2i5ws1602jm7n1m,J. Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966195,4,1,1,0,4,dqx48fglv1l96cyrmjdod0xec,0,34.2,33.1,2023-04-16T23:05:17.638Z,2023-04-17T01:01:36Z,4197370431,140,79.2,4197370433,141,63.6,4197370435,212,51.6,4197370437,213,0.4,4197370439,1,,4197370429,56,Center,4197370427,155,,,,,910fd7rfysvvfzp2s1ywna5pm,M. Wentzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966203,3,1,1,0,7,d0c07im4a6oj8qa7f1zlt3pqs,0,17.2,22.2,2023-04-16T23:05:20.516Z,2023-04-16T23:05:21Z,4197370463,56,Back,4197370461,3,,4197370469,212,13.0,4197370467,141,24.9,4197370471,213,0.1,4197370465,140,29.5,,,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2535011115,869,1,1,0,9,dqx48fglv1l96cyrmjdod0xec,1,69.8,77.2,2023-04-16T23:05:21.898Z,2023-04-17T01:02:00Z,4197606425,212,10.7,4197606427,213,2.4,4197606421,140,62.6,4197606423,141,88.4,4197606419,56,Left,,,,,,,,,,cdyrj15oxu3l5sgzgwof8ohgq,F. Bettache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966235,5,43,1,0,11,dqx48fglv1l96cyrmjdod0xec,1,0,0,2023-04-16T23:05:24.184Z,2023-04-17T01:02:08Z,4197370603,212,9.9,4197606543,144,1,4197370601,141,87.1,4197370599,140,62.5,4197370597,56,Left,4197370605,213,2.1,,,,,,,6ge4wgnjmai5596imt97hev6y,M. Schneider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966267,7,61,1,0,13,dqx48fglv1l96cyrmjdod0xec,0,59,82.3,2023-04-16T23:05:26.739Z,2023-04-20T14:09:45Z,4197370769,56,Left,,,,,,,,,,,,,,,,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966265,6,43,1,0,14,dqx48fglv1l96cyrmjdod0xec,1,0,0,2023-04-16T23:05:27.193Z,2023-04-16T23:05:35Z,4197370855,144,1,4197370755,141,87.8,4197370751,56,Back,4197370757,212,22.0,4197370759,213,3.1,4197370753,140,41.4,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966285,4,4,1,0,15,d0c07im4a6oj8qa7f1zlt3pqs,1,40.3,13.8,2023-04-16T23:05:28.395Z,2023-04-20T14:09:49Z,4197370845,152,,4197370847,265,,4197370849,286,,4197370841,13,,4197370861,233,8,4197370843,56,Back,,,,,,,2j9i9ersvndkywcgqx9pzc9ka,E. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966275,8,4,1,0,15,dqx48fglv1l96cyrmjdod0xec,0,59.7,86.2,2023-04-16T23:05:28.396Z,2023-04-20T14:09:52Z,4197370791,152,,4197370795,285,,4197370867,233,4,4197370793,265,,4197370787,13,,4197370789,56,Left,,,,,,,2hdg94moevfpp12pbwjg1ypec,F. Volmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966295,5,1,1,0,23,d0c07im4a6oj8qa7f1zlt3pqs,1,37.3,7.3,2023-04-16T23:05:36.341Z,2023-04-16T23:05:39Z,4197370901,212,18.3,4197370897,140,23.3,4197370899,141,23.4,4197370895,56,Back,4197370903,213,2.5,4197370893,152,,4197370891,5,,,,,6pqyqf9v6g60ci7jjggalqsq1,J. Hafferty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
