id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/11/value,qualifier/9/value,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,assist
2542091163,1,34,16,0,0,8ijkk62897so5r3bq0wgwx4bu,1,0,0,2023-05-01T01:49:34.171Z,2023-05-01T03:38:16Z,4242252859,59,"41, 47, 66, 45, 28, 51, 56, 43, 73, 53, 38, 48, 52, 54, 61, 64, 65, 76",4242252863,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4242252861,130,8,4242328885,197,3364,4242252865,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4242252857,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4242320537,194,91kiw0xa00btt5v54ywplywkq,4242252855,30,"2mmciwk6gllcf11plcch710yc, 2vq2t4ttpcwey95jzofd60qy2, 1tln4ic02q7gakyi104b0o9ka, 37zynr7fwzqg4c9w5ydefywyy, e7q60ne93c6289xwnt9zj65wq, e23yyl43xtcve09dx234uuj8, 5iy3sz4b3mokizd2qlcskl5d6, 91kiw0xa00btt5v54ywplywkq, 1kl9112b8rcbr3k1s5hs353x0, okf3cwwp4y2zzqt67yfa5mac, amcmxrycu0kldox7qdohow2ui, al111zqt4j4b3yg8064d9cep6, 561nh7xvxljfxm1z0n8wsik4q, ei9pb5zfqe7ujhtxk8xeqwutw, 7m47952qgapipg3vdf9dannro, 51vt3fm98sj2g3xn0k2ira0wk, 66zmbqbya1p4k1uh2qd171pii, dcypf9mqtlcn5wetj1z7g3mui",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542095591,1,34,16,0,0,5icuo8utnztpsd9l03gdd68dl,1,0,0,2023-05-01T02:07:49.658Z,2023-05-01T03:11:16Z,4242320645,194,968mlew2amftejfuaptayz6c5,4242277115,30,"9q91h72hhbibgekbjb8vcdxey, 3007iihmvmlzgpgtxri3v3hg4, 7zr3gif60ntltgt3s5yi6qjca, chiwsyjdyk4sn4vxqu9mdr0x6, 9pdlqvcvxbblylawycpp2ywvd, e1e506479mqo8j3geie6amuj8, 968mlew2amftejfuaptayz6c5, 7ajceczjsu9ci4nqv9gg2860a, 3wtx6mgbgjvf1zsi5j7m1yxas, 7v1e3ainwp7lip9r12i2mmiok, 4dji8lgdl3psnfchdwpllvod0, 7mnh4dln104xhunf6u9f2546i, 5uwkzz79ayagkh2ukysvgolwp, 8q1x8z8d3c04jymsfc73o1qll, bg5oh0w3wsipgj8qryci3z9jo, ez0t0pl5qxy0sa3zp1l77sjro, s9a51dj3nkad2e53b2jbgl5g, 5jal3zhkwodffivsq89wfd15g, b0xuwec3m6rvxwx7gygv34o6i, e2t6sxwsa5ll4zvsxh96512zu",4242277117,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4242277125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4242329533,197,3380,4242277121,130,4,4242277123,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4242277119,59,"26, 96, 31, 72, 32, 39, 88, 34, 38, 70, 93, 33, 35, 36, 50, 52, 53, 80, 81, 83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542105957,2,32,1,0,0,5icuo8utnztpsd9l03gdd68dl,1,0,0,2023-05-01T03:05:16.431Z,2023-05-07T08:47:44Z,4242331357,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542105963,2,32,1,0,0,8ijkk62897so5r3bq0wgwx4bu,1,0,0,2023-05-01T03:05:16.431Z,2023-05-01T03:05:19Z,4242331373,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542105967,3,1,1,0,1,5icuo8utnztpsd9l03gdd68dl,1,49.9,50,2023-05-01T03:05:17.531Z,2023-05-07T08:48:57Z,4242331385,141,44.9,4242331391,279,S,4242331389,213,3.3,4242331383,140,29.1,4242331387,212,22.1,4242331381,56,Back,,,,,,,chiwsyjdyk4sn4vxqu9mdr0x6,Braudílio Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542105995,4,1,1,0,2,5icuo8utnztpsd9l03gdd68dl,0,29,44,2023-05-01T03:05:19.417Z,2023-05-07T08:50:32Z,4242331537,56,Left,4242331535,155,,4242331541,141,81.9,4242331543,212,42.8,4242331539,140,61.6,4242331545,213,0.6,4242331547,1,,,,,9pdlqvcvxbblylawycpp2ywvd,H. Uderitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542105993,3,44,1,0,4,8ijkk62897so5r3bq0wgwx4bu,1,33.4,18.1,2023-05-01T03:05:20.705Z,2023-05-07T10:12:43Z,4242331577,233,5,4242331531,56,Back,4242331533,285,,,,,,,,,,,,,,,,,2vq2t4ttpcwey95jzofd60qy2,C. Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542105999,5,44,1,0,4,5icuo8utnztpsd9l03gdd68dl,0,66.6,81.9,2023-05-01T03:05:20.706Z,2023-05-07T10:12:45Z,4242331553,56,Left,4242331581,233,3,4242331555,286,,,,,,,,,,,,,,,,,4dji8lgdl3psnfchdwpllvod0,G. Minoungou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542106001,4,1,1,0,5,8ijkk62897so5r3bq0wgwx4bu,0,28.5,18.1,2023-05-01T03:05:21.532Z,2023-05-07T10:12:53Z,4242331565,212,9.6,4242331557,3,,4242331559,56,Back,4242331563,141,8.3,4242331567,213,5.5,4242331561,140,35.1,,,,,,,2vq2t4ttpcwey95jzofd60qy2,C. Klein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545003625,750,1,1,0,8,5icuo8utnztpsd9l03gdd68dl,1,77.7,91.3,2023-05-01T03:05:24.834Z,2023-05-07T10:13:57Z,4257804839,212,3.1,4257804833,56,Left,4257804837,141,95.7,4257804835,140,78.3,4257804841,213,1.4,,,,,,,,,,7zr3gif60ntltgt3s5yi6qjca,T. Sousa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
