id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/12/value,assist
2533290977,1,34,16,0,0,6ddsx316t3j0z6nolrky9k4r8,1,0,0,2023-04-14T22:02:22.231Z,2023-04-14T23:00:38Z,4188535675,30,"bn7qfn71x24fjl5d8t4p97kve, bug5x187ehj0apzl11lrl3ip6, 4k6c9nnzytq9qhc9uol64wg7o, cf5cnymq2xkzjczfy4zk905qs, eq98gflais2v26wgbkw9wrxg4, eiyzqnfh8r8aduel0seou7nu2, abhcwxqh35hbgze01m4ihopyi, duj699i9620tuf3ii9z06bqsq, 96a444bkyegpg5zho3odc54ic, 1p4rbf4wumfagv2ntlewdxey, ck71v8brvqxzz905c5o9966ay, 1muuu6wgia9wxv6vmw8tln5sk, 6n212e4qa6se8iq0983rr05ey, 7iu21pvjpdh2nxm8sgn3rraqc, 51feywrm28vtce8hlntacbbe2, ecjo46a4j50f4cu0mkvw35ysq, 6hkuuhq0sz0j8nrbppj9jiulm, bbxeavv9oiz82dch0tsws3giy",4188535679,59,"54, 77, 37, 64, 47, 30, 31, 42, 39, 44, 38, 18, 45, 56, 60, 91, 78, 79",4188587163,197,18747,4188535681,130,4,4188587161,194,abhcwxqh35hbgze01m4ihopyi,4188535683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4188535685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188535677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533292439,1,34,16,0,0,29nx7yxy1rdqv2oobqn5pjf8p,1,0,0,2023-04-14T22:10:29.739Z,2023-04-14T23:23:03Z,4188542999,30,"3jggbo072qzgw1bivr2htm5g4, 8t1cdsbb6ck8dtfnz8xhejeju, 6wbtc3di25kcbqrat4pcwo5m2, 7q8y6gbmg9j75zgm3nhs3bfh0, 8pvvljn4uasfjxdleh56pm38, c71n0j2gn476m4fzwxldxfms4, 7w2rw1jd8ouhu8bbvswvysu8k, d8u6lnk9lmbrgv9obcshpec8a, 7oxivwr2b7bq70t35dgsjloiy, c760g3hvhvi7nra7gpdrynn1m, efbg277ocw25lmmzx0kaxd1bd, 2ckur42qg6o7zpl2mzvy061p0, b2fo299a7ozto4fizo5t1nyay, dt797hve9mdpnuyy1z4pnpp1w, 5wd28i1o3ercv7nq2qdiu1hqs, 28kg6zbpgbb8zrnhidogpxi0a, 1vsdddp4xhsbo3peifnrckfai",4188543003,59,"90, 62, 81, 68, 51, 65, 73, 85, 83, 82, 72, 33, 38, 40, 78, 86, 89",4188543009,194,3jggbo072qzgw1bivr2htm5g4,4188543005,130,2,4188543011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188543007,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4188586475,197,3386,4188543001,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533300797,2,32,1,0,0,29nx7yxy1rdqv2oobqn5pjf8p,1,0,0,2023-04-14T23:04:49.027Z,2023-04-19T10:38:49Z,4188589067,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533300791,2,32,1,0,0,6ddsx316t3j0z6nolrky9k4r8,1,0,0,2023-04-14T23:04:49.027Z,2023-04-14T23:04:49Z,4188589041,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533300803,3,1,1,0,0,6ddsx316t3j0z6nolrky9k4r8,1,49.7,49.7,2023-04-14T23:04:49.127Z,2023-04-14T23:04:53Z,4188589101,141,56.9,4188589105,213,2.9,4188589099,140,28.1,4188589103,212,23.2,4188589097,56,Back,4188589107,279,S,,,,,,,96a444bkyegpg5zho3odc54ic,M. Meyrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533300809,4,1,1,0,3,6ddsx316t3j0z6nolrky9k4r8,0,35.6,47,2023-04-14T23:04:52.990Z,2023-04-19T10:45:07Z,4188589147,212,37.5,4188589139,155,,4188589141,56,Center,4188589143,140,66.8,4188589145,141,73.8,4188589149,213,0.5,4188589151,1,,,,,duj699i9620tuf3ii9z06bqsq,P. Elias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533300811,3,8,1,0,7,29nx7yxy1rdqv2oobqn5pjf8p,1,38.1,21.3,2023-04-14T23:04:56.068Z,2023-04-19T10:45:26Z,4202067429,384,,4188589159,56,Back,,,,,,,,,,,,,,,,,,,7w2rw1jd8ouhu8bbvswvysu8k,J. Bernardez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533300821,4,49,1,0,10,29nx7yxy1rdqv2oobqn5pjf8p,1,38.6,25.3,2023-04-14T23:04:59.235Z,2023-04-14T23:04:59Z,,,,,,,,,,,,,,,,,,,,,,,,,7q8y6gbmg9j75zgm3nhs3bfh0,L. Olguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533300825,5,1,1,0,10,29nx7yxy1rdqv2oobqn5pjf8p,1,37,24.2,2023-04-14T23:04:59.554Z,2023-04-19T10:45:33Z,4188589243,212,9.6,4188589239,140,28.3,4188589241,141,28.5,4188589237,56,Back,4188589245,213,2.8,,,,,,,,,,7q8y6gbmg9j75zgm3nhs3bfh0,L. Olguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533300831,6,1,1,0,12,29nx7yxy1rdqv2oobqn5pjf8p,1,22.3,37,2023-04-14T23:05:01.242Z,2023-04-14T23:05:02Z,4188589279,140,8.7,4188589283,212,16.2,4188589281,141,48.4,4188589277,56,Back,4188589285,213,2.6,,,,,,,,,,8pvvljn4uasfjxdleh56pm38,A. Pearlman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
