id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/10/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2536795273,1,34,16,0,0,4g68p0t2f5jzhzfr67i2rj1ex,1,0,0,2023-04-21T22:00:20.863Z,2023-04-21T23:12:39Z,4207169213,197,3368,4207108969,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207108965,130,3,4207108961,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4207169541,194,8nw8gd0fkp3a3g0sivl7cu63u,4207108963,59,"40, 88, 24, 77, 33, 2, 91, 31, 97, 90, 80, 30, 44, 45, 46, 47, 61, 66, 89, 92",4207108967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207108959,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536798183,1,34,16,0,0,csntc7hucmo21gknxc5y0kc4q,1,0,0,2023-04-21T22:16:18.611Z,2023-04-22T00:26:19Z,4207169985,197,18745,4207125669,30,"6j4ibkpbos6w5ikle58u2vo, dc8u2bssrhxycx8vtn0kutp4a, bzv3yqbc7ttf7fftbm2nelxck, ahfl8o5ngmw3vp3up97rlaj8p, ahgclh3e05evznhrpa32z6g6i, 357vd87hv0jvljqtt2qf4vmz8, euk8uh8zs9wyruf7qld1tf7ro, 2676930j149yvanqev61emh62, tc5nl1hz1w06jobp5ckktr3e, 97kzr8rgekycws02q55a63z3e, 69ypla76c710iv0yegix1maz8, 7gpxu474qdvutjnlacjkcgw2y, 51y94mgf4wxkk5f4tysztc60a, 92xi437fgp444rrv4q7zsj3vu, c4s04vro436dy241prda1uv6y, isauuse3yqdwymvfne6ci385, ceh8f82mns5a9jvn3ai7zrbl6, 5e00w1rqym73habcl01wm7jtg, 9jiygmsuv03z3u9d64z72p2c4, 8rvomck10jat36i3mfg0t2iac",4207125677,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4207125673,59,"60, 41, 89, 44, 37, 43, 40, 32, 99, 33, 39, 35, 48, 52, 55, 81, 5, 19, 56, 30",4207169983,194,2676930j149yvanqev61emh62,4207125671,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4207125675,130,13,4207125679,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536807153,2,32,1,0,0,csntc7hucmo21gknxc5y0kc4q,1,0,0,2023-04-21T23:06:12.729Z,2023-04-24T13:06:16Z,4207171099,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536807155,2,32,1,0,0,4g68p0t2f5jzhzfr67i2rj1ex,1,0,0,2023-04-21T23:06:12.729Z,2023-04-21T23:06:16Z,4207171101,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536807157,3,1,1,0,1,csntc7hucmo21gknxc5y0kc4q,1,49.8,50.1,2023-04-21T23:06:13.829Z,2023-04-21T23:47:25Z,4207171119,141,53.7,4207171115,56,Back,4207171125,279,S,4207171121,212,13.8,4207171117,140,36.9,4207171123,213,3.0,,,,,,,2676930j149yvanqev61emh62,J. Rozhansky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536807159,4,1,1,0,2,csntc7hucmo21gknxc5y0kc4q,1,36.6,54.6,2023-04-21T23:06:15.230Z,2023-04-22T00:04:32Z,4207171131,140,36.8,4207171135,212,6.7,4207171129,56,Back,4207171133,141,44.8,4207171137,213,4.7,,,,,,,,,,357vd87hv0jvljqtt2qf4vmz8,S. Suárez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536807161,5,1,1,0,3,csntc7hucmo21gknxc5y0kc4q,1,37.1,46.3,2023-04-21T23:06:15.827Z,2023-04-24T13:12:39Z,4207171169,1,,4207171165,212,39.4,4207171161,140,70.1,4207171157,155,,4207171167,213,5.8,4207171163,141,18.8,4207171159,56,Right,,,,ahfl8o5ngmw3vp3up97rlaj8p,P. Cayet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536807163,6,61,1,0,6,csntc7hucmo21gknxc5y0kc4q,0,69.5,16.8,2023-04-21T23:06:19.468Z,2023-04-24T13:12:46Z,4207171175,56,Right,,,,,,,,,,,,,,,,,,,,,,dc8u2bssrhxycx8vtn0kutp4a,C. Quiñónes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536807165,3,49,1,0,7,4g68p0t2f5jzhzfr67i2rj1ex,1,21.4,77.9,2023-04-21T23:06:20.035Z,2023-04-21T23:06:20Z,,,,,,,,,,,,,,,,,,,,,,,,,7zkzjmk1go1u2vi5qkqlmezu,J. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536807167,4,1,1,0,8,4g68p0t2f5jzhzfr67i2rj1ex,1,21.3,78.7,2023-04-21T23:06:21.307Z,2023-04-24T13:12:50Z,4207171229,141,93.9,4207171233,213,0.9,4207171225,56,Back,4207171227,140,28.5,4207171231,212,12.8,,,,,,,,,,7zkzjmk1go1u2vi5qkqlmezu,J. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
