id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2524908339,1,34,16,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-03-26T17:45:07.548Z,2023-03-26T19:19:00Z,4125413345,194,58b0j5f9h93p4zz63xha4551x,4125341847,130,8,4125341845,59,"67, 23, 19, 12, 21, 5, 18, 6, 11, 7, 17, 1, 3, 8, 9, 10, 13, 20, 34, 35",4125341841,30,"efek04gkkjjwr6vo2mi008dm, bxbh5i1uqhe22e2cft5x6fl2i, eur2vbdzfmcxyfathakjghyqc, c4va4gt5g10zm05qtucgyt889, cy9icu1umyyf9w4cngoqc74es, 3g0rdzkjns986gn34vg3umiqy, 8zokda286fc61hi2znyufz6ga, 5w8wyn94ovw846d5gk29u76x, 75ya8t62q1sp6ew1nlanfdduy, 58b0j5f9h93p4zz63xha4551x, dz7v9xfcwdvjioeyv4z54neqy, dtb9aa7wp7e73bm367myma1n9, b7ph7dek8orcs55sx2jim25m, 6z58yyouaevipxrmrmorcz0no, 3msaz0qe2elahrrd78nzw2ihg, 3ai567bs32hpam9s7nmeiu044, 374euncv00zs2oy6ux1u519be, 6prn3rxp49rsfl8mxq2tqzf9w, 13fw9tv629rig8hjfzulf0d90, 8pli7fk5kjmt0f9pl6sjsltuy",4125341843,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4125414243,197,18771,4125341851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125341849,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524908349,1,34,16,0,0,6ubc4y1v6hr63mca7ica4hp90,1,0,0,2023-03-26T17:45:11.851Z,2023-03-26T19:12:24Z,4125341903,30,"8fb62dbrpiodc3n3csiw8rz3e, ds4avrkvrp4jxq9lp02ssci22, 6fjpwiqcuvkedo3hhpj4341zo, 22zkj62c3nnd2zerfbntlevze, exk9svcdgcbn05ms00fhorvv8, 2skxdj9puilqn62emw8wnflnu, 7d1v02o7kk9guqpn77xzgtvu2, 1dk0bdadfdnycriqp8u21ulpm, 8vzvcjbccc5skj9e7n5f6vd3o, 603sxl8xsij9kep03px6s85m2, 9ohy24mxhsqao5kymh0lbxxck, blzz9pnbehjnxt77cuoxjye0a, 7bxp7ho4cmsoviw19q4bxr02c, 8371i654l37iyn3vo28umuiac, 1dt70coxi909x1qmgk9axibys, b1p6qcv8wjzoxoax3nt13n5gq, e5hpgmctt7gv4raikw0qvbtre, dercetgxemr74f5yasq86s5t6, duyoju8g87ig7h2n0jnddtm38, 8hkbb39xnqy71xe1a4iblhes4",4125410121,194,22zkj62c3nnd2zerfbntlevze,4125341913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125341909,130,4,4125341911,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4125341907,59,"41, 35, 32, 34, 37, 2, 19, 15, 33, 36, 27, 3, 38, 50, 52, 58, 61, 66, 83, 88",4125415407,197,18742,4125341905,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921771,2,32,1,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-03-26T19:06:29.273Z,2023-03-26T19:06:33Z,4125418857,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921761,2,32,1,0,0,6ubc4y1v6hr63mca7ica4hp90,1,0,0,2023-03-26T19:06:29.273Z,2023-03-29T10:39:19Z,4125418815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921777,3,1,1,0,1,4gymgvqmve0m2vh89v84tt3x0,1,50.4,50.7,2023-03-26T19:06:30.373Z,2023-03-29T10:39:23Z,4125418913,213,3.6,4125418909,141,32.0,4125418905,56,Back,4125418915,279,S,4125418911,212,27.2,4125418907,140,27.5,,,,,,,75ya8t62q1sp6ew1nlanfdduy,A. Liadi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921791,4,1,1,0,5,4gymgvqmve0m2vh89v84tt3x0,0,29.6,40.8,2023-03-26T19:06:35.040Z,2023-03-29T10:39:41Z,4125418987,140,67.1,4125418985,56,Left,4125418993,213,0.7,4125418995,1,,4125418983,155,,4125418991,212,53.3,4125418989,141,93.6,,,,efek04gkkjjwr6vo2mi008dm,B. Martino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921795,3,8,1,0,8,6ubc4y1v6hr63mca7ica4hp90,1,37.2,3.1,2023-03-26T19:06:37.395Z,2023-03-27T12:28:42Z,4125419009,56,Back,4131743295,383,,,,,,,,,,,,,,,,,,,,603sxl8xsij9kep03px6s85m2,B. Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921799,4,49,1,0,8,6ubc4y1v6hr63mca7ica4hp90,1,37.2,3.1,2023-03-26T19:06:37.949Z,2023-03-26T19:42:13Z,,,,,,,,,,,,,,,,,,,,,,,,,603sxl8xsij9kep03px6s85m2,B. Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921807,5,61,1,0,9,6ubc4y1v6hr63mca7ica4hp90,0,47.3,3.2,2023-03-26T19:06:39.221Z,2023-03-27T12:28:47Z,4125419059,56,Back,,,,,,,,,,,,,,,,,,,,,,603sxl8xsij9kep03px6s85m2,B. Cambridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2524921809,5,12,1,0,10,4gymgvqmve0m2vh89v84tt3x0,1,37.7,93.6,2023-03-26T19:06:40.191Z,2023-03-26T19:07:06Z,4125419063,140,43.8,4125419067,212,8.6,4125419081,167,,4125419065,141,100.0,4125419061,56,Back,4125419071,213,0.7,,,,,,,eur2vbdzfmcxyfathakjghyqc,J. Drack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
