id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/9/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2537559175,1,34,16,0,0,8o8m08he36u0j4w08aj2iodn8,1,0,0,2023-04-22T22:43:25.228Z,2023-04-23T01:16:19Z,4211147453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4211147451,130,4,4211147445,30,"99hdzy5s45xr72d3lgttdmne1, acskv7krqaau05kpgbfz6f0iy, gqwm9a2a8wdrj3uws09yj0tl, 38p90lsdc5iv1jvjbhiinv6ne, ate2xv18atyygibcdewjrwd0p, 16ndalf4kfr7e6rd9mwj7gfmc, 5ehbz7f56cmfamc29fnk3yuax, 64wbk2nsrs0ru0hjcq0lenwgk, 5sphos4tiokzmv1iqqsa1invu, 83mk9m591utxa1lboute1kvmc, 79knhnp7bvpjomzz14k715wtm, 9u37akzkhdyszhevgrjghq99m, 3dbbjeqx9j2qochtg92f0dgtm, 2f7q5vtc8uxbfd1ofs08to67e, 1extjwx4b7nlpu8fm6526dsrt, e55bawtpgj6ajuxbdgw4a2ezu, 4rnong5uhpqn323bqfthsbyay, 5fuu627ozaxgv8ibhyxi4zcic, afdz1ibldn2vc8gtezyw8tqay",4211147447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4211147449,59,"25, 36, 48, 37, 50, 27, 49, 35, 32, 47, 55, 38, 41, 44, 46, 51, 52, 58, 45",4211680853,194,99hdzy5s45xr72d3lgttdmne1,4211147455,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211274535,197,14914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537560919,1,34,16,0,0,erwnez7ksfkns4dqmyr1fhbe,1,0,0,2023-04-22T22:48:07.876Z,2023-04-22T23:33:37Z,4211157331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211157329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4211272221,197,6108,4211231389,194,dowfebdy2qnsz8hkj0ilrux62,4211157325,59,"23, 33, 37, 14, 24, 4, 7, 35, 32, 8, 21, 6, 9, 11, 18, 22, 43, 48, 50, 5",4211157327,130,8,4211157321,30,"e4xcds6mws71mpp0lskbft9wq, chsrsho2yeaqt0uh2jhtlb78q, cla0i94uyddjw7jzqoyfsplre, dowfebdy2qnsz8hkj0ilrux62, d3gmzmf34c6o8vzngnf7ishlg, 8pzkxfe5txe71u08n67d8k1uy, a63su8pudaernrvj1fi9006qc, 9zuk40rppwiyzn980bw7z1v1m, 6rzzilhwedeems5je313t0uay, 1b9b97pxox77ia41cilqqm4iy, cbjd834y2hdx5jr3bda1zz6ga, 5gpjbhk7vnf6thpu3kdg9tkic, eg5gobm8zylt21enud00dfnmy, ewcakfzpjc85xasxgu3y8bc6i, astn4ytzoaav30ifi17s4dn8, 7inaxcmnecufn8ast6amh6jqi, 12reugw5vyd2lbj4rif4u3sru, 8dcbkmm7ktscumo0c6qcpy1p0, 54bxvj70tmam1l59vdthq22ac, bvk07vv7fbe5xsrf9j2rb0ueh",4211157323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582415,2,32,1,0,0,8o8m08he36u0j4w08aj2iodn8,1,0,0,2023-04-22T23:34:29.088Z,2023-04-23T00:07:55Z,4211275015,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582389,2,32,1,0,0,erwnez7ksfkns4dqmyr1fhbe,1,0,0,2023-04-22T23:34:29.088Z,2023-04-28T04:01:24Z,4211274915,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582435,3,1,1,0,0,erwnez7ksfkns4dqmyr1fhbe,1,50.3,50,2023-04-22T23:34:29.188Z,2023-04-22T23:34:32Z,4211275097,212,15.1,4211275089,140,36.0,4211275101,213,3.3,4211275087,56,Back,4211275093,141,47.3,4211275105,279,S,,,,,,,6rzzilhwedeems5je313t0uay,E. López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582461,4,1,1,0,3,erwnez7ksfkns4dqmyr1fhbe,1,38,50.3,2023-04-22T23:34:32.587Z,2023-04-28T04:06:58Z,4211275219,213,1.7,4211275217,212,24.3,4211275215,141,85.7,4211275211,56,Back,4211275213,140,34.9,,,,,,,,,,dowfebdy2qnsz8hkj0ilrux62,K. Twumasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582483,5,1,1,0,6,erwnez7ksfkns4dqmyr1fhbe,1,37.1,87.2,2023-04-22T23:34:35.884Z,2023-04-28T04:07:14Z,4211275323,56,Back,4211275327,141,49.7,4211275325,140,11.2,4211275331,213,3.9,4211275329,212,37.3,4211275333,1,,,,,,,,cla0i94uyddjw7jzqoyfsplre,A. McFadden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582521,6,1,1,0,9,erwnez7ksfkns4dqmyr1fhbe,1,9.5,44.5,2023-04-22T23:34:38.315Z,2023-04-22T23:34:42Z,4211275513,213,4.9,4211275511,212,26.3,4211275509,141,6.8,4211275505,56,Back,4211275507,140,15.0,,,,,,,,,,e4xcds6mws71mpp0lskbft9wq,V. Reyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582539,7,1,1,0,12,erwnez7ksfkns4dqmyr1fhbe,0,14.4,3.2,2023-04-22T23:34:41.868Z,2023-04-22T23:36:30Z,4211275567,1,,4211275559,212,5.5,4211275553,140,19.6,4211275581,236,,4211275563,213,0.1,4211275555,141,3.7,4211275587,286,,4211275551,56,Back,d3gmzmf34c6o8vzngnf7ishlg,N. Cobb,4211275583,233,3,4211275549,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582531,3,74,1,0,12,8o8m08he36u0j4w08aj2iodn8,1,82.2,94.4,2023-04-22T23:34:41.869Z,2023-04-23T01:49:09Z,4211275533,56,Left,4211275535,285,,4211275605,233,7,,,,,,,,,,,,,,,,79knhnp7bvpjomzz14k715wtm,O. Glasgow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582551,4,5,1,0,14,8o8m08he36u0j4w08aj2iodn8,0,79.8,101.3,2023-04-22T23:34:43.824Z,2023-04-22T23:34:57Z,4211276393,233,8,4211275641,347,,4211275639,56,Left,,,,,,,,,,,,,,,,79knhnp7bvpjomzz14k715wtm,O. Glasgow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582689,8,5,1,0,14,erwnez7ksfkns4dqmyr1fhbe,1,20.2,-1.3,2023-04-22T23:34:43.824Z,2023-04-23T01:49:06Z,4211276385,233,4,4211276361,56,Back,4211276363,347,,,,,,,,,,,,,,,,,8pzkxfe5txe71u08n67d8k1uy,E. Morales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582709,9,1,1,0,27,erwnez7ksfkns4dqmyr1fhbe,1,19.5,0,2023-04-22T23:34:56.939Z,2023-04-22T23:34:59Z,4211276487,212,12.4,4211276479,107,,4211276485,141,9.8,4211276483,140,10.5,4211276481,56,Back,4211276489,213,2.4,,,,,,,chsrsho2yeaqt0uh2jhtlb78q,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582781,10,1,1,0,29,erwnez7ksfkns4dqmyr1fhbe,1,16.7,4.1,2023-04-22T23:34:59.019Z,2023-04-28T09:11:52Z,4211276947,1,,4211276945,213,0.8,4211276941,141,52.7,4211276943,212,45.5,4230770721,155,,4211276937,56,Back,4211276939,140,46.5,,,,d3gmzmf34c6o8vzngnf7ishlg,N. Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582821,11,1,1,0,35,erwnez7ksfkns4dqmyr1fhbe,1,59.4,73.8,2023-04-22T23:35:04.939Z,2023-04-22T23:35:10Z,4211277141,56,Left,4211277143,140,77.3,4211277147,212,21.4,4211277145,141,88.7,4211277149,213,0.5,,,,,,,,,,1b9b97pxox77ia41cilqqm4iy,Nick Firmino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582867,12,1,1,0,40,erwnez7ksfkns4dqmyr1fhbe,1,73.8,69.6,2023-04-22T23:35:09.947Z,2023-04-22T23:35:13Z,4211277349,212,15.0,4211277351,213,4.7,4211277347,141,47.5,4211277343,56,Center,4211277345,140,74.3,,,,,,,,,,cbjd834y2hdx5jr3bda1zz6ga,E. Centeno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582871,13,61,1,0,43,erwnez7ksfkns4dqmyr1fhbe,0,75.2,47.9,2023-04-22T23:35:12.771Z,2023-04-28T04:08:06Z,4211277359,56,Center,,,,,,,,,,,,,,,,,,,,,,6rzzilhwedeems5je313t0uay,E. López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2539989591,895,49,1,0,44,8o8m08he36u0j4w08aj2iodn8,1,23.5,39.2,2023-04-22T23:35:13.460Z,2023-04-28T04:08:30Z,,,,,,,,,,,,,,,,,,,,,,,,,38p90lsdc5iv1jvjbhiinv6ne,J. Casas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582907,5,1,1,0,44,8o8m08he36u0j4w08aj2iodn8,1,20.5,39.2,2023-04-22T23:35:13.712Z,2023-04-23T00:36:26Z,4211277487,56,Back,4211277489,140,26.9,4211277495,213,5.8,4211277493,212,7.7,4211277491,141,33.8,,,,,,,,,,38p90lsdc5iv1jvjbhiinv6ne,J. Casas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582911,6,43,1,0,46,8o8m08he36u0j4w08aj2iodn8,1,0,0,2023-04-22T23:35:15.831Z,2023-04-28T04:08:25Z,4230771041,144,49,,,,,,,,,,,,,,,,,,,,,,83mk9m591utxa1lboute1kvmc,B. Hency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537582953,7,1,1,0,47,8o8m08he36u0j4w08aj2iodn8,1,27.4,37.4,2023-04-22T23:35:16.088Z,2023-04-22T23:35:19Z,4211277691,140,13.9,4211277697,213,2.2,4211277693,141,67.3,4211277695,212,24.8,4211277689,56,Back,,,,,,,,,,83mk9m591utxa1lboute1kvmc,B. Hency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537583019,8,1,1,0,50,8o8m08he36u0j4w08aj2iodn8,1,12.7,75,2023-04-22T23:35:19.296Z,2023-04-22T23:35:25Z,4211277993,56,Back,4211277999,212,16.6,4211278001,213,1.1,4211277995,140,19.6,4211277997,141,96.9,,,,,,,,,,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537583025,9,4,1,0,55,8o8m08he36u0j4w08aj2iodn8,1,10.6,96.6,2023-04-22T23:35:24.648Z,2023-04-22T23:35:26Z,4211278029,285,,4211278105,233,14,4211278027,265,,4211278025,152,,4211278021,13,,4211278023,56,Back,,,,,,,gqwm9a2a8wdrj3uws09yj0tl,C. Ostrem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537583035,14,4,1,0,55,erwnez7ksfkns4dqmyr1fhbe,0,89.4,3.4,2023-04-22T23:35:24.649Z,2023-04-22T23:35:27Z,4211278085,265,,4211278087,286,,4211278079,13,,4211278083,152,,4211278121,233,9,4211278081,56,Right,,,,,,,a63su8pudaernrvj1fi9006qc,L. Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537583263,10,1,1,1,16,8o8m08he36u0j4w08aj2iodn8,0,14.2,96.6,2023-04-22T23:35:45.792Z,2023-04-22T23:35:50Z,4211279295,5,,4211279303,140,54.6,4211279297,155,,4211279301,56,Left,4211279299,152,,4211279311,1,,4211279307,212,42.6,4211279305,141,90.4,16ndalf4kfr7e6rd9mwj7gfmc,K. Burks,4211279309,213,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537583289,15,1,1,1,21,erwnez7ksfkns4dqmyr1fhbe,0,49.8,12.3,2023-04-22T23:35:50.908Z,2023-04-23T01:50:23Z,4211279439,213,0.6,4211279435,141,26.7,4211279437,212,16.9,4211279433,140,62.9,4211279431,56,Center,4211279429,3,,,,,,,,9zuk40rppwiyzn980bw7z1v1m,A. Fortune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
