id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/10/value,qualifier/9/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId
2534936637,1,34,16,0,0,4g68p0t2f5jzhzfr67i2rj1ex,1,0,0,2023-04-16T21:29:32.250Z,2023-04-16T23:19:45Z,4197370857,194,abrdu87vmuqj50ebgalr3c7op,4197216723,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4197216725,59,"40, 88, 42, 92, 98, 47, 5, 19, 90, 97, 80, 2, 24, 30, 33, 34, 31, 46, 77, 91",4197216731,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197370859,197,3126,4197216721,30,"8nw8gd0fkp3a3g0sivl7cu63u, 7pdl6jqfaq1x1trdi5k30wsus, 92np3jwhxchmtfeov82ehe13o, 65i99hvdf67qsszz00c9u0jro, abrdu87vmuqj50ebgalr3c7op, 3gaoqrkf73134kvk2a023coa1, cmzykwa5y30iswcjdurx7jfxm, dug5046izrlh3owqk26hnvdre, 1nh4q19wfaedlpp1vnfuny9zo, 4akvdujqbywk628gok9xbh2j8, exx5i2dd45ucmqejerap8zlzo, 7zkzjmk1go1u2vi5qkqlmezu, nhhmltlm3ayn7vqmp6etck5w, 3o4uxnvpnf3cwjs3srwegxp90, 59kitnlge8bjsxmhy850bsutw, 4l2l3c8qwsf1aogh5j1qiz3f8, afqry84j23xgkhqryrontj190, o3gftw0hatp1r62ynjmlaaui, 1diaoqi51gzx23j4d5f8xc8b8, 5u3ohty1lsm0fn2ltez4g7o5w",4197216727,130,23,4197216729,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534939565,1,34,16,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-04-16T21:38:38.513Z,2023-04-16T23:21:06Z,4197234579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197234581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4197370717,197,18771,4197234577,130,12,4197234571,30,"2oo5iizfcb7vdp5jvqd483qsq, dz7v9xfcwdvjioeyv4z54neqy, 374euncv00zs2oy6ux1u519be, b7ph7dek8orcs55sx2jim25m, cy9icu1umyyf9w4cngoqc74es, bxbh5i1uqhe22e2cft5x6fl2i, c4va4gt5g10zm05qtucgyt889, 5w8wyn94ovw846d5gk29u76x, 1x89wne2srx1dupb7vt5gf3ai, 8zokda286fc61hi2znyufz6ga, 3ai567bs32hpam9s7nmeiu044, dtb9aa7wp7e73bm367myma1n9, 3g0rdzkjns986gn34vg3umiqy, 6z58yyouaevipxrmrmorcz0no, 3msaz0qe2elahrrd78nzw2ihg, eur2vbdzfmcxyfathakjghyqc, 6prn3rxp49rsfl8mxq2tqzf9w, f3xbdt2opb6n1y13cqvug6zft, 8pli7fk5kjmt0f9pl6sjsltuy, 3tajvlnxh4t83oir0yvnuc9p0",4197370715,194,cy9icu1umyyf9w4cngoqc74es,4197234573,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4197234575,59,"30, 17, 13, 3, 21, 23, 12, 6, 28, 18, 10, 1, 5, 8, 9, 19, 20, 29, 35, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966291,2,32,1,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-04-16T23:05:37.230Z,2023-04-16T23:05:37Z,4197370879,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966313,2,32,1,0,0,4g68p0t2f5jzhzfr67i2rj1ex,1,0,0,2023-04-16T23:05:37.230Z,2023-04-20T11:29:23Z,4197370985,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966325,3,1,1,0,1,4g68p0t2f5jzhzfr67i2rj1ex,1,50,50.3,2023-04-16T23:05:38.330Z,2023-04-20T14:33:39Z,4197371041,56,Back,4197371043,140,40.0,4197371045,141,45.6,4197371049,213,3.4,4197371047,212,11.0,4197371051,279,S,,,,,,,4akvdujqbywk628gok9xbh2j8,F. Ssebufu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536303043,808,1,1,0,2,4g68p0t2f5jzhzfr67i2rj1ex,1,38.8,44.1,2023-04-16T23:05:39.352Z,2023-04-20T14:34:10Z,4204455269,213,3.7,4204455267,212,14.6,4204455261,56,Back,4204455265,141,33.4,4204455263,140,26.7,,,,,,,,,,cmzykwa5y30iswcjdurx7jfxm,P. Stroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966363,4,1,1,0,5,4g68p0t2f5jzhzfr67i2rj1ex,1,30.3,24.8,2023-04-16T23:05:42.521Z,2023-04-20T14:34:14Z,4197371269,212,32.0,4197371267,141,25.6,4197371271,213,0.0,4197371273,1,,4197371263,56,Center,4197371265,140,60.8,,,,,,,abrdu87vmuqj50ebgalr3c7op,H. Ndam,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966367,5,3,1,0,9,4g68p0t2f5jzhzfr67i2rj1ex,0,64,11.8,2023-04-16T23:05:47.060Z,2023-04-20T19:42:19Z,4204781507,233,3,4197371301,286,,4204455583,464,,4197371285,56,Right,,,,,,,,,,,,,1nh4q19wfaedlpp1vnfuny9zo,O. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966361,3,7,1,0,9,4gymgvqmve0m2vh89v84tt3x0,1,36,88.2,2023-04-16T23:05:47.061Z,2023-04-20T19:42:19Z,4204455633,384,,4197371255,285,,4197371253,56,Back,4204781491,233,5,,,,,,,,,,,,,374euncv00zs2oy6ux1u519be,J. Skinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534966373,4,49,1,0,12,4gymgvqmve0m2vh89v84tt3x0,1,34.7,96,2023-04-16T23:05:49.601Z,2023-04-16T23:05:49Z,,,,,,,,,,,,,,,,,,,,,,,,,374euncv00zs2oy6ux1u519be,J. Skinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
