id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/13/value,qualifier/14/value,qualifier/16/value
2527884795,1,34,16,0,0,dqx48fglv1l96cyrmjdod0xec,1,0,0,2023-04-02T21:32:19.965Z,2023-04-02T22:20:55Z,4159723547,30,"esetc9bteuheaoq6mttyt6rbp, 7h6a0x05z2laewfq7spicxwd0, 2hdg94moevfpp12pbwjg1ypec, 6ge4wgnjmai5596imt97hev6y, 910fd7rfysvvfzp2s1ywna5pm, 9tl3xo6tmq5b2eeil9e1p048a, en6q7ddrr22sz6knipkbqhyw9, 272xwghmibw1wnptcoz6xpex, 632mpv8dpnxjm69f8ip1e4l5g, 5jigl7kp5d2i5ws1602jm7n1m, 8kclbxu88w9n38hs3fp0ampsk, 2u05snfruohp5sqhdpy5vvlnu, 17yf2rdrh0oshogxp00s61hqs, 7o0levm21dq6815s3qziqqz2s, brbc088u7sq9wh9d9gkonn5gq, 8hg6c5ehhaa37lwduf5977i3u, ba77cwode4mtessgby1mml6ju, 6xup3kf24zfblj7gnqvrm33f8",4159723551,59,"39, 71, 53, 44, 40, 51, 75, 20, 64, 41, 12, 25, 43, 47, 82, 88, 90, 98",4159723553,130,8,4159788081,197,15030,4159790323,194,910fd7rfysvvfzp2s1ywna5pm,4159723557,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159723549,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4159723555,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527884985,1,34,16,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,0,0,2023-04-02T21:32:40.389Z,2023-04-02T23:42:30Z,4159724503,130,4,4159724501,59,"99, 6, 22, 8, 37, 44, 32, 34, 16, 23, 42, 29, 36, 43, 46, 54, 65, 67, 70, 89",4159724497,30,"4tengy9p53kcukevpi8s54wh6, 930c0oge6pi38eofh75m0u2y2, 2tgt5sjb27wy99ijttspj6r6c, 6sp49nn88r1ztu9vmt1x7f1wq, 1795jw1oc3pkthyq0kqexh65m, e6ak5mywni8n46ntxsofiabdg, 69h930ebovyl7rut5dz4r2iok, 81z7n0qyr2tlkidxphoxqzkve, 2mhvgtcem9qn2yzobtkqiegpg, 6kp2pv58u27yf5tnclyhnuoh6, doagfuj1uzz4b9q7j7ptznp5g, 45b72f8szmqnv8tz06j7mj1wq, cgix7qnp4e1ucijtkh4prwkx5, a4staqjshva5lhcr0dw744nze, 6ezxm4g8dffkwm6og9u0tvh90, e6421uwkpqgrisajhpz6peuei, 8hftsf1ff8839jdbe3e6lmm1g, iu61re9bbusv2w7fu7w6505w, 8pg5wiwxujx3hnir5wie9xgfe, 4ffuwlda1w22muyvfobp5nrx0",4159790611,197,15045,4159724499,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159724507,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159875913,194,doagfuj1uzz4b9q7j7ptznp5g,4159724505,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527897669,2,32,1,0,0,1pc6sx2h4rp113ldkbp5d2xas,1,0,0,2023-04-02T22:05:25.360Z,2023-04-02T22:05:25Z,4159793541,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527897673,2,32,1,0,0,dqx48fglv1l96cyrmjdod0xec,1,0,0,2023-04-02T22:05:25.360Z,2023-04-06T07:58:52Z,4159793565,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527897681,3,1,1,0,1,1pc6sx2h4rp113ldkbp5d2xas,1,49.8,49.9,2023-04-02T22:05:26.460Z,2023-04-06T07:59:57Z,4159793625,213,2.8,4159793617,56,Back,4159793627,279,S,4159793619,140,38.0,4166948469,189,,4159793623,212,13.3,4159793621,141,57.2,,,,2mhvgtcem9qn2yzobtkqiegpg,T. Oluwaseyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527897693,4,1,1,0,2,1pc6sx2h4rp113ldkbp5d2xas,1,35.3,49.9,2023-04-02T22:05:27.759Z,2023-04-06T08:00:16Z,4166948665,189,,4159793675,141,40.6,4159793679,213,3.6,4159793673,140,23.2,4159793677,212,14.2,4159793671,56,Back,,,,,,,6sp49nn88r1ztu9vmt1x7f1wq,J. Rosales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527897695,5,1,1,0,3,1pc6sx2h4rp113ldkbp5d2xas,1,24.6,40.7,2023-04-02T22:05:28.720Z,2023-04-06T08:00:20Z,4159793705,212,19.5,4159793707,213,1.6,4159793699,56,Back,4159793701,140,23.7,4159793703,141,69.4,,,,,,,,,,1795jw1oc3pkthyq0kqexh65m,B. Fischer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527897699,6,1,1,0,4,1pc6sx2h4rp113ldkbp5d2xas,1,26.2,70.5,2023-04-02T22:05:29.576Z,2023-04-06T08:00:28Z,4159793735,141,94.7,4159793739,213,1.2,4159793733,140,32.8,4159793731,56,Back,4159793737,212,17.9,,,,,,,,,,e6ak5mywni8n46ntxsofiabdg,G. Rodas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527897729,7,1,1,0,5,1pc6sx2h4rp113ldkbp5d2xas,0,34.6,94.6,2023-04-02T22:05:30.368Z,2023-04-06T08:00:34Z,4159794031,213,0.0,4159794027,141,95.2,4159794033,1,,4159794025,140,66.4,4159794023,56,Left,4159794029,212,33.4,,,,,,,2tgt5sjb27wy99ijttspj6r6c,D. Padelford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527897719,3,49,1,0,11,dqx48fglv1l96cyrmjdod0xec,1,36.9,1.4,2023-04-02T22:05:36.792Z,2023-04-06T08:00:42Z,,,,,,,,,,,,,,,,,,,,,,,,,7h6a0x05z2laewfq7spicxwd0,N. McGuire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
