id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,assist
2533284555,1,34,16,0,0,6ubc4y1v6hr63mca7ica4hp90,1,0,0,2023-04-14T21:02:13.916Z,2023-04-14T22:29:37Z,4188495805,130,17,4188495801,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4188495807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188537843,197,18742,4188495809,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188495799,30,"15ara0jd9j49swuwoi7z8pzo5, ds4avrkvrp4jxq9lp02ssci22, blzz9pnbehjnxt77cuoxjye0a, 6fjpwiqcuvkedo3hhpj4341zo, 2skxdj9puilqn62emw8wnflnu, exk9svcdgcbn05ms00fhorvv8, b1p6qcv8wjzoxoax3nt13n5gq, dercetgxemr74f5yasq86s5t6, crpkn4juf1s72y9c76t3o4k16, 8hkbb39xnqy71xe1a4iblhes4, 8vzvcjbccc5skj9e7n5f6vd3o, 7bxp7ho4cmsoviw19q4bxr02c, 8fb62dbrpiodc3n3csiw8rz3e, dkgv1asv2glgvoddpvxe56t5g, doqbp8fg8hke6hhifdr4jzklw, e5hpgmctt7gv4raikw0qvbtre, 35i699wz5v6nush729peu776c, bjk2ns3xadow18v3tkvqqrkh6, d47ks2lj1bgbm1x11qil2352i, duyoju8g87ig7h2n0jnddtm38",4188495803,59,"1, 35, 3, 32, 2, 37, 58, 66, 79, 88, 33, 38, 41, 44, 56, 61, 71, 75, 80, 83",4188560895,194,b1p6qcv8wjzoxoax3nt13n5gq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533284607,1,34,16,0,0,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-14T21:02:31.323Z,2023-04-14T22:24:16Z,4188496111,59,"99, 62, 76, 66, 55, 36, 45, 30, 49, 43, 28, 47, 57, 58, 63, 68, 77, 88",4188537137,194,5q5ti9wmab56mk2995qk01ixg,4188496107,30,"as5066ocmlp4tub6d3tnabi1g, 40za2m92ngp5og8pxyrkxl3is, infc7r3a8oktbajwp4pff7dg, aymd7oegdw0wsqbvfl7xrl0r8, c1fvknrf94i05q738d5r7vmdw, a0r2fx204amflk1vjf5evgx2i, 4poexep0xjtt6vwpbyo7svkoa, 5q5ti9wmab56mk2995qk01ixg, ju24rgwcctj5yizl54o91gfe, 1yl2e0y3cglm1nwto5uzs3e5m, 65jctzcct9irz3wre08c2v2wa, 55y26r9mz105vrqmnq739l62, el796cr8ka1ovy7agjlxhdzo, 87nhafgkozygrd5f06ore0xzo, a94nvjy32rpga29qp7k407bis, 8ffa73zkh1i0ce1cqu0sqxous, 4kng7wg83mastngy9hw7j6v6y, 19igj31auu88fhwdpfz8c1coa",4188496109,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4188496115,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4188496117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4188534897,197,14999,4188496113,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533291555,2,32,1,0,0,6ubc4y1v6hr63mca7ica4hp90,1,0,0,2023-04-14T22:06:02.192Z,2023-04-18T08:19:46Z,4188538577,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533291559,2,32,1,0,0,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-14T22:06:02.192Z,2023-04-14T22:06:03Z,4188538583,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533291563,3,1,1,0,0,6ubc4y1v6hr63mca7ica4hp90,1,50.1,49.6,2023-04-14T22:06:02.292Z,2023-04-14T23:01:46Z,4188538609,213,3.6,4188538603,140,26.3,4188538611,279,S,4188538605,141,31.0,4188538601,56,Back,4188538607,212,28.0,,,,,,,b1p6qcv8wjzoxoax3nt13n5gq,D. Poręba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533291567,4,1,1,0,4,6ubc4y1v6hr63mca7ica4hp90,0,34.3,28.6,2023-04-14T22:06:06.288Z,2023-04-14T22:06:09Z,4188538641,1,,4188538629,155,,4188538631,56,Center,4188538639,213,0.6,4188538637,212,50.2,4188538635,141,72.9,4188538633,140,72.6,,,,exk9svcdgcbn05ms00fhorvv8,J. Neeley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533291577,3,1,1,0,7,c7c4wwva2u1vb3rr7rwava044,0,25.8,36,2023-04-14T22:06:09.509Z,2023-04-14T22:06:37Z,4188538695,3,,4188538701,141,39.7,4188538697,56,Back,4188538703,212,17.6,4188538699,140,42.4,4188538705,213,0.1,,,,,,,40za2m92ngp5og8pxyrkxl3is,I. Boatwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533291585,5,1,1,0,9,6ubc4y1v6hr63mca7ica4hp90,1,66.5,62.1,2023-04-14T22:06:11.609Z,2023-04-14T23:02:03Z,4188538735,56,Center,4188538737,140,72.7,4188538741,212,8.7,4188538739,141,70.6,4188538733,3,,4188538743,213,0.7,,,,,,,b1p6qcv8wjzoxoax3nt13n5gq,D. Poręba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533291583,4,43,1,0,11,c7c4wwva2u1vb3rr7rwava044,1,0,0,2023-04-14T22:06:13.759Z,2023-04-14T23:04:55Z,4188589157,144,61,4188538727,56,Back,,,,,,,,,,,,,,,,,,,40za2m92ngp5og8pxyrkxl3is,I. Boatwright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533291589,6,1,1,0,11,6ubc4y1v6hr63mca7ica4hp90,1,73.1,71.1,2023-04-14T22:06:14.081Z,2023-04-14T23:02:07Z,4188538769,141,92.6,4188538771,212,20.9,4188538763,3,,4188538773,213,2.4,4188538765,56,Left,4188538767,140,58.9,,,,,,,8vzvcjbccc5skj9e7n5f6vd3o,P. Agyemang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
