id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2538445247,1,34,16,0,0,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-04-23T21:55:12.883Z,2023-04-24T00:04:18Z,4215877129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4215877123,59,"36, 80, 35, 72, 39, 40, 43, 88, 70, 77, 57, 42, 45, 46, 60, 92, 96",4216189357,197,18753,4215877125,130,12,4215877119,30,"c2tmm1kt6qyna4650kfy4bpm2, 5nykil6w1bxfevpp2c5rr32fo, 6nejufbzmepf2iiqr0ttbu19l, 3xd2kq7cxmvdbqsfzgi644c4q, dv0qqd4mx117y4al165nsdic4, 33l8nq6xbj3pm1lkxo2qs5vfu, 2957l6ok9dlauv75og8ds1vkk, 4v2oh5flirf9wtc1u9u42apnu, 7t8o8pe93me2pef74vw21nr6y, b2er4t1ttbuv1acwx6jaugb56, 6sn6a1xpp6tyqac8a21ka1fxl, 3f5g2kijev81v9nzwsyxwiiju, a89drfd4adts1cbtqa77l1boq, 472t8s7bbxzyi4uoue9niq7f8, druwx3n136woly4objqgk7tp0, bxnegxnynd1glae8g0vfigfvu, 4wr32d93f1q1v8qjq2ywmnbze",4216170731,194,6sn6a1xpp6tyqac8a21ka1fxl,4215877121,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5",4215877127,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538484305,1,34,16,0,0,6gaq85erpkvbyxvivd96wuw44,1,0,0,2023-04-23T23:17:41.985Z,2023-04-24T00:20:58Z,4216086789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4216086779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",4216086785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4216086783,130,4,4216238561,197,19081,4216086787,194,9kwo52gydq7po5fqdzxulzr3d,4216086777,30,"9kwo52gydq7po5fqdzxulzr3d, 8bnjioj1guv0abf5zdd21c2ui, 1flsu0b92eflc2wkg9m1wwufo, c2pi2xabsj7qnewpbdc3qeqz8, do2o6ka25talswmmillufejqi, a4gyvdkcnjn0b1hru0w1nwyne, ajxa2yfzwct5nd0ded1sa9vmy, a55do2tx3wz5tsboyf355aiok, 98fsrsej50fnbqmssbxw0rc44, ew25ktcp76pmryz5psl1ctlka, dd4yxwa1lgokj2e3zqa3uq7hm, cse5ha0s2wbq4fv6xghm7a4us, 21z7llugd0b62zpbdymm27iay, 9mykkeqzvaf8r8lb3qidk8ro4, amv1k59v4y61ld157atwkk7bo, 1efr6u06hvhm9drygb9qsi92i, 9wcoh9iowuv9sigdyofvruwb8, 24rxb4eeoakxkmritog6a7x90",4216086781,59,"30, 80, 24, 6, 13, 25, 8, 26, 9, 7, 21, 11, 19, 20, 22, 29, 31, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505021,2,32,1,0,0,5ou8b446l1sl8frblkz3xi17g,1,0,0,2023-04-24T00:05:15.031Z,2023-04-27T04:31:27Z,4216196985,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505017,2,32,1,0,0,6gaq85erpkvbyxvivd96wuw44,1,0,0,2023-04-24T00:05:15.031Z,2023-04-24T00:05:15Z,4216196969,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505029,3,1,1,0,0,6gaq85erpkvbyxvivd96wuw44,1,50,50,2023-04-24T00:05:15.131Z,2023-04-24T00:05:18Z,4216197039,212,13.2,4216197033,56,Back,4216197041,213,3.8,4216197043,279,S,4216197035,140,39.8,4216197037,141,38.6,,,,,,,98fsrsej50fnbqmssbxw0rc44,D. Aguirre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505041,4,1,1,0,3,6gaq85erpkvbyxvivd96wuw44,1,39,41.2,2023-04-24T00:05:18.108Z,2023-04-24T00:05:20Z,4216197095,141,87.1,4216197097,212,34.6,4216197091,56,Back,4216197099,213,2.0,4216197093,140,24.8,4216197101,1,,,,,,,,a55do2tx3wz5tsboyf355aiok,B. Moyado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505065,5,1,1,0,5,6gaq85erpkvbyxvivd96wuw44,1,24.1,86.8,2023-04-24T00:05:20.076Z,2023-04-24T00:05:23Z,4216197219,141,63.1,4216197221,212,17.4,4216197223,213,4.3,4216197215,56,Back,4216197217,140,17.9,,,,,,,,,,1flsu0b92eflc2wkg9m1wwufo,J. Romero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505081,6,1,1,0,7,6gaq85erpkvbyxvivd96wuw44,1,18,63.1,2023-04-24T00:05:22.924Z,2023-04-24T00:05:25Z,4216197315,140,18.1,4216197317,141,25.0,4216197313,56,Back,4216197319,212,25.9,4216197321,213,4.7,,,,,,,,,,a4gyvdkcnjn0b1hru0w1nwyne,A. Avila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505101,7,1,1,0,10,6gaq85erpkvbyxvivd96wuw44,1,18,25,2023-04-24T00:05:25.292Z,2023-04-24T00:05:30Z,4216197419,56,Back,4216197425,212,18.4,4216197423,141,5.5,4216197421,140,30.2,4216197427,213,5.5,,,,,,,,,,do2o6ka25talswmmillufejqi,D.Rosales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538505123,8,1,1,0,15,6gaq85erpkvbyxvivd96wuw44,0,47,5.9,2023-04-24T00:05:30.156Z,2023-04-24T00:05:32Z,4216197517,140,85.6,4216197515,56,Right,4216197523,213,0.0,4216197521,212,40.6,4216197519,141,8.3,4216197525,1,,,,,,,,8bnjioj1guv0abf5zdd21c2ui,J. Gaines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
