id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value
2527903055,1,34,16,0,0,erwnez7ksfkns4dqmyr1fhbe,1,0,0,2023-04-02T22:28:03.464Z,2023-04-02T22:33:37Z,4159821569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159821561,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159821565,130,4,4159821563,59,"25, 33, 37, 28, 24, 3, 35, 14, 32, 7, 10, 4, 8, 9, 11, 12, 18, 21, 23, 5",4159821567,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159826665,197,4451,4159821559,30,"8x7ureyddmuodp6nl4rxfudw5, chsrsho2yeaqt0uh2jhtlb78q, cla0i94uyddjw7jzqoyfsplre, ah3swx80hoddr239t1r6qg2ga, d3gmzmf34c6o8vzngnf7ishlg, 4ysjz78ep100dov88zn3kgz6c, 9zuk40rppwiyzn980bw7z1v1m, dowfebdy2qnsz8hkj0ilrux62, 6rzzilhwedeems5je313t0uay, a63su8pudaernrvj1fi9006qc, 6i2k03ji4uy1a9vgbl6t0hno4, 8pzkxfe5txe71u08n67d8k1uy, 1b9b97pxox77ia41cilqqm4iy, eg5gobm8zylt21enud00dfnmy, ewcakfzpjc85xasxgu3y8bc6i, 1t3t2flgpaqgrhgj2wvwja3ca, astn4ytzoaav30ifi17s4dn8, cbjd834y2hdx5jr3bda1zz6ga, e4xcds6mws71mpp0lskbft9wq, bvk07vv7fbe5xsrf9j2rb0ueh",4159826511,194,dowfebdy2qnsz8hkj0ilrux62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527903057,1,34,16,0,0,4g68p0t2f5jzhzfr67i2rj1ex,1,0,0,2023-04-02T22:28:06.710Z,2023-04-02T23:03:05Z,4159821579,30,"8nw8gd0fkp3a3g0sivl7cu63u, 7pdl6jqfaq1x1trdi5k30wsus, 92np3jwhxchmtfeov82ehe13o, 1pic8r417eldupxmh7nobfkve, abrdu87vmuqj50ebgalr3c7op, 8h2z8e9plnkfdchzblcq9d016, dug5046izrlh3owqk26hnvdre, dhy8f54t9uvukub7qbmsth8iy, 1nh4q19wfaedlpp1vnfuny9zo, 1diaoqi51gzx23j4d5f8xc8b8, nhhmltlm3ayn7vqmp6etck5w, 7zkzjmk1go1u2vi5qkqlmezu, 3o4uxnvpnf3cwjs3srwegxp90, 4l2l3c8qwsf1aogh5j1qiz3f8, o3gftw0hatp1r62ynjmlaaui, 3gaoqrkf73134kvk2a023coa1, 4akvdujqbywk628gok9xbh2j8, cmup7c348sh1oor9hsk5jk2jt, exx5i2dd45ucmqejerap8zlzo, 65i99hvdf67qsszz00c9u0jro",4159821589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159821585,130,8,4159821581,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159821583,59,"40, 88, 42, 16, 98, 3, 19, 75, 90, 77, 24, 2, 30, 34, 46, 47, 97, 61, 80, 92",4159821587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159852283,194,1nh4q19wfaedlpp1vnfuny9zo,4159852285,197,3126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910065,2,32,1,0,0,erwnez7ksfkns4dqmyr1fhbe,1,0,0,2023-04-02T23:05:20.483Z,2023-04-02T23:05:20Z,4159853791,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910067,2,32,1,0,0,4g68p0t2f5jzhzfr67i2rj1ex,1,0,0,2023-04-02T23:05:20.483Z,2023-04-02T23:05:22Z,4159853793,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910075,3,1,1,0,0,4g68p0t2f5jzhzfr67i2rj1ex,1,49.9,50.2,2023-04-02T23:05:20.583Z,2023-04-02T23:05:25Z,4159853837,279,S,4159853827,56,Back,4159853835,213,3.5,4159853831,141,41.0,4159853833,212,18.4,4159853829,140,33.4,,,,,,,1nh4q19wfaedlpp1vnfuny9zo,O. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910079,4,1,1,0,4,4g68p0t2f5jzhzfr67i2rj1ex,0,35.9,38.9,2023-04-02T23:05:25.050Z,2023-04-02T23:55:20Z,4159853871,1,,4159853859,155,,4159853869,213,0.6,4159853863,140,77.4,4159853865,141,79.4,4159853867,212,51.5,4159853861,56,Left,,,,dhy8f54t9uvukub7qbmsth8iy,D. Edelman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910083,3,1,1,0,6,erwnez7ksfkns4dqmyr1fhbe,1,21.6,26.5,2023-04-02T23:05:26.889Z,2023-04-02T23:05:28Z,4159853895,141,14.3,4159853891,56,Back,4159853893,140,33.5,4159853899,213,5.7,4159853889,3,,4159853897,212,15.0,,,,,,,d3gmzmf34c6o8vzngnf7ishlg,N. Cobb,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910085,4,49,1,0,7,erwnez7ksfkns4dqmyr1fhbe,1,33.9,14.6,2023-04-02T23:05:28.165Z,2023-04-02T23:05:28Z,,,,,,,,,,,,,,,,,,,,,,,,,a63su8pudaernrvj1fi9006qc,L. Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910091,5,1,1,0,8,erwnez7ksfkns4dqmyr1fhbe,1,34.3,13.2,2023-04-02T23:05:28.758Z,2023-04-02T23:05:30Z,4159853927,56,Back,4159853929,140,30.5,4159853931,141,26.1,4159853935,213,2.0,4159853933,212,9.6,,,,,,,,,,a63su8pudaernrvj1fi9006qc,L. Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910099,6,1,1,0,9,erwnez7ksfkns4dqmyr1fhbe,0,30.5,26.1,2023-04-02T23:05:30.341Z,2023-04-02T23:05:35Z,4159853973,140,75.8,4159853981,1,,4159853971,56,Center,4159853975,141,28.0,4159853979,213,0.0,4159853969,155,,4159853977,212,47.6,,,,9zuk40rppwiyzn980bw7z1v1m,A. Fortune,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527910413,17,59,1,0,14,4g68p0t2f5jzhzfr67i2rj1ex,1,0,0,2023-04-02T23:05:34.562Z,2023-04-02T23:07:08Z,4159855741,56,Back,,,,,,,,,,,,,,,,,,,,,,8nw8gd0fkp3a3g0sivl7cu63u,A. Marcucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,
