id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,assist,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2541934171,1,34,16,0,0,csntc7hucmo21gknxc5y0kc4q,1,0,0,2023-04-30T20:02:35.430Z,2023-04-30T22:07:02Z,4241398095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4241398099,130,2,4241551645,194,ahfl8o5ngmw3vp3up97rlaj8p,4241398101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4241545037,197,18745,4241398097,59,"60, 37, 76, 22, 43, 44, 89, 16, 72, 99, 39, 32, 33, 35, 40, 41, 48, 55, 81",4241398093,30,"6j4ibkpbos6w5ikle58u2vo, ahgclh3e05evznhrpa32z6g6i, 9d864k8ppwryu5b7v57fkurdg, 4iepghv4p490fxo5s429qeicq, 357vd87hv0jvljqtt2qf4vmz8, ahfl8o5ngmw3vp3up97rlaj8p, bzv3yqbc7ttf7fftbm2nelxck, anysxg2z6niqapc5m3f4tzims, 2lpjr3oys0s0u2pnhut8epqwa, tc5nl1hz1w06jobp5ckktr3e, 69ypla76c710iv0yegix1maz8, 2676930j149yvanqev61emh62, 97kzr8rgekycws02q55a63z3e, 7gpxu474qdvutjnlacjkcgw2y, euk8uh8zs9wyruf7qld1tf7ro, dc8u2bssrhxycx8vtn0kutp4a, 51y94mgf4wxkk5f4tysztc60a, c4s04vro436dy241prda1uv6y, isauuse3yqdwymvfne6ci385",4241398103,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541934223,1,34,16,0,0,bd0378yx50xpdcgwkt9p9bmz8,1,0,0,2023-04-30T20:02:45.209Z,2023-04-30T21:11:24Z,4241561927,194,2d9cw6dcm2wsgrr8mj5rt6zje,4241398423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0",4241398417,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5",4241398421,130,8,4241398419,59,"25, 42, 33, 37, 40, 3, 29, 41, 43, 58, 77, 30, 44, 55, 60, 61, 62",4241550741,197,14968,4241398425,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4241398415,30,"3fjb8lymm7grc7nqyfpzw1a8k, 44nrrrjr233eellmujjz45h5g, 39t59x9q2xumbn2hphk7urp7u, 4uo9isxivewjrtdg9v7lku9zo, 2d9cw6dcm2wsgrr8mj5rt6zje, 3s1a50dskuehneuuy9b1nxg4, 49ki6wsieoy8t4baq73o0zhbe, q12w2p0cgezbfmghgpt7h6hg, bpr7u1cp7bzt1w2t1tsmru73e, aw9qtyjb4wdifiixi139m96cq, e3xsrspideqsbd098pkvr0bqi, b82dmhiv5rfrczfcx26cnvo16, 9asj8t10cvfumot9hr3dprsic, dmn67px1dbaq6d9fyge4vxhjo, f1mnmkewoytdvqr084a7w7hwq, bh6ncbb98ru6ox5oth7kle51w, 7xro49ojdjw9aztwbvg8tlzx0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541961311,2,32,1,0,0,csntc7hucmo21gknxc5y0kc4q,1,0,0,2023-04-30T21:05:47.205Z,2023-05-05T13:14:47Z,4241551687,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541961291,2,32,1,0,0,bd0378yx50xpdcgwkt9p9bmz8,1,0,0,2023-04-30T21:05:47.205Z,2023-04-30T21:05:47Z,4241551597,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541961353,3,1,1,0,0,bd0378yx50xpdcgwkt9p9bmz8,1,50.7,50.3,2023-04-30T21:05:47.305Z,2023-04-30T21:05:57Z,4241551911,279,S,4241551903,141,44.9,4241551907,213,3.2,4241551899,56,Back,4241551901,140,18.5,4241551909,1,,4241551905,212,34.0,,,,aw9qtyjb4wdifiixi139m96cq,G. Valenzuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541984579,425,1,1,0,3,bd0378yx50xpdcgwkt9p9bmz8,1,34.8,45,2023-04-30T21:05:50.205Z,2023-05-05T13:16:12Z,4241677781,56,Back,4241677789,213,1.8,4241677783,140,29.9,4241677787,212,23.1,4241677785,141,78.1,,,,,,,,,,4uo9isxivewjrtdg9v7lku9zo,S. Jimenez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541961363,4,1,1,0,6,bd0378yx50xpdcgwkt9p9bmz8,0,26.2,77.3,2023-04-30T21:05:53.625Z,2023-05-05T13:16:28Z,4251633197,155,,4241551947,141,88.6,4241551943,56,Left,4241551945,140,72.1,4241551949,212,48.8,4241551951,213,0.2,4241551953,1,,,,,39t59x9q2xumbn2hphk7urp7u,I. Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541961383,3,1,1,0,10,csntc7hucmo21gknxc5y0kc4q,1,32.1,14.4,2023-04-30T21:05:58.016Z,2023-04-30T21:14:24Z,4241552027,212,14.0,4241552023,140,44.2,4241552021,56,Back,4241552025,141,5.8,4241552019,3,,4241552029,213,5.9,,,,,,,ahgclh3e05evznhrpa32z6g6i,V. Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541961387,4,61,1,0,11,csntc7hucmo21gknxc5y0kc4q,0,44,5.6,2023-04-30T21:05:58.752Z,2023-05-05T13:17:02Z,4241552039,56,Back,,,,,,,,,,,,,,,,,,,,,,bzv3yqbc7ttf7fftbm2nelxck,M. Fry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2543847029,862,1,1,0,13,bd0378yx50xpdcgwkt9p9bmz8,0,55.6,92.2,2023-04-30T21:06:00.999Z,2023-05-05T13:17:43Z,4251635579,141,87.3,4251635583,213,5.4,4251635575,56,Left,4251635577,140,58.0,4251635581,212,4.2,,,,,,,,,,q12w2p0cgezbfmghgpt7h6hg,S. Adams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
