id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2530026291,1,34,16,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-07T22:49:55.540Z,2023-04-08T00:07:26Z,4171171635,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171171641,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171218985,197,18756,4171212299,194,6pqyqf9v6g60ci7jjggalqsq1,4171171633,30,"a3k4grlhkn63p3xfb2rzslkdm, 6pqyqf9v6g60ci7jjggalqsq1, 8ly83pm2mbtz4u7jwsv0o96qy, 7nxqbiq6fics5w3qnwhz249as, 5h73r4bv42whxsvnlq89b89re, d0riqrsz7ojwb9m94rbvx7r6y, 3sm6srzig957fdn96ta68nmne, 2yxzh220ndd4s4wqditruo0h6, 42wy8249nwozwzl13jqewtn56, e6gr1t1rp2x7waywgzlrj8yqx, 3cbmr8hg3kszw5wl04p3ol27e, 9ddxuhle7n4xyozin0wrhatih, elvrjpt1jlko4henaqvfid7o4, 4521gkm1oemvrfsgksz7b6zxm, 2j9i9ersvndkywcgqx9pzc9ka, ov91zkisppven9tp72gfbjf8, 6jsu34146kbtoeco3ue1a7ok4, 457wpw6s1esrs616paqzo355, 1yx6uyxuxgse5bypoqytqjotm, mr8rvq7r4wljhv3rrdasjxuc",4171171637,59,"12, 22, 2, 15, 4, 5, 10, 23, 28, 21, 19, 1, 7, 9, 11, 18, 24, 26, 77, 99",4171171639,130,8,4171171643,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530026435,1,34,16,0,0,5icuo8utnztpsd9l03gdd68dl,1,0,0,2023-04-07T22:52:59.795Z,2023-04-08T00:02:47Z,4171172585,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5",4171172593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171172583,30,"9q91h72hhbibgekbjb8vcdxey, 809wpocve7kf4vpdn7wd84v3e, 7zr3gif60ntltgt3s5yi6qjca, errrv56acc41z74f8kumo7qlm, 9pdlqvcvxbblylawycpp2ywvd, d99eakp27bro9g50wpzti8rca, 968mlew2amftejfuaptayz6c5, 7ajceczjsu9ci4nqv9gg2860a, 3wtx6mgbgjvf1zsi5j7m1yxas, 5uwkzz79ayagkh2ukysvgolwp, chiwsyjdyk4sn4vxqu9mdr0x6, 7mnh4dln104xhunf6u9f2546i, 8q1x8z8d3c04jymsfc73o1qll, b0xuwec3m6rvxwx7gygv34o6i, e2t6sxwsa5ll4zvsxh96512zu, 3007iihmvmlzgpgtxri3v3hg4",4171172591,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0",4171172587,59,"26, 21, 31, 75, 32, 92, 88, 34, 38, 35, 72, 33, 36, 81, 83, 96",4171213775,197,3515,4171172589,130,4,4171213773,194,968mlew2amftejfuaptayz6c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034551,2,32,1,0,0,5icuo8utnztpsd9l03gdd68dl,1,0,0,2023-04-08T00:05:19.466Z,2023-04-08T00:05:19Z,4171216211,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034555,2,32,1,0,0,d0c07im4a6oj8qa7f1zlt3pqs,1,0,0,2023-04-08T00:05:19.466Z,2023-04-10T10:47:12Z,4171216225,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034565,3,1,1,0,0,5icuo8utnztpsd9l03gdd68dl,1,50.2,50,2023-04-08T00:05:19.566Z,2023-04-08T00:05:23Z,4171216265,213,3.5,4171216257,56,Back,4171216259,140,38.6,4171216263,212,12.9,4171216267,279,S,4171216261,141,43.7,,,,,,,968mlew2amftejfuaptayz6c5,A. Ovalle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034577,4,1,1,0,3,5icuo8utnztpsd9l03gdd68dl,0,39.9,39.7,2023-04-08T00:05:22.830Z,2023-04-08T00:05:26Z,4171216343,1,,4171216339,212,48.9,4171216331,155,,4171216337,141,11.9,4171216333,56,Right,4171216341,213,5.9,4171216335,140,82.9,,,,errrv56acc41z74f8kumo7qlm,D. Leyva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034579,3,49,1,0,6,d0c07im4a6oj8qa7f1zlt3pqs,1,21.1,81.1,2023-04-08T00:05:25.991Z,2023-04-08T00:05:26Z,,,,,,,,,,,,,,,,,,,,,,,,,8ly83pm2mbtz4u7jwsv0o96qy,C. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034599,4,1,1,0,6,d0c07im4a6oj8qa7f1zlt3pqs,0,21.1,81.1,2023-04-08T00:05:26.375Z,2023-04-08T00:05:30Z,4171216451,212,35.8,4171216447,140,54.3,4171216449,141,93.0,4171216445,56,Left,4171216455,1,,4171216443,157,,4171216453,213,0.2,,,,8ly83pm2mbtz4u7jwsv0o96qy,C. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034603,5,12,1,0,11,5icuo8utnztpsd9l03gdd68dl,1,41.3,5.2,2023-04-08T00:05:31.054Z,2023-04-10T10:57:54Z,4171293695,212,6.1,4171216473,56,Back,4171293693,141,0.0,4171293691,140,45.0,4171293697,213,5.4,4179465667,167,,,,,,,,9pdlqvcvxbblylawycpp2ywvd,H. Uderitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034637,5,5,1,0,11,d0c07im4a6oj8qa7f1zlt3pqs,1,54.4,102,2023-04-08T00:05:31.398Z,2023-04-08T00:05:43Z,4171216689,347,,4171216687,56,Left,4171216695,233,6,,,,,,,,,,,,,,,,8ly83pm2mbtz4u7jwsv0o96qy,C. Touré,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
