id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/10/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2526186205,1,34,16,0,0,6ubc4y1v6hr63mca7ica4hp90,1,0,0,2023-03-31T21:52:44.931Z,2023-03-31T23:00:42Z,4150732695,59,"41, 35, 32, 66, 37, 2, 58, 3, 33, 36, 88, 38, 44, 50, 56, 60, 61, 71, 75, 83",4150732701,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4150732693,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4150789441,197,18742,4150732697,130,4,4150732699,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4150744557,194,b1p6qcv8wjzoxoax3nt13n5gq,4150732691,30,"8fb62dbrpiodc3n3csiw8rz3e, ds4avrkvrp4jxq9lp02ssci22, 6fjpwiqcuvkedo3hhpj4341zo, dercetgxemr74f5yasq86s5t6, exk9svcdgcbn05ms00fhorvv8, 2skxdj9puilqn62emw8wnflnu, b1p6qcv8wjzoxoax3nt13n5gq, blzz9pnbehjnxt77cuoxjye0a, 8vzvcjbccc5skj9e7n5f6vd3o, 603sxl8xsij9kep03px6s85m2, 8hkbb39xnqy71xe1a4iblhes4, 7bxp7ho4cmsoviw19q4bxr02c, dkgv1asv2glgvoddpvxe56t5g, 8371i654l37iyn3vo28umuiac, doqbp8fg8hke6hhifdr4jzklw, 66bdf9l614g2dx43x8003m162, e5hpgmctt7gv4raikw0qvbtre, 35i699wz5v6nush729peu776c, bjk2ns3xadow18v3tkvqqrkh6, duyoju8g87ig7h2n0jnddtm38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526187215,1,34,16,0,0,bd0378yx50xpdcgwkt9p9bmz8,1,0,0,2023-03-31T22:02:20.343Z,2023-03-31T23:00:55Z,4150738259,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4150789533,194,2d9cw6dcm2wsgrr8mj5rt6zje,4150738261,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4150789535,197,14968,4150738251,30,"3fjb8lymm7grc7nqyfpzw1a8k, 1ie2n14n0fm7tyl99vxybmk4q, e3xsrspideqsbd098pkvr0bqi, 39t59x9q2xumbn2hphk7urp7u, 2d9cw6dcm2wsgrr8mj5rt6zje, 3s1a50dskuehneuuy9b1nxg4, 44nrrrjr233eellmujjz45h5g, aw9qtyjb4wdifiixi139m96cq, 9asj8t10cvfumot9hr3dprsic, bpr7u1cp7bzt1w2t1tsmru73e, 4uo9isxivewjrtdg9v7lku9zo, b82dmhiv5rfrczfcx26cnvo16, q12w2p0cgezbfmghgpt7h6hg, dmn67px1dbaq6d9fyge4vxhjo, bh6ncbb98ru6ox5oth7kle51w, 7xro49ojdjw9aztwbvg8tlzx0, 4plou42lepve7wmkvahnbua6s, aqo6onn4jbvsiljanpbtdwf84",4150738257,130,12,4150738255,59,"25, 57, 77, 33, 40, 3, 42, 58, 44, 43, 37, 30, 41, 55, 61, 62, 74, 75",4150738253,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196981,2,32,1,0,0,6ubc4y1v6hr63mca7ica4hp90,1,0,0,2023-03-31T23:05:40.464Z,2023-04-05T08:44:26Z,4150791949,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196987,2,32,1,0,0,bd0378yx50xpdcgwkt9p9bmz8,1,0,0,2023-03-31T23:05:40.464Z,2023-03-31T23:05:45Z,4150791975,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196999,3,1,1,0,0,6ubc4y1v6hr63mca7ica4hp90,1,50,50,2023-03-31T23:05:40.564Z,2023-03-31T23:05:45Z,4150792041,279,S,4150792031,141,34.9,4150792037,213,3.6,4150792023,56,Back,4150792033,212,24.2,4150792025,140,29.1,,,,,,,dercetgxemr74f5yasq86s5t6,P. Mayaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526197013,4,1,1,0,5,6ubc4y1v6hr63mca7ica4hp90,0,33.4,32.4,2023-03-31T23:05:45.705Z,2023-04-05T06:10:58Z,4150792113,213,6.0,4150792115,1,,4150792099,56,Right,4164605597,155,,4150792111,212,47.4,4150792103,140,77.0,4150874231,189,,4150792107,141,14.3,2skxdj9puilqn62emw8wnflnu,J. Sobociński,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526197021,3,1,1,0,7,bd0378yx50xpdcgwkt9p9bmz8,1,25.9,84.1,2023-03-31T23:05:48.148Z,2023-03-31T23:05:50Z,4150792129,3,,4150792139,213,3.6,4150792131,56,Back,4150792137,212,16.3,4150792135,141,73.3,4150792133,140,12.0,,,,,,,39t59x9q2xumbn2hphk7urp7u,I. Foster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526197023,4,49,1,0,9,bd0378yx50xpdcgwkt9p9bmz8,1,12,73.3,2023-03-31T23:05:50.226Z,2023-03-31T23:05:50Z,,,,,,,,,,,,,,,,,,,,,,,,,2d9cw6dcm2wsgrr8mj5rt6zje,K. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526197033,5,1,1,0,10,bd0378yx50xpdcgwkt9p9bmz8,0,12,73.3,2023-03-31T23:05:50.498Z,2023-03-31T23:05:53Z,4150792189,212,24.4,4150792181,157,,4150792193,1,,4150792185,140,33.6,4150792183,56,Back,4150792187,141,86.6,4150792191,213,0.4,,,,2d9cw6dcm2wsgrr8mj5rt6zje,K. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526197049,5,1,1,0,14,6ubc4y1v6hr63mca7ica4hp90,0,67.4,18.9,2023-03-31T23:05:55.233Z,2023-03-31T23:58:29Z,4150792275,213,0.4,4150792267,56,Center,4150792273,212,14.2,4150792271,141,26.6,4150792265,3,,4150792269,140,80.0,,,,,,,ds4avrkvrp4jxq9lp02ssci22,N. Scardina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
