id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,assist,qualifier/10/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2531384195,1,34,16,0,0,6ddsx316t3j0z6nolrky9k4r8,1,0,0,2023-04-09T22:11:24.700Z,2023-04-09T23:03:27Z,4178296591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4178296595,130,4,4178296593,59,"49, 34, 37, 33, 47, 30, 31, 80, 39, 27, 21, 18, 38, 42, 44, 45, 60, 64, 77, 79",4178296589,30,"8jcyfhvczj2dw1gmxrmna2609, beq6yluq1raxsrvxo77qlrf56, 4k6c9nnzytq9qhc9uol64wg7o, 8sydisziijh84elb8dprtlduy, eq98gflais2v26wgbkw9wrxg4, eiyzqnfh8r8aduel0seou7nu2, abhcwxqh35hbgze01m4ihopyi, bb31x0lmvx07e83d344y8byay, 96a444bkyegpg5zho3odc54ic, 3ei1s8oyub83owfxxbsygmsmi, 8bi1tlz62rjwyak4pnnzgp562, 1muuu6wgia9wxv6vmw8tln5sk, ck71v8brvqxzz905c5o9966ay, duj699i9620tuf3ii9z06bqsq, 1p4rbf4wumfagv2ntlewdxey, 6n212e4qa6se8iq0983rr05ey, 51feywrm28vtce8hlntacbbe2, cf5cnymq2xkzjczfy4zk905qs, bug5x187ehj0apzl11lrl3ip6, bbxeavv9oiz82dch0tsws3giy",4178378631,194,8sydisziijh84elb8dprtlduy,4178296597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178296599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178378633,197,18747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531384349,1,34,16,0,0,erwnez7ksfkns4dqmyr1fhbe,1,0,0,2023-04-09T22:11:48.812Z,2023-04-09T23:02:10Z,4178376801,197,4451,4178297569,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4178297567,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4178297561,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4178297565,130,8,4178297559,30,"e4xcds6mws71mpp0lskbft9wq, chsrsho2yeaqt0uh2jhtlb78q, cla0i94uyddjw7jzqoyfsplre, 1b9b97pxox77ia41cilqqm4iy, d3gmzmf34c6o8vzngnf7ishlg, 4ysjz78ep100dov88zn3kgz6c, 89knzhfu5cbjg3iqxcvz00aqy, dowfebdy2qnsz8hkj0ilrux62, 6rzzilhwedeems5je313t0uay, ah3swx80hoddr239t1r6qg2ga, a63su8pudaernrvj1fi9006qc, 8pzkxfe5txe71u08n67d8k1uy, 5gpjbhk7vnf6thpu3kdg9tkic, 6i2k03ji4uy1a9vgbl6t0hno4, ewcakfzpjc85xasxgu3y8bc6i, 1t3t2flgpaqgrhgj2wvwja3ca, cbjd834y2hdx5jr3bda1zz6ga, 7inaxcmnecufn8ast6amh6jqi, bvk07vv7fbe5xsrf9j2rb0ueh",4178297563,59,"23, 33, 37, 8, 24, 3, 30, 14, 32, 28, 7, 4, 6, 10, 11, 12, 21, 22, 5",4178376991,194,dowfebdy2qnsz8hkj0ilrux62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399673,2,32,1,0,0,6ddsx316t3j0z6nolrky9k4r8,1,0,0,2023-04-09T23:05:54.426Z,2023-04-12T06:06:47Z,4178381683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399691,2,32,1,0,0,erwnez7ksfkns4dqmyr1fhbe,1,0,0,2023-04-09T23:05:54.426Z,2023-04-09T23:05:55Z,4178381751,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399705,3,1,1,0,0,6ddsx316t3j0z6nolrky9k4r8,1,50.5,48.9,2023-04-09T23:05:54.526Z,2023-04-09T23:05:57Z,4178381811,212,16.6,4178381815,279,S,4178381805,56,Back,4178381813,213,3.4,4178381809,141,43.7,4178381807,140,35.1,,,,,,,96a444bkyegpg5zho3odc54ic,M. Meyrs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399719,4,1,1,0,3,6ddsx316t3j0z6nolrky9k4r8,1,35.1,44.2,2023-04-09T23:05:57.453Z,2023-04-09T23:06:00Z,4178381899,213,4.1,4178381897,212,14.7,4178381893,140,26.7,4178381891,56,Back,4178381895,141,26.9,,,,,,,,,,8sydisziijh84elb8dprtlduy,N. Benalcazar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399755,5,1,1,0,5,6ddsx316t3j0z6nolrky9k4r8,1,26.9,25.8,2023-04-09T23:06:00.357Z,2023-04-09T23:06:03Z,4178382055,141,5.3,4178382051,56,Back,4178382059,213,5.4,4178382057,212,17.9,4178382053,140,37.6,,,,,,,,,,eq98gflais2v26wgbkw9wrxg4,K. Haxhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399775,6,1,1,0,9,6ddsx316t3j0z6nolrky9k4r8,1,36,4.4,2023-04-09T23:06:03.798Z,2023-04-09T23:06:06Z,4178382171,140,18.4,4178382169,56,Back,4178382175,141,10.4,4178382177,212,18.9,4178382179,213,2.9,,,,,,,,,,beq6yluq1raxsrvxo77qlrf56,S. Turnbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399795,7,1,1,0,11,6ddsx316t3j0z6nolrky9k4r8,0,16.7,10.4,2023-04-09T23:06:06.094Z,2023-04-09T23:06:10Z,4178382303,141,25.8,4178382299,56,Back,4178382307,213,2.6,4178382301,140,0.0,4178382305,212,21.1,,,,,,,,,,eq98gflais2v26wgbkw9wrxg4,K. Haxhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399819,3,6,1,0,15,erwnez7ksfkns4dqmyr1fhbe,1,90.6,77.7,2023-04-09T23:06:10.007Z,2023-04-10T00:00:23Z,4178382469,56,Center,4178382471,73,,4178382491,233,8,,,,,,,,,,,,,,,,ah3swx80hoddr239t1r6qg2ga,T. Wolff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399799,8,6,1,0,15,6ddsx316t3j0z6nolrky9k4r8,0,9.4,22.3,2023-04-09T23:06:10.007Z,2023-04-12T06:19:38Z,4178382317,56,Back,4178382319,73,,4178382525,233,3,,,,,,,,,,,,,,,,eq98gflais2v26wgbkw9wrxg4,K. Haxhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399853,4,1,1,0,20,erwnez7ksfkns4dqmyr1fhbe,1,99.5,99.5,2023-04-09T23:06:15.188Z,2023-04-10T00:00:25Z,4178382633,213,3.3,4178382631,212,5.5,4178382629,141,98.1,4178382627,140,94.3,4178382625,56,Left,4178382623,6,,,,,,,,ah3swx80hoddr239t1r6qg2ga,T. Wolff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399863,5,1,1,0,22,erwnez7ksfkns4dqmyr1fhbe,1,94.3,98.1,2023-04-09T23:06:16.916Z,2023-04-09T23:06:18Z,4178382677,56,Left,4178382679,140,84.0,4178382683,212,14.0,4178382685,213,3.8,4178382681,141,85.0,,,,,,,,,,a63su8pudaernrvj1fi9006qc,L. Brennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399883,6,1,1,0,24,erwnez7ksfkns4dqmyr1fhbe,0,83.7,84.8,2023-04-09T23:06:18.693Z,2023-04-12T06:19:50Z,4178382751,56,Center,4178382755,141,56.7,4178382753,140,97.3,4184050117,223,,4184050119,20,,4178382749,155,,4178382747,2,,4178382757,212,23.9,ah3swx80hoddr239t1r6qg2ga,T. Wolff,4178382759,213,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531399935,9,52,1,0,33,6ddsx316t3j0z6nolrky9k4r8,1,4.3,42.2,2023-04-09T23:06:27.830Z,2023-04-12T06:20:09Z,4184050225,376,,,,,,,,,,,,,,,,,,,,,,,8jcyfhvczj2dw1gmxrmna2609,M. Freese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531400007,10,1,1,0,40,6ddsx316t3j0z6nolrky9k4r8,1,11.3,45.3,2023-04-09T23:06:34.926Z,2023-04-09T23:06:39Z,4178383377,212,16.2,4178383379,213,5.1,4178383371,56,Back,4178383369,123,,4178383375,141,23.1,4178383373,140,16.9,,,,,,,8jcyfhvczj2dw1gmxrmna2609,M. Freese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531400063,11,1,1,0,45,6ddsx316t3j0z6nolrky9k4r8,1,18.4,18.6,2023-04-09T23:06:39.518Z,2023-04-09T23:06:44Z,4178383533,1,,4178383527,141,80.4,4178383529,212,48.2,4178383531,213,1.1,4178383521,196,,4178383525,140,40.8,4178383519,155,,4178383523,56,Back,eq98gflais2v26wgbkw9wrxg4,K. Haxhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
