id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value
2530025541,1,34,16,0,0,dqx48fglv1l96cyrmjdod0xec,1,0,0,2023-04-07T22:42:07.698Z,2023-04-08T00:31:19Z,4171212187,197,15030,4171167297,59,"82, 18, 53, 98, 40, 20, 41, 44, 25, 46, 75, 43, 47, 48, 64, 71, 77, 88, 90",4171167295,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4171167303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171167293,30,"brbc088u7sq9wh9d9gkonn5gq, 4s56s6f9nw96wergw7ix5zp0q, 2hdg94moevfpp12pbwjg1ypec, 6xup3kf24zfblj7gnqvrm33f8, 910fd7rfysvvfzp2s1ywna5pm, 272xwghmibw1wnptcoz6xpex, 5jigl7kp5d2i5ws1602jm7n1m, 6ge4wgnjmai5596imt97hev6y, 2u05snfruohp5sqhdpy5vvlnu, 9k050zmkegfu3gdw2b4g4uwwk, en6q7ddrr22sz6knipkbqhyw9, 17yf2rdrh0oshogxp00s61hqs, 7o0levm21dq6815s3qziqqz2s, 28u7519fn9jefbdythjglxjis, 632mpv8dpnxjm69f8ip1e4l5g, 7h6a0x05z2laewfq7spicxwd0, cdyrj15oxu3l5sgzgwof8ohgq, 8hg6c5ehhaa37lwduf5977i3u, ba77cwode4mtessgby1mml6ju",4171214071,194,910fd7rfysvvfzp2s1ywna5pm,4171167301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4171167299,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530027439,1,34,16,0,0,7pmw399vh2v44cjle4fkklp1w,1,0,0,2023-04-07T23:07:08.372Z,2023-04-08T00:14:01Z,4171177667,59,"1, 13, 19, 6, 2, 4, 7, 8, 14, 18, 21, 5, 10, 11, 24, 27, 31, 32, 49, 77",4171177665,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171214321,194,9imj5ig0i01uljnd3gd2cz1m,4171213951,197,15044,4171177673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171177663,30,"e81zc97bmfjgwo978gplrx46i, 3acyax22zfwdjw0cpgg4x7dre, erwor15ez2ech6aoyxoeyix62, 4e4c7mr0ljxxmt53k0wsqg4r8, 52zm1dgc5jge02cdhzptghq3u, 9imj5ig0i01uljnd3gd2cz1m, eehmjxbl4xwc3mz1geibnszkk, 7gmf2omch4d84vwb55m2apt9m, cqmvrx028gh19yh8qh7w01y0a, 4uuq2zuhmlbg7kh85v5l8723u, 6oia90bi52zwmgdlvcvfnj1pm, 1d43ue54zl1o9rvnwz5zfotm, dgrqyrhb6nyp5primfoltapuy, azzpjrq2pndxuz0waw25p7r6y, 9ec4ump12btlgb7tkc3sqwfvu, 4a4ljwnpjdu0n7480r7d9n14a, 8qgdg40qe62yreujy7rueil0p, 8wph21b781hbbm11te701mhd6, 422i2bs52922c484mbmonw1ec, e4vvdd1cn5ezrocpequewmwic",4171177671,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171177669,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034581,2,32,1,0,0,dqx48fglv1l96cyrmjdod0xec,1,0,0,2023-04-08T00:05:25.666Z,2023-04-12T11:30:11Z,4171216345,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034575,2,32,1,0,0,7pmw399vh2v44cjle4fkklp1w,1,0,0,2023-04-08T00:05:25.666Z,2023-04-08T00:05:25Z,4171216329,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034591,3,1,1,0,0,7pmw399vh2v44cjle4fkklp1w,1,50,50,2023-04-08T00:05:25.766Z,2023-04-12T11:50:55Z,4171216413,279,S,4171216407,141,50.4,4171216405,140,28.8,4171216403,56,Back,4171216409,212,22.3,4171216411,213,3.1,,,,,,,4e4c7mr0ljxxmt53k0wsqg4r8,C. Auguste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034607,4,1,1,0,2,7pmw399vh2v44cjle4fkklp1w,1,29.4,50.3,2023-04-08T00:05:28.309Z,2023-04-08T00:05:31Z,4171216493,213,0.2,4171216487,140,74.4,4171216485,56,Center,4171216489,141,63.3,4171216495,1,,4171216483,155,,4171216491,212,48.1,,,,9imj5ig0i01uljnd3gd2cz1m,T. Maples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034611,5,44,1,0,5,7pmw399vh2v44cjle4fkklp1w,1,74.8,67,2023-04-08T00:05:31.387Z,2023-04-08T00:05:33Z,4171216511,286,,4171216509,56,Center,4171216513,233,3,,,,,,,,,,,,,,,,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034605,3,44,1,0,5,dqx48fglv1l96cyrmjdod0xec,0,25.2,33,2023-04-08T00:05:31.388Z,2023-04-08T00:05:33Z,4171216479,285,,4171216477,56,Back,4171216517,233,5,,,,,,,,,,,,,,,,910fd7rfysvvfzp2s1ywna5pm,M. Wentzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034617,6,1,1,0,6,7pmw399vh2v44cjle4fkklp1w,0,74.4,63.3,2023-04-08T00:05:32.108Z,2023-04-12T11:27:13Z,4171216541,56,Center,4171216545,141,64.8,4171216547,212,4.6,4171216539,168,,4171216537,3,,4171216543,140,78.7,4171216549,213,0.2,,,,cqmvrx028gh19yh8qh7w01y0a,R. Avila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530034633,5,1,1,0,9,dqx48fglv1l96cyrmjdod0xec,1,22.4,31.9,2023-04-08T00:05:35.145Z,2023-04-08T01:02:24Z,4171216671,213,0.8,4171216669,212,57.1,4171216663,56,Left,4171216667,141,90.9,4171216665,140,61.1,4171216673,1,,4171216661,157,,,,,4s56s6f9nw96wergw7ix5zp0q,O. O'Malley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
