id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/10/value,keyPass,qualifier/14/value,qualifier/12/value
2541938559,1,34,16,0,0,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-04-30T20:12:10.738Z,2023-04-30T23:13:46Z,4241421483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4241421471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4241683867,194,eqws52w506rp4a2x9mqwm76ga,4241421463,30,"c2j0af3amobjhnadwf8cucbca, 6g7i7z6m8vts105dny1g6z3hm, 5bgt61vb5lnzyoczqnr202lpm, 27ajd5d69mrgie5c9x5izn4oa, cqlc423f6bid2uy3togwkvlgq, ex99a6zbacpkkhgvynu80qpzo, eqws52w506rp4a2x9mqwm76ga, d0neh5vcdezvb0ful49zguiok, ebik6jxp20k3m9u3hj1c1j5zo, 25rizu4n91uyax4z6l5jv6dqs, p99ze5cksh5tv01knf5oj33e, aa4v8xfn3ra4digk5h7gdrbze, 6b1p9hzznyykqsap5f065i0yy, 2wsgrwgiotfis2l96i0sxlvys, 4jkf81djj5h43v8rlnib1tizu, 30me1zjey2l8lywfm3k5rkhsk, 6p7bhmhxcr08kivai5yip07bo, 37uh4n2zngcixlzo8vnk50vtg, a9yn4hf91tepqizgrk0doy7f8",4241421475,59,"50, 30, 51, 65, 28, 54, 58, 59, 57, 95, 64, 32, 52, 61, 68, 70, 74, 96, 97",4241421479,130,4,4241678371,197,3378,4241421487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541938583,1,34,16,0,0,29nx7yxy1rdqv2oobqn5pjf8p,1,0,0,2023-04-30T20:12:13.269Z,2023-04-30T22:14:40Z,4241421621,130,4,4241421615,30,"3jggbo072qzgw1bivr2htm5g4, 5wd28i1o3ercv7nq2qdiu1hqs, 6wbtc3di25kcbqrat4pcwo5m2, c71n0j2gn476m4fzwxldxfms4, 1vsdddp4xhsbo3peifnrckfai, e7tp50kohe1u9hts0geeh3578, 7q8y6gbmg9j75zgm3nhs3bfh0, 3wn0nn5q8g2mjzuc8yb4dvu2, 7oxivwr2b7bq70t35dgsjloiy, efbg277ocw25lmmzx0kaxd1bd, 7w2rw1jd8ouhu8bbvswvysu8k, b2fo299a7ozto4fizo5t1nyay, dt797hve9mdpnuyy1z4pnpp1w, bje8wvncnbbx5w0l08uno88ru, c760g3hvhvi7nra7gpdrynn1m, d8u6lnk9lmbrgv9obcshpec8a, 28kg6zbpgbb8zrnhidogpxi0a, bx7d0ws7fi7iwgpi9ccomjehg, 6h5nb6smul96u3zsfuxdwxdec",4241685145,194,3jggbo072qzgw1bivr2htm5g4,4241421619,59,"90, 78, 81, 65, 89, 76, 68, 71, 83, 72, 73, 38, 40, 70, 82, 85, 86, 91, 98",4241421617,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4241421623,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4241685147,197,3386,4241421625,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986517,2,32,1,0,0,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-04-30T22:05:14.290Z,2023-05-06T09:54:45Z,4241688407,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986523,2,32,1,0,0,29nx7yxy1rdqv2oobqn5pjf8p,1,0,0,2023-04-30T22:05:14.290Z,2023-04-30T22:05:17Z,4241688423,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986551,3,1,1,0,0,479lsfr4cwlzewpbuda3y2xv4,1,49.8,49.9,2023-04-30T22:05:14.390Z,2023-04-30T22:05:18Z,4241688545,279,S,4241688541,212,13.6,4241688543,213,2.9,4241688535,56,Back,4241688539,141,54.0,4241688537,140,37.1,,,,,,,p99ze5cksh5tv01knf5oj33e,J. Solís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986561,4,1,1,0,2,479lsfr4cwlzewpbuda3y2xv4,1,35.9,55.5,2023-04-30T22:05:16.642Z,2023-04-30T22:41:35Z,4241688591,56,Center,4241688597,212,16.4,4241688599,213,6.2,4241688593,140,51.5,4241688595,141,53.4,,,,,,,,,,27ajd5d69mrgie5c9x5izn4oa,C. Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986577,5,1,1,0,4,479lsfr4cwlzewpbuda3y2xv4,1,52.9,50.4,2023-04-30T22:05:19.113Z,2023-05-06T10:19:48Z,4241688653,140,51.5,4241688659,213,2.1,4241688655,141,54.2,4241688651,56,Center,4241688657,212,3.0,,,,,,,,,,p99ze5cksh5tv01knf5oj33e,J. Solís,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986595,6,1,1,0,5,479lsfr4cwlzewpbuda3y2xv4,1,51.5,54.2,2023-04-30T22:05:20.274Z,2023-04-30T22:43:49Z,4241688743,213,5.7,4241688735,56,Right,4241688739,141,16.5,4241688737,140,86.6,4241688731,155,,4241688745,1,,4241688741,212,44.9,,,,eqws52w506rp4a2x9mqwm76ga,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542011021,314,43,1,0,8,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-04-30T22:05:22.294Z,2023-04-30T22:54:30Z,4241820639,286,0,4241861551,144,44,4241820637,56,Right,,,,,,,,,,,,,,,,6g7i7z6m8vts105dny1g6z3hm,A. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986601,7,1,1,0,9,479lsfr4cwlzewpbuda3y2xv4,0,87.3,16.4,2023-04-30T22:05:23.826Z,2023-04-30T22:43:51Z,4241688777,213,1.2,4241688769,56,Center,4241688771,140,89.7,4241688767,3,,4241688775,212,6.5,4241688773,141,25.2,,,,,,,6g7i7z6m8vts105dny1g6z3hm,A. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986597,3,43,1,0,9,29nx7yxy1rdqv2oobqn5pjf8p,1,0,0,2023-04-30T22:05:24.133Z,2023-04-30T22:05:39Z,4241689253,144,8,4241688783,15,0,4241688749,56,Back,,,,,,,,,,,,,,,,5wd28i1o3ercv7nq2qdiu1hqs,A. Pantaleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986617,4,12,1,0,10,29nx7yxy1rdqv2oobqn5pjf8p,1,13.6,74.4,2023-04-30T22:05:24.395Z,2023-04-30T22:54:32Z,4241688829,56,Back,4241688833,141,100.0,4241688845,167,,4241688831,140,7.0,4241688837,213,1.9,4241688835,212,20.0,,,,,,,e7tp50kohe1u9hts0geeh3578,L. Stefanovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2541986619,5,5,1,0,10,29nx7yxy1rdqv2oobqn5pjf8p,0,8.2,101.1,2023-04-30T22:05:24.938Z,2023-04-30T23:05:50Z,4241688839,56,Back,4241688921,233,8,4241688841,347,,,,,,,,,,,,,,,,,c71n0j2gn476m4fzwxldxfms4,A. Ćurić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
