id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/8/value,qualifier/14/value,keyPass,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2526021317,1,34,16,0,0,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-03-31T16:20:41.056Z,2023-03-31T23:21:39Z,4149865225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149865215,30,"c2j0af3amobjhnadwf8cucbca, 6g7i7z6m8vts105dny1g6z3hm, 2v114vco5wn9oieg2hrev1n56, 27ajd5d69mrgie5c9x5izn4oa, cqlc423f6bid2uy3togwkvlgq, ex99a6zbacpkkhgvynu80qpzo, i5wj5hcg2r9934e7gauxtgmi, p99ze5cksh5tv01knf5oj33e, 2b8nmdlsqa9wxn8xlujvyaqga, ebik6jxp20k3m9u3hj1c1j5zo, eqws52w506rp4a2x9mqwm76ga, 7tpb4dk9meee0utyu4cosnxn8, aa4v8xfn3ra4digk5h7gdrbze, 5bgt61vb5lnzyoczqnr202lpm, d0neh5vcdezvb0ful49zguiok, 2wsgrwgiotfis2l96i0sxlvys, 25rizu4n91uyax4z6l5jv6dqs, 4jkf81djj5h43v8rlnib1tizu, 30me1zjey2l8lywfm3k5rkhsk, 37uh4n2zngcixlzo8vnk50vtg",4150789665,197,3378,4149865217,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4150789663,194,eqws52w506rp4a2x9mqwm76ga,4149865219,59,"50, 30, 46, 65, 28, 54, 53, 64, 27, 57, 58, 14, 32, 51, 59, 61, 95, 68, 70, 96",4149865223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4149865221,130,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526184165,1,34,16,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-03-31T21:30:05.075Z,2023-03-31T23:01:52Z,4150789997,197,18771,4150721377,30,"2oo5iizfcb7vdp5jvqd483qsq, bxbh5i1uqhe22e2cft5x6fl2i, eur2vbdzfmcxyfathakjghyqc, c4va4gt5g10zm05qtucgyt889, 2wufroeor0e7k6hvatj1ltwfe, 3g0rdzkjns986gn34vg3umiqy, 8zokda286fc61hi2znyufz6ga, 5w8wyn94ovw846d5gk29u76x, k3rif7polxoazy70fu2013op, 58b0j5f9h93p4zz63xha4551x, dz7v9xfcwdvjioeyv4z54neqy, dtb9aa7wp7e73bm367myma1n9, b7ph7dek8orcs55sx2jim25m, 6z58yyouaevipxrmrmorcz0no, 3msaz0qe2elahrrd78nzw2ihg, 3ai567bs32hpam9s7nmeiu044, 374euncv00zs2oy6ux1u519be, cy9icu1umyyf9w4cngoqc74es, 8pli7fk5kjmt0f9pl6sjsltuy",4150721387,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4150721385,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4150789995,194,58b0j5f9h93p4zz63xha4551x,4150721383,130,8,4150721381,59,"30, 23, 19, 12, 4, 5, 18, 6, 22, 7, 17, 1, 3, 8, 9, 10, 13, 21, 35",4150721379,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196897,2,32,1,0,0,4gymgvqmve0m2vh89v84tt3x0,1,0,0,2023-03-31T23:05:08.084Z,2023-03-31T23:05:11Z,4150791427,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196895,2,32,1,0,0,479lsfr4cwlzewpbuda3y2xv4,1,0,0,2023-03-31T23:05:08.084Z,2023-04-03T13:40:11Z,4150791423,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196909,3,1,1,0,1,479lsfr4cwlzewpbuda3y2xv4,1,50,50,2023-03-31T23:05:09.184Z,2023-04-03T14:30:32Z,4150791499,279,S,4150791493,141,49.7,4150791491,140,39.1,4150791495,212,11.4,4150791489,56,Back,4150791497,213,3.2,,,,,,,eqws52w506rp4a2x9mqwm76ga,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196917,4,1,1,0,5,479lsfr4cwlzewpbuda3y2xv4,1,38.8,48.1,2023-03-31T23:05:13.551Z,2023-03-31T23:55:36Z,4150791543,140,54.5,4150791541,56,Center,4150791549,213,6.1,4150791547,212,16.9,4150791545,141,42.5,,,,,,,,,,i5wj5hcg2r9934e7gauxtgmi,J. Almaguer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196923,5,1,1,0,7,479lsfr4cwlzewpbuda3y2xv4,1,58.3,34,2023-03-31T23:05:15.247Z,2023-03-31T23:05:17Z,4150791583,212,22.8,4150791581,141,3.8,4150791579,140,67.8,4150791577,56,Right,4150791585,213,5.2,,,,,,,,,,eqws52w506rp4a2x9mqwm76ga,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196927,6,1,1,0,9,479lsfr4cwlzewpbuda3y2xv4,1,60.4,9.2,2023-03-31T23:05:17.424Z,2023-03-31T23:05:20Z,4150791601,56,Center,4150791607,212,19.4,4150791603,140,58.2,4150791605,141,37.6,4150791609,213,1.7,,,,,,,,,,6g7i7z6m8vts105dny1g6z3hm,A. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196939,7,1,1,0,12,479lsfr4cwlzewpbuda3y2xv4,1,58,36.4,2023-03-31T23:05:20.367Z,2023-03-31T23:55:44Z,4150791695,212,11.5,4150791689,56,Center,4150791697,213,6.2,4150791693,141,35.4,4150791691,140,68.9,,,,,,,,,,27ajd5d69mrgie5c9x5izn4oa,C. Medina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526196949,8,1,1,0,13,479lsfr4cwlzewpbuda3y2xv4,0,69.1,34,2023-03-31T23:05:21.455Z,2023-04-03T14:32:29Z,4150791745,213,6.0,4150791737,56,Right,4150791747,1,,4150791739,140,100.0,4150791743,212,35.4,4150791741,141,19.2,,,,,,,2v114vco5wn9oieg2hrev1n56,F. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
